mode_id,block_id,pitch_deg,success_terminal,terminal_depth,terminal_lateral,E1,E2,E3,n_steps
lift_early,3,-2.5,True,0.0705,0.0018,279,350,358,359
lift_late,0,-5.0,True,0.0698,0.0020,279,362,371,372
lift_late,1,-5.0,True,0.0702,0.0021,275,352,361,362
lift_late,2,-5.0,True,0.0699,0.0021,279,361,370,371
lift_late,3,-5.0,True,0.0702,0.0017,279,359,369,370
lift_late,4,-5.0,True,0.0699,0.0021,279,362,371,372
lift_late,0,5.0,True,0.0701,0.0020,279,358,366,367
lift_late,1,5.0,True,0.0706,0.0021,276,355,363,364
lift_late,2,5.0,True,0.0700,0.0021,279,358,366,367
lift_late,3,5.0,True,0.0691,0.0021,279,366,374,375
lift_late,4,5.0,True,0.0687,0.0020,280,359,367,368
lift_early,4,-2.5,True,0.0719,0.0014,280,350,359,360
lift_late,0,-7.5,True,0.0702,0.0020,280,376,385,386
lift_late,1,-7.5,True,0.0705,0.0020,275,358,368,369
lift_late,2,-7.5,True,0.0702,0.0021,278,372,381,382
lift_late,3,-7.5,True,0.0702,0.0020,279,371,380,381
lift_late,4,-7.5,True,0.0704,0.0020,280,374,383,384
lift_late,0,7.5,True,0.0684,0.0020,280,363,370,372
lift_late,1,7.5,True,0.0698,0.0021,277,364,373,374
lift_late,2,7.5,True,0.0691,0.0021,279,363,371,372
lift_late,3,7.5,True,0.0687,0.0020,280,364,372,373
lift_late,4,7.5,True,0.0718,0.0020,280,364,371,372
