task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,delta_others_max,m4_correct,switch_detected,switch_status,switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
keyed,20270818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.017697279999993043,0.8214919532886578,0.21029477734878121,0.264424199397947,-0.03508214766945372,True,True,detected,0.6020465384816133,0.12040377717634598,0.06411531024494001,0.8050598574521254,0.7961143459555028,0.8224241491417575,0.8214919532886575,-0.3047640942060086,-0.31157203486448504,-0.03508214766945372,-0.17150871121103461,-0.17703931647071047,0.6111971759398763
keyed,20270818,0,random,8,0,Pdiag finite (SE(3)),True,,9.878127506000055,0.710922154303587,0.2830128045904067,0.10474342938946668,-0.04535327401449041,False,True,detected,0.6067561990367275,0.8606645719342682,0.6171799755831741,0.8405041531842055,0.6614642089413998,0.8314271741566209,0.7109221543035867,-0.15382781186593342,-0.22598490796342097,-0.04535327401449041,-0.1347425383811891,-0.17646728632130804,0.42790934971318006
keyed,20260818,0,random,8,0,Frame-weighted (SE(3)),True,,0.0066560989998833975,0.466573913264751,0.4911647795664686,0.2935294043484265,-0.024590866301717584,False,True,detected,0.6288928631217245,0.466573913264751,0.466573913264751,0.466573913264751,0.466573913264751,0.466573913264751,0.466573913264751,-0.024590866301717584,-0.024590866301717584,-0.024590866301717584,-0.024590866301717584,-0.024590866301717584,-0.024590866301717584
keyed,20260818,0,random,8,0,Full operator (SE(3)),True,,0.0006890419999763253,0.8227289896675123,0.2147067239286872,0.09397599160994635,0.0011955876436131607,True,True,detected,0.6041452329534583,0.8279857518681399,0.7703367955296615,1.2074937022619896,0.7992704856509968,0.8169608283033554,0.8227289896675123,-0.17620131719655818,-0.21826603548892376,0.0011955876436131607,-0.20006256282039658,-0.18329667863983956,0.608022265738825
keyed,20260818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.016677676000199426,0.8177998364703424,0.2039290631209318,0.26948649008693576,-0.038863606766136316,True,True,detected,0.6007940206780552,0.08776445081161757,0.05650969305234915,0.8156602249334246,0.8161524355330105,0.8311233521859083,0.8177998364703426,-0.3380713685018061,-0.3262612802298543,-0.038863606766136316,-0.1827648657794294,-0.16901697336572075,0.6138707733494109
keyed,20260818,0,random,8,0,Pdiag finite (SE(3)),True,,37.333877412999755,0.7053499145810557,0.2794571506845323,0.10749008191623555,-0.05503863031579137,False,True,detected,0.605761970202979,0.8297318787545396,0.598244966998262,0.8435663550791689,0.6579977220180698,0.8319236830318889,0.7053499145810557,-0.18707461463871544,-0.2508091437211658,-0.05503863031579137,-0.13630341207894836,-0.17842800837351136,0.42589276389652336
keyed,20260818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.006614390999857278,0.9483322108015321,0.9219032135759777,0.16459961056859054,0.02642899722555414,False,False,right_censored,,0.9483322108015318,0.9483322108015318,0.9483322108015318,0.9483322108015318,0.9483322108015318,0.9483322108015318,0.02642899722555414,0.02642899722555414,0.02642899722555414,0.02642899722555414,0.02642899722555414,0.02642899722555414
keyed,20260818,5,qualified,8,2,Full operator (SE(3)),True,,0.0007440809999934572,0.8040448071548286,0.18822169585247928,1.9949121204397746,-0.09777318658969036,True,True,detected,0.5954478576794381,0.8608202898193728,-1.3383756738991548,0.7966318561034889,0.8181973784250672,0.8331136979044558,0.8040448071548286,-0.14333371751147783,-2.201934987812935,-0.09777318658969036,-0.18699806872968494,-0.1616053326578919,0.6158231113023495
keyed,20260818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.016507451000052242,0.8178885774208989,0.2061559538120288,0.14556174510341793,-0.1328942066449048,True,True,detected,0.6020270485666516,1.3342794875041033,0.6640426054280657,0.8168438228478349,0.8139623567712939,0.8205192741823886,0.817888577420899,-0.1328942066449048,-0.32097508679838926,-0.22063841144488394,-0.18693355929685507,-0.1795797286653078,0.6117326236088703
keyed,20260818,5,qualified,8,2,Pdiag finite (SE(3)),True,,37.57918466399997,0.7913219899574928,0.2772885446203096,0.10990191509958804,-0.15218424508902006,True,True,detected,0.6079801689129215,0.7803984282984046,0.6941019662358517,0.8415642920398256,0.8293387231424163,0.828264500858731,0.7913219899574926,-0.2662003539147161,-0.21905857123926142,-0.16776747738630293,-0.22236535270810553,-0.15218424508902006,0.514033445337183
keyed,20270818,3,qualified,8,0,Frame-weighted (SE(3)),True,,0.002832171000136441,0.7760596772630408,0.7607210326079215,0.15858964348599694,0.015338644655119804,False,False,right_censored,,0.7760596772630408,0.7760596772630408,0.7760596772630408,0.7760596772630408,0.7760596772630408,0.7760596772630408,0.015338644655119804,0.015338644655119804,0.015338644655119804,0.015338644655119804,0.015338644655119804,0.015338644655119804
keyed,20270818,3,qualified,8,0,Full operator (SE(3)),True,,0.00031818600018596044,0.8266990912758436,0.2125527693306905,0.11728201135446616,-0.0769277525889932,True,True,detected,0.6029677586664551,0.9231490459472259,0.816895928049513,0.6773335063337029,0.8221724859695868,0.820905544298207,0.8266990912758435,-0.0769277525889932,-0.22826361184859445,-0.1812984396265318,-0.17678091409141705,-0.1764398975432535,0.6141463219451528
keyed,20270818,3,qualified,8,0,Pdiag pointwise (SE(3)),True,,0.006741420999787806,0.8205267295848363,0.20204809640765833,0.2850409131497455,-0.11621333468641826,True,True,detected,0.6007941379860817,-0.27288985519515957,1.1581566640199785,0.854542447019407,0.829576112250739,0.813656164705124,0.8205267295848361,-0.4814164535153329,-0.11621333468641826,-0.18855759447306175,-0.1685720427845152,-0.1872219101941256,0.6184786331771779
keyed,20270818,3,qualified,8,0,Pdiag finite (SE(3)),True,,12.841103179999664,0.8009230811103214,0.28214905122319434,0.09599185545432283,-0.0538530009497018,True,True,detected,0.6071231176579643,0.7029346571537122,0.9077076847154951,0.8831215849631293,0.8374075270537485,0.793413913674131,0.8009230811103215,-0.4075420646067348,-0.0538530009497018,-0.1136319924806547,-0.1495442715173062,-0.2548030965510836,0.5187740298871272
keyed,20270818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.0026447619998180016,0.7939302493467965,0.7494771792351337,0.16264279218825636,0.044453070111662885,False,False,right_censored,,0.7939302493467965,0.7939302493467965,0.7939302493467965,0.7939302493467965,0.7939302493467965,0.7939302493467965,0.044453070111662885,0.044453070111662885,0.044453070111662885,0.044453070111662885,0.044453070111662885,0.044453070111662885
keyed,20270818,4,qualified,8,1,Full operator (SE(3)),True,,0.00029006500017203507,0.8115313874819292,0.19733539868977068,0.09788407620390444,-0.17964485274583797,True,True,detected,0.5966687892417439,0.7968681218856857,0.7425986501994353,0.787686230470124,0.8167101977582715,0.817750526942985,0.8115313874819293,-0.2027794195650794,-0.2634414254216628,-0.22080892318308276,-0.17964485274583797,-0.18087112721190812,0.6141959887921586
keyed,20270818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.006347891000132222,0.8102612950523438,0.20330591424559086,0.19042799845700606,-0.14298505436729259,True,True,detected,0.5994232445739482,0.25696697715488126,1.2333197387277757,0.6009835370890099,0.816787226403571,0.8102495148866489,0.8102612950523436,-0.2363561619499827,-0.14298505436729259,-0.3299129455773625,-0.18137531533809892,-0.18768962535130151,0.6069553808067527
keyed,20270818,4,qualified,8,1,Pdiag finite (SE(3)),True,,8.689979812000274,0.7311452035123568,0.29817610127949423,0.10832544370747366,-0.03795930461234087,False,True,detected,0.6067826873646442,0.842065442631452,0.7029323906336421,0.8181617026517551,0.8224615023077798,0.8150016542592209,0.7311452035123568,-0.03795930461234087,-0.23400707318446867,-0.1829830403797179,-0.19906486059238848,-0.20161568727524082,0.43296910223286256
keyed,20260818,14,random,30,2,Frame-weighted (SE(3)),True,,0.007308501999887085,0.6769403838088468,0.65674017336438,0.1890528781074534,0.02020021044446685,False,False,right_censored,,0.6769403838088468,0.6769403838088468,0.6769403838088468,0.6769403838088468,0.6769403838088468,0.6769403838088468,0.02020021044446685,0.02020021044446685,0.02020021044446685,0.02020021044446685,0.02020021044446685,0.02020021044446685
keyed,20260818,14,random,30,2,Full operator (SE(3)),True,,0.0007045309998829907,0.8281538783676747,0.21109190373906575,0.0949717628143828,-0.05850928614903084,True,True,detected,0.6042581360402198,0.789227612888909,0.9418626119625071,0.6958067337635964,0.8238325879677489,0.8248673882241369,0.8281538783676748,-0.20909268258456037,-0.05850928614903084,-0.28333847824074965,-0.1768608217692994,-0.174334732360226,0.6170619746286092
keyed,20260818,14,random,30,2,Pdiag pointwise (SE(3)),True,,0.011132416999771522,0.8250080409409989,0.21300896422474136,0.16653007614512352,-0.17652508465717143,True,True,detected,0.6054891228780344,0.6225489349152687,0.2929190648124424,0.6746687762039218,0.815347668158805,0.8230426141825679,0.8250080409409988,-0.23294158671594467,-0.2179939134775301,-0.3248241809840491,-0.18513089736639454,-0.17652508465717143,0.6119990767162574
keyed,20260818,14,random,30,2,Pdiag finite (SE(3)),True,,59.718475080999724,0.7864914940866149,0.28910125710416135,0.0921468780415744,-0.15347720225320094,False,True,detected,0.6120684715502906,0.7912334890577823,0.8508649973235382,0.8058202291936793,0.8277111064469497,0.8241361901625005,0.7864914940866147,-0.15347720225320094,-0.18457465009114082,-0.20276623371115243,-0.1580014409363747,-0.18210990290656015,0.4973902369824533
keyed,20260818,9,qualified,15,0,Frame-weighted (SE(3)),True,,0.006672645999969973,0.6962230078747402,0.6746184902142494,0.18670596954883442,0.021604517660490652,False,False,right_censored,,0.69622300787474,0.69622300787474,0.69622300787474,0.69622300787474,0.69622300787474,0.69622300787474,0.021604517660490652,0.021604517660490652,0.021604517660490652,0.021604517660490652,0.021604517660490652,0.021604517660490652
keyed,20260818,9,qualified,15,0,Full operator (SE(3)),True,,0.0006806440001128067,0.8227529075210035,0.2144963108599352,0.13217547078467315,-0.011750901118189994,True,True,detected,0.6048615850174855,0.5654832986045425,0.8255325950767055,0.92608554944915,0.824700915218317,0.7748536028320393,0.8227529075210035,-0.4334806316386022,-0.16907961693808138,-0.011750901118189994,-0.17566189207939054,-0.2224167432704357,0.6082565966610683
keyed,20260818,9,qualified,15,0,Pdiag pointwise (SE(3)),True,,0.01660247600011644,0.8190657325701346,0.21059225128293751,0.17013877203055666,-0.18201911816059235,True,True,detected,0.6038691081249113,0.85589521030887,0.36802548559933324,0.7048980928141027,0.817557134368341,0.7713902281382728,0.8190657325701345,-0.2672442539666873,-0.19780015567731024,-0.2982433982301569,-0.18201911816059235,-0.22528750214471727,0.608473481287197
keyed,20260818,9,qualified,15,0,Pdiag finite (SE(3)),True,,65.90367425500017,0.7714994181959289,0.2801112718590701,0.10635777334218717,0.001092281155985253,False,True,detected,0.6094971435180484,0.6833901633696604,0.9621878000311568,0.8677184704354407,0.8419044324190698,0.8009374098837341,0.7714994181959289,-0.2512170080439208,0.001092281155985253,-0.13541229956311163,-0.11406329516884162,-0.2606990978762167,0.4913881463368588
keyed,20270818,2,random,8,2,Frame-weighted (SE(3)),True,,0.0066691340002762445,0.3993678572069582,0.382924073545467,0.3766008927194852,0.01644378366149135,False,True,detected,0.5977046566791837,0.3993678572069582,0.3993678572069582,0.3993678572069582,0.3993678572069582,0.3993678572069582,0.3993678572069582,0.01644378366149135,0.01644378366149135,0.01644378366149135,0.01644378366149135,0.01644378366149135,0.01644378366149135
keyed,20270818,2,random,8,2,Full operator (SE(3)),True,,0.0006170399997245113,0.8218811640551905,0.19307140347962912,0.13240863243162823,-0.1494874093897638,True,True,detected,0.5986019342640001,0.780856914518171,0.8060812120048985,0.39939402310333016,0.8048015700995527,0.8078501764764323,0.8218811640551906,-0.2171394636038092,-0.16318234833568313,-0.44107124193580993,-0.1494874093897638,-0.19129933392455678,0.6288097605755615
keyed,20270818,2,random,8,2,Pdiag pointwise (SE(3)),True,,0.017056125000181055,0.8294248066027669,0.2162976122630435,0.634195302459846,-0.05385159810446205,True,True,detected,0.6062192342503774,-0.6734889268222888,-0.27483738163678223,0.7254687679279441,0.8126556050526811,0.8183808447049401,0.8294248066027669,-0.46966369702019295,-0.4789345425408389,-0.05385159810446205,-0.1796792344831305,-0.18128603979754976,0.6131271943397235
keyed,20270818,2,random,8,2,Pdiag finite (SE(3)),True,,41.054412838999724,0.8095935918098961,0.2732999750230129,0.1111091644710478,-0.08001542708928266,True,True,detected,0.6118201979487793,0.7255626283213809,0.6505670455466269,0.9169894744810313,0.8389546400403489,0.7990793334188429,0.8095935918098961,-0.24005428922601912,-0.30390528244933046,-0.08001542708928266,-0.1267904632778546,-0.24084285307347142,0.5362936167868831
keyed,20270818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.007418520000101125,0.9736875211478977,0.9187580947275871,0.1568853297152051,0.05492942642031029,False,False,right_censored,,0.9736875211478978,0.9736875211478978,0.9736875211478978,0.9736875211478978,0.9736875211478978,0.9736875211478978,0.05492942642031029,0.05492942642031029,0.05492942642031029,0.05492942642031029,0.05492942642031029,0.05492942642031029
keyed,20270818,5,qualified,8,2,Full operator (SE(3)),True,,0.0006904759998178633,0.8098906159803926,0.2163284964257991,0.9944668849175217,0.02444249383212338,True,True,detected,0.6063673945152275,0.8562455098840281,-0.4273502910403329,0.9137655921647679,0.8232890208695102,0.8537926971572919,0.8098906159803928,-0.1422531662477654,-1.2597641084735522,0.02444249383212338,-0.17519576431428463,-0.1496971760220126,0.5935621195545938
keyed,20270818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.019099834999906307,0.8216174442933544,0.1984067857951367,0.1345344109677517,-0.10854374957961577,True,True,detected,0.5987586318852729,1.3354570151210579,0.716874552864587,0.9206108280952052,0.8116359559867418,0.8190359966046965,0.8216174442933546,-0.12960523804121227,-0.2839495748033285,-0.10854374957961577,-0.18836736860631687,-0.17939493309810306,0.6232106584982179
keyed,20270818,5,qualified,8,2,Pdiag finite (SE(3)),True,,42.111763260000316,0.7792025111189438,0.27113039860934623,0.10579041240930996,-0.0816500399867558,True,True,detected,0.6045870080030818,0.7858750330845407,0.7099827797879367,0.9200170365288284,0.812501291225648,0.8268036049989367,0.7792025111189438,-0.26041830039409464,-0.21706738095263645,-0.0816500399867558,-0.23090619246443933,-0.15118353042933663,0.5080721125095975
keyed,20270818,10,qualified,15,1,Frame-weighted (SE(3)),True,,0.003036033000171301,0.6480268242241067,0.65478774587624,0.19750058564519535,-0.006760921652133378,False,False,right_censored,,0.6480268242241067,0.6480268242241067,0.6480268242241067,0.6480268242241067,0.6480268242241067,0.6480268242241067,-0.006760921652133378,-0.006760921652133378,-0.006760921652133378,-0.006760921652133378,-0.006760921652133378,-0.006760921652133378
keyed,20270818,10,qualified,15,1,Full operator (SE(3)),True,,0.0003453469998930814,0.8121359185147994,0.20782657863495976,0.08413893960274302,-0.1253683211518256,True,True,detected,0.6032736895187986,0.830436857874411,0.7845476044295713,0.9343092225723987,0.8128649014142049,0.8112933481922819,0.8121359185147995,-0.17023772452657515,-0.22068747303613245,-0.1253683211518256,-0.18690312080933535,-0.18997828684353602,0.6043093398798396
keyed,20270818,10,qualified,15,1,Pdiag pointwise (SE(3)),True,,0.007280011000148079,0.8108505539605774,0.2077180090846837,0.14171779151409333,-0.187403171386331,True,True,detected,0.6030735804275569,0.5767206336656695,0.3522112422786421,0.7547932702383862,0.8075207446533846,0.8122926419977883,0.8108505539605774,-0.27143970892737135,-0.2908680213419188,-0.2549335203029681,-0.19280261852682934,-0.187403171386331,0.6031325448758939
keyed,20270818,10,qualified,15,1,Pdiag finite (SE(3)),True,,18.63407772399978,0.7561706193580359,0.29525257232435237,0.10062495953487204,-0.15916119555740416,False,True,detected,0.6099825421466051,0.7643270025411466,0.7287091569362464,0.839468658174698,0.8044625455314752,0.7603048486914021,0.7561706193580359,-0.15916119555740416,-0.2951028285093332,-0.1764194911412862,-0.19243400862657367,-0.17727270108435478,0.4609180470336834
keyed,20270818,9,qualified,15,0,Frame-weighted (SE(3)),True,,0.0031189110000013898,0.7313705978862036,0.6754456543246684,0.1646897546978802,0.0559249435615351,False,False,right_censored,,0.7313705978862035,0.7313705978862035,0.7313705978862035,0.7313705978862035,0.7313705978862035,0.7313705978862035,0.0559249435615351,0.0559249435615351,0.0559249435615351,0.0559249435615351,0.0559249435615351,0.0559249435615351
keyed,20270818,9,qualified,15,0,Full operator (SE(3)),True,,0.00035189199979868135,0.8193792635594517,0.21070328610616873,0.12539280610539932,0.1292391382607384,True,True,detected,0.604186238794909,0.6589538794236921,0.8294767322796663,1.0607796503743419,0.8195621312355402,0.7722080840373187,0.8193792635594518,-0.34613193055633185,-0.16385941323317776,0.1292391382607384,-0.17866882914138182,-0.22745425867851976,0.6086759774532831
keyed,20270818,9,qualified,15,0,Pdiag pointwise (SE(3)),True,,0.007122532999801479,0.8173846923639662,0.21003076411843605,0.14675384828049806,-0.017727422488785227,True,True,detected,0.6035253801189958,0.939683272256191,0.2742256368374385,0.9864872024808641,0.8093680246359967,0.7654056538031423,0.8173846923639659,-0.1902828940531247,-0.29051805603984604,-0.017727422488785227,-0.18959517695561312,-0.2335606712473538,0.6073539282455299
keyed,20270818,9,qualified,15,0,Pdiag finite (SE(3)),True,,26.2030687030001,0.7797474876474315,0.28027563434156383,0.10144910881946406,-0.037266348141721584,False,True,detected,0.6093137688202318,0.7038221688328682,0.8731073491480789,0.9659916967721413,0.8540361261556112,0.7961411923925487,0.7797474876474314,-0.23890447604678322,-0.08505364293228646,-0.037266348141721584,-0.09847504033146393,-0.2685235199521937,0.4994718533058677
keyed,20260818,15,qualified,30,0,Frame-weighted (SE(3)),True,,0.0072708170000623795,0.5666615976503114,0.7657388220403897,0.22393308103720774,-0.19907722439007824,False,False,right_censored,,0.5666615976503114,0.5666615976503114,0.5666615976503114,0.5666615976503114,0.5666615976503114,0.5666615976503114,-0.19907722439007824,-0.19907722439007824,-0.19907722439007824,-0.19907722439007824,-0.19907722439007824,-0.19907722439007824
keyed,20260818,15,qualified,30,0,Full operator (SE(3)),True,,0.0007035050002741627,0.2937310926976506,0.7271999285846605,0.24374843542420432,0.028207151302168443,False,True,detected,0.75,0.8055457717408006,0.753019316678539,0.9826749361195576,0.8092203089474811,0.8217704179491955,0.2937310926976506,-0.18416050090375136,-0.24601228189643143,0.028207151302168443,-0.19307392237616272,-0.1780597560921885,-0.43346883588700974
