pair_key,family,claim,source_task,target_task,seed,sample_size,repeat,method,target_nominal_trajectories,target_interventions_for_fit,target_interventions_for_validation,source_sample_size,fit_success,fit_error,fit_seconds,m_transfer_correct,e_alpha,e_task,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20280818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.262228136183694,True,0.0996680446037892,9.050799260890109e-06,0.6930151074546059,0.6838071187995065,0.546376299412031,0.004326974473855216,0.01924320762772691,0.004637691832377389
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20260818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,2.011076673875584e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20260818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.0024506058543920517,False,0.14772268295065227,7.065616628303997e-06,0.4501258146857636,0.4501258146857636,0.4501258146857636,0.4501258146857636,0.4501258146857636,0.4501258146857636
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20260818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.09720103885047138,False,0.14772625759974425,7.06581076920155e-06,0.45354868719689345,0.45354868719689345,0.45354868719689345,0.45354868719689345,0.45354868719689345,0.45354868719689345
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20260818,8,0,Pdiag finite target scratch,0,8,0,0,True,,1.0155376200564206,True,4.094303020563985e-05,2.232971717743208e-09,1.0091243592231265,1.010505763585752,1.0121600429441115,0.0002744704337401292,9.494170945007322e-05,0.00016081645684753976
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20260818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,6.475791657809168,True,0.09904631618145555,5.741026584395003e-06,0.5813583053460025,0.7073884571336987,0.6716184956771787,0.005788755552725178,0.006589188368675725,0.001411695851466277
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20270818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,1.928502277976045e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20270818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.006604063091799617,False,0.1463174983196218,7.403552073429627e-06,0.5092571300777514,0.5092571300777514,0.5092571300777514,0.5092571300777514,0.5092571300777514,0.5092571300777514
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20270818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.17861670209094882,False,0.14632086252200943,7.40377662812126e-06,0.5131296518717294,0.5131296518717294,0.5131296518717294,0.5131296518717294,0.5131296518717294,0.5131296518717294
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20270818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.8374017761088908,True,0.0007512171171345126,1.5857332514757608e-07,1.0264403041775145,0.9949806966322474,0.9291357027479824,0.013735576883150222,4.601811954900767e-06,0.007040555105743107
