seed,condition_id,generator,method,segment,position_rmse_mm,orientation_rmse_deg,axis_rmse_deg
20270818,10,pitch,Identity,All assembly,21.906203444679395,3.852550007827406,3.848184642883758
20270818,11,yaw,Identity,All assembly,28.392936082708655,29.86527663557771,0.3413370261971633
20270818,12,yaw,Identity,All assembly,14.299087420778765,14.875213073382483,0.3360947362278195
20270818,13,yaw,Identity,All assembly,14.474010965185503,15.029380285580299,0.456978680969589
20270818,14,yaw,Identity,All assembly,28.05714557067313,30.121941270239184,0.3865198079406534
20270818,15,mixed,Identity,All assembly,34.46454450885343,16.13354549812006,3.7093235887707867
20270818,19,mixed,Identity,All assembly,16.246718170168204,8.863709470118739,3.688267969581067
20270818,23,mixed,Identity,All assembly,5.5522464520874335,3.86361796687587,0.7822366743963988
20270818,27,mixed,Identity,All assembly,13.194292650548055,19.06196061406613,3.7018442734077204
20270818,31,mixed,Identity,All assembly,9.467401418208585,8.563402412491737,2.114817660145347
20270818,35,mixed,Identity,All assembly,14.267748175038058,7.1199020956888015,2.181091992924575
20270818,39,mixed,Identity,All assembly,44.478606084080795,23.018928238567625,4.91994708635811
20270818,43,mixed,Identity,All assembly,28.051560584831215,21.650039202564912,1.508214597056115
20270818,47,mixed,Identity,All assembly,5.21375373583058,4.447277442004193,0.732742069951505
20270818,51,mixed,Identity,All assembly,7.62452874849895,4.955921650885635,0.9698947157811381
20270818,55,mixed,Identity,All assembly,21.068760030581984,3.339655280132906,3.214053690216485
20270818,59,mixed,Identity,All assembly,25.061133399352723,10.789018063156538,3.3309233778410032
20270818,63,mixed,Identity,All assembly,4.944353546541775,13.807795313099387,2.684870442037464
20270818,67,mixed,Identity,All assembly,43.49257890022993,17.51216221927649,4.904181241425828
20270818,71,mixed,Identity,All assembly,29.721333599672597,8.115677772339602,4.073347338575168
20270818,1,du,Identity,Align,8.591765972748602,0.49851920189267096,0.3178493750491528
20270818,2,du,Identity,Align,9.311247708035593,0.475292054348491,0.29941112720803736
20270818,3,dv,Identity,Align,9.121860575474706,0.8117882926605946,0.7931101656699322
20270818,4,dv,Identity,Align,12.340460912678198,0.8097355861566595,0.6758819407050863
20270818,5,dw,Identity,Align,9.42657447552645,0.8865148189922007,0.7787385147367873
20270818,6,dw,Identity,Align,15.951163667222822,0.8843171901994623,0.6171343477344495
20270818,7,roll,Identity,Align,47.0000238897994,7.252301918818534,7.249174488089333
20270818,8,roll,Identity,Align,48.039333558597725,7.84943355684505,7.787451129616042
20270818,9,pitch,Identity,Align,46.363001062152726,8.125309631745994,8.114763238832868
20270818,10,pitch,Identity,Align,43.78057668074844,7.689438119368233,7.6824099940005475
20270818,11,yaw,Identity,Align,56.77014642376856,29.548557400169027,0.5294451401008305
20270818,12,yaw,Identity,Align,28.56578697250027,14.658614975880228,0.47596953228049094
20270818,13,yaw,Identity,Align,28.8930563074954,14.901532496426327,0.7230701949763724
20270818,14,yaw,Identity,Align,56.09917107645517,30.363361231703898,0.501305008910575
20270818,15,mixed,Identity,Align,68.91253215662292,17.281345500187445,7.405230083733959
20270818,19,mixed,Identity,Align,32.460926661865294,10.359409242519396,7.363897992855776
20270818,23,mixed,Identity,Align,10.839150453967694,4.35304481366212,1.4179402934519367
20270818,27,mixed,Identity,Align,26.350914410157085,20.111899200463384,7.392418353662226
20270818,31,mixed,Identity,Align,18.848898613746098,8.80779563446362,4.187278113134531
20270818,35,mixed,Identity,Align,28.491820578218515,7.854761538168564,4.316569559861281
20270818,39,mixed,Identity,Align,88.92897804066872,24.43628761418839,9.815781303483934
20270818,43,mixed,Identity,Align,56.0876488700515,21.957697321242737,2.9759441545646235
20270818,47,mixed,Identity,Align,10.277651460098303,4.9895315914051945,1.372604484548865
20270818,51,mixed,Identity,Align,15.191426378061001,5.024147050837689,1.8722373461081254
20270818,55,mixed,Identity,Align,42.118795699942595,6.447994273313679,6.405801030818372
20270818,59,mixed,Identity,Align,50.105516015599804,12.322930857800602,6.647105140088178
20270818,63,mixed,Identity,Align,9.806330013165224,14.405616671145784,5.34392166196648
20270818,67,mixed,Identity,Align,86.97115052790754,20.111226942688628,9.797402623058144
20270818,71,mixed,Identity,Align,59.42460545634167,10.732003036851774,8.12860334991321
20270818,1,du,Identity,Insert,0.7781845051127135,0.260266101178044,0.21257502832659436
20270818,2,du,Identity,Insert,0.6893241935110056,0.2232665918488082,0.21940046846357955
20270818,3,dv,Identity,Insert,0.685365999251556,0.22476572681577553,0.22141764613361234
20270818,4,dv,Identity,Insert,0.6681683554362426,0.22473048391131775,0.22255520203305554
20270818,5,dw,Identity,Insert,0.5540340681178147,0.3082320002514258,0.3063151512841246
20270818,6,dw,Identity,Insert,1.3731574677123857,0.21897344698490595,0.21377183242805162
20270818,7,roll,Identity,Insert,1.5248529922576084,0.4329022881632505,0.4211407067932809
20270818,8,roll,Identity,Insert,1.2403619545657139,0.30338509343120484,0.29183530752122017
20270818,9,pitch,Identity,Insert,1.0898686488312672,0.4616269115118151,0.46123165955550366
20270818,10,pitch,Identity,Insert,0.7256844990037137,0.21188493446561907,0.20168928926612473
20270818,11,yaw,Identity,Insert,0.6755851034857312,29.987680296994903,0.18036842227666255
20270818,12,yaw,Identity,Insert,0.7013520729979622,14.942987416566359,0.23302239152332496
20270818,13,yaw,Identity,Insert,0.5760528579978356,15.04345988028115,0.3302604021191758
20270818,14,yaw,Identity,Insert,0.5463570018371807,30.04859273892362,0.3424744542959603
20270818,15,mixed,Identity,Insert,0.3738774192728196,15.662974834168478,0.24877188978646483
20270818,19,mixed,Identity,Insert,0.6208371045531754,8.297811277601493,0.2276809370635301
20270818,23,mixed,Identity,Insert,0.6990871327317811,3.604552742008117,0.23508734296276168
20270818,27,mixed,Identity,Insert,0.6623933094526689,18.70854286799302,0.22672114226215223
20270818,31,mixed,Identity,Insert,1.1748269035205121,8.481542492403047,0.3794747067991488
20270818,35,mixed,Identity,Insert,0.934094549112324,6.856731411733768,0.40063881652996886
20270818,39,mixed,Identity,Insert,1.2830495526528942,22.55127235986679,0.44342648127045464
20270818,43,mixed,Identity,Insert,0.5762655950049386,21.55107292713917,0.26535205227824077
20270818,47,mixed,Identity,Insert,0.7165248506508896,4.2801578511111655,0.2234696848744356
20270818,51,mixed,Identity,Insert,0.6641834774387878,4.942194451329396,0.23808951201936393
20270818,55,mixed,Identity,Insert,0.43852000868869445,1.0079078691498569,0.33700306630278676
20270818,59,mixed,Identity,Insert,0.5474047632141374,10.239802631494639,0.2338360178173807
20270818,63,mixed,Identity,Insert,0.6853056209414707,13.602764381079016,0.2355444638329325
20270818,67,mixed,Identity,Insert,0.7203642573867544,16.562449263494187,0.2417234612220644
20270818,71,mixed,Identity,Insert,0.24256587442149613,7.005046206235875,0.32629118005483804
20270818,1,du,Frame scalar affine,All assembly,3.687719488037296,1.3895172451817819,1.3450197292756503
20270818,2,du,Frame scalar affine,All assembly,11.327269934915437,1.359044823452089,1.3190258367725318
20270818,3,dv,Frame scalar affine,All assembly,9.698093952746039,1.4403243551838247,1.4206111252320988
20270818,4,dv,Frame scalar affine,All assembly,9.311544771072914,1.4421932837362876,1.3980629021681135
20270818,5,dw,Frame scalar affine,All assembly,8.315913698022241,1.4835174595826057,1.4457219723437387
20270818,6,dw,Frame scalar affine,All assembly,10.357028079132634,1.4038461992643583,1.352092233127227
20270818,7,roll,Frame scalar affine,All assembly,23.06633978778946,6.2310906639654755,6.226106861184384
20270818,8,roll,Frame scalar affine,All assembly,26.149875901412962,6.9994577893423795,6.972953611349053
20270818,9,pitch,Frame scalar affine,All assembly,20.14774610517708,5.051929709177738,5.035307565756063
20270818,10,pitch,Frame scalar affine,All assembly,28.49711652797824,7.618702265551317,7.615641470263994
20270818,11,yaw,Frame scalar affine,All assembly,5.745449044199708,15.472949865265598,1.3732454158849003
20270818,12,yaw,Frame scalar affine,All assembly,5.594851518706261,7.650859898376762,1.3517947225488238
20270818,13,yaw,Frame scalar affine,All assembly,5.8381490417338,8.266961132197821,1.4139749251007114
20270818,14,yaw,Frame scalar affine,All assembly,5.408687639436702,16.03492291030574,1.3725884736086054
20270818,15,mixed,Frame scalar affine,All assembly,17.92745174686862,9.171600042873616,4.257667983465372
20270818,19,mixed,Frame scalar affine,All assembly,30.047906065141948,8.618680345158241,7.4472397126467555
20270818,23,mixed,Frame scalar affine,All assembly,4.922120180643064,2.4887077419999892,1.1391543425934436
20270818,27,mixed,Frame scalar affine,All assembly,27.723981358183316,12.436804118650999,7.509852330605551
20270818,31,mixed,Frame scalar affine,All assembly,11.087754771172152,5.5927794889342035,3.688881360843795
