sample_index,source_progress,phase,phase_index,phase_progress,generator,mean,sd,seed_20260818,seed_20270818,seed_20280818
34,0.34375,Enter,1,0.375,dv,0.9718367234571136,0.004161108540938516,0.967053070778911,0.9738382619790652,0.9746188376133645
35,0.35416666666666663,Enter,1,0.4166666666666667,dv,0.970800814914241,0.005954415460414202,0.9647350721453996,0.9710300927168622,0.9766372798804609
36,0.3645833333333333,Enter,1,0.4583333333333333,dv,0.9684942594468026,0.009013152650647267,0.9593760214194624,0.9687082406995442,0.9773985162214011
37,0.375,Enter,1,0.5,dv,0.9658729714246931,0.011841847989612412,0.9533507923136575,0.9673774196712149,0.9768907022892067
38,0.38541666666666663,Enter,1,0.5416666666666666,dv,0.9642066971962446,0.013108323333715251,0.9498772334383213,0.9671491083947042,0.9755937497557083
39,0.3958333333333333,Enter,1,0.5833333333333334,dv,0.9644709117592809,0.011743133888373775,0.9514341152391762,0.967759349355438,0.9742192706832287
40,0.40625,Enter,1,0.625,dv,0.9668399153682845,0.007673212365877036,0.9583950428685174,0.968740437675134,0.9733842655612022
41,0.41666666666666663,Enter,1,0.6666666666666666,dv,0.9705964186158039,0.0024305974712545524,0.9687849197507896,0.9696456503500902,0.9733586857465322
42,0.4270833333333333,Enter,1,0.7083333333333334,dv,0.974513468139126,0.004576985451152388,0.979327975344269,0.9702183093220959,0.9739941197510127
43,0.4375,Enter,1,0.75,dv,0.9774400609029331,0.008589494882326533,0.9870268915126422,0.9704446166520672,0.97484867454409
44,0.44791666666666663,Enter,1,0.7916666666666666,dv,0.978750060499851,0.010329288162104266,0.9903325094421735,0.9704932019703477,0.9754244700870318
45,0.4583333333333333,Enter,1,0.8333333333333334,dv,0.9785029895830745,0.009842939413350972,0.989525342966136,0.9705909274883888,0.9753926982946988
46,0.46875,Enter,1,0.875,dv,0.9773417080546039,0.008083501222160231,0.9864129282020114,0.9709014416374574,0.9747107543243428
47,0.47916666666666663,Enter,1,0.9166666666666666,dv,0.9761884035377507,0.0064257909361324665,0.9835044944632566,0.9714594242151446,0.9736012919348509
48,0.4895833333333333,Enter,1,0.9583333333333334,dv,0.9758271864265685,0.0061080835791586015,0.9828787571356312,0.9721781212630511,0.9724246808810232
49,0.5,Enter,1,1.0,dv,0.9765527351264879,0.007550240188385343,0.9852337343820725,0.9729095989948096,0.9715148720025814
50,0.5,Unlock label,2,0.0,dv,0.9765527351264879,0.007550240188385343,0.9852337343820725,0.9729095989948096,0.9715148720025814
51,0.5104166666666666,Unlock label,2,0.041666666666666664,dv,0.9780838452205022,0.010116951392659997,0.98967919116745,0.9735164851175598,0.9710558593764966
52,0.5208333333333334,Unlock label,2,0.08333333333333333,dv,0.9797836113554776,0.012725150870418688,0.9943836041562075,0.9739187533940423,0.971048476516183
53,0.53125,Unlock label,2,0.125,dv,0.981025274710151,0.014425877021942634,0.9976078653690652,0.974101163761595,0.9713667949997927
54,0.5416666666666666,Unlock label,2,0.16666666666666666,dv,0.9814884714103056,0.014789100746907115,0.9985167366871991,0.9740906439035218,0.971858033640196
55,0.5520833333333334,Unlock label,2,0.20833333333333334,dv,0.9812671218898581,0.014035260887055343,0.9974504703290364,0.9739257630305078,0.9724251323100297
56,0.5625,Unlock label,2,0.25,dv,0.9807797975930735,0.012881298698014453,0.9956499729360452,0.9736384276422456,0.9730509922009299
57,0.5729166666666666,Unlock label,2,0.2916666666666667,dv,0.9805356817734415,0.012174372872272313,0.9945903959181833,0.9732551201092557,0.9737615292928855
58,0.5833333333333334,Unlock label,2,0.3333333333333333,dv,0.9808620129667295,0.012462233284318185,0.9952167056917505,0.9728103920418314,0.9745589411666062
59,0.59375,Unlock label,2,0.375,dv,0.9817352249222765,0.013716196821653478,0.9974775106335091,0.9723576340291298,0.9753705301041907
60,0.6041666666666666,Unlock label,2,0.4166666666666667,dv,0.9828111206300282,0.01538698231076828,1.0004215020447564,0.9719650785187784,0.9760467813265498
61,0.6145833333333334,Unlock label,2,0.4583333333333333,dv,0.9836243029858615,0.016742585553623228,1.0027641763067285,0.9716957421573458,0.9764129904935097
62,0.625,Unlock label,2,0.5,dv,0.9838297480145842,0.017251492188023253,1.0035589948358874,0.9715815143984875,0.9763487348093779
63,0.6354166666666666,Unlock label,2,0.5416666666666666,dv,0.9833629190247715,0.0168180189782457,1.0026271972631253,0.9716067624105879,0.9758547974006009
64,0.6458333333333333,Unlock label,2,0.5833333333333334,dv,0.9824604571075731,0.01579525356481644,1.0005957496422182,0.9717125106620141,0.975073111018487
65,0.65625,Unlock label,2,0.625,dv,0.9815447972280816,0.014791191082277543,0.9985666855642594,0.9718210786640452,0.97424662745594
66,0.6666666666666666,Unlock label,2,0.6666666666666666,dv,0.9810236956455274,0.014355282456126951,0.9975684603680434,0.9718697212002366,0.9736329053683022
67,0.6770833333333333,Unlock label,2,0.7083333333333334,dv,0.981098269155179,0.014702456613470149,0.9980509813813955,0.9718368069331341,0.9734070191510074
68,0.6875,Unlock label,2,0.75,dv,0.9816797230786479,0.015629197016154478,0.9996951890322541,0.9717478476747183,0.9735961325289714
69,0.6979166666666666,Unlock label,2,0.7916666666666666,dv,0.9824555241411354,0.016652074832952144,1.0016330281697097,0.9716588397331481,0.9740747045205482
70,0.7083333333333333,Unlock label,2,0.8333333333333334,dv,0.983056685782954,0.017269959839715455,1.0029231668686596,0.9716255434346205,0.974621347045582
71,0.71875,Unlock label,2,0.875,dv,0.9832304083154236,0.01720768548967937,1.0030065227118476,0.9716739943069381,0.9750107079274852
72,0.7291666666666666,Unlock label,2,0.9166666666666666,dv,0.982939682847392,0.016531017164971473,1.0019319140920069,0.9717864936685142,0.9751006407816546
73,0.7395833333333333,Unlock label,2,0.9583333333333334,dv,0.9823584276525607,0.015596244983170096,1.0002855283344128,0.971909228149782,0.9748805264734874
74,0.75,Unlock label,2,1.0,dv,0.9817739931563199,0.014866476808990113,0.9988801110624766,0.971976876187015,0.9744649922194679
75,0.75,Insert,3,0.0,dv,0.9817739931563199,0.014866476808990113,0.9988801110624766,0.971976876187015,0.9744649922194679
76,0.7604166666666666,Insert,3,0.041666666666666664,dv,0.9814441830340982,0.014679786497846037,0.9983516289189935,0.9719417290206214,0.9740391911626793
77,0.7708333333333334,Insert,3,0.08333333333333333,dv,0.9814781528205462,0.015086746138910624,0.9988610475912651,0.9717936615778875,0.9737797492924861
78,0.78125,Insert,3,0.125,dv,0.9817997561225152,0.015846427010461666,1.0000526333826283,0.9715626407648165,0.9737839942201011
