seed,subset_id,protocol,sample_size,repeat,rank,augmented_intercept_rank,condition_number,optimization_success,optimization_nfev,lambda_min_post,lambda_max_post,lambda_ratio_post,log_det_post,trace_inv_post,ridge_post,lambda_min_design,lambda_max_design,lambda_ratio_design,log_det_design,trace_inv_design,ridge_design,fit_seconds
20260818,48,random,8,8,3,4,2.182768531649588,True,18,1.8538206867872958e-19,0.0005718573837214034,3.241753520298056e-16,-699.5087774718525,1249491992.5929096,1e-08,2.829660374244707e-13,0.007650324178671591,3.698745710846532e-11,-709.9816969648139,1036370641.0929914,1e-08,2.5209577050991356
20260818,49,random,8,9,3,4,1.5903868104007004,True,27,1.0603219463910623e-20,0.00041761961848128153,2.5389658422825934e-17,-681.7461305048508,1213133646.67242,1e-08,4.4258174053397884e-13,0.007434989140926929,5.95268845918989e-11,-702.8251764752376,1011294314.9921627,1e-08,14.451678949873894
20260818,50,qualified,8,0,3,4,3.6066426650569334,True,25,1.929601293543082e-21,0.00038852385277586955,4.966493768031855e-18,-687.0102665894733,1261705216.601253,1e-08,3.464007502842116e-13,0.008961248762590928,3.865541058633197e-11,-716.754664371,1059351344.3656203,1e-08,10.870766129344702
20260818,51,qualified,8,1,3,4,2.2678600672484217,True,11,1.75847347259518e-14,0.0007272481123735634,2.4179828626243448e-11,-681.0193740346267,1010144875.7986747,1e-08,3.60785694910416e-13,0.009000318125027308,4.0085882509771994e-11,-717.4775078772,1061389824.3110042,1e-08,1.8218196737580001
20260818,52,qualified,8,2,3,4,1.7747223233261542,True,49,1.4224856234114473e-19,0.0004230426911775103,3.362510812920692e-16,-697.1036004505354,1268599831.645019,1e-08,3.517169922252794e-13,0.004983812599107041,7.057187348663495e-11,-689.9079981756245,968666504.8154718,1e-08,4.141151049174368
20260818,53,qualified,8,3,3,4,2.335803622806999,True,12,1.5775206491010774e-14,0.0002560312910847699,6.161436918188148e-11,-636.17209741992,887574565.5738776,1e-08,3.6683440388065244e-13,0.004909065848803356,7.472590818272946e-11,-689.0212671262423,965739637.841841,1e-08,2.419166781939566
20260818,54,qualified,8,4,3,4,1.6401241697426197,True,9,2.3794838310637176e-14,0.0006958036129645589,3.419763546391527e-11,-684.1740298277157,1021160902.7794725,1e-08,2.9190779694864377e-13,0.008250822785434191,3.5379234839944806e-11,-721.162791322067,1074270395.4706337,1e-08,0.8736442769877613
20260818,55,qualified,8,5,3,4,1.764166444355032,True,15,9.158863838204334e-17,0.0006703117356494667,1.3663588672411184e-13,-678.2646636204731,1056076687.5163239,1e-08,2.9093161550348606e-13,0.008133203342909434,3.577085229980407e-11,-709.51784463291,1034881628.1093583,1e-08,1.3746208320371807
20260818,56,qualified,8,6,3,4,2.770661818265927,True,13,5.4476372164586294e-14,0.0005892920224820817,9.244376317047925e-11,-663.835522153657,959011582.4134803,1e-08,2.61673009994002e-13,0.008253635334273363,3.170397035926706e-11,-708.0026155689634,1030902526.6859673,1e-08,9.007612647954375
20260818,57,qualified,8,7,3,4,1.7953094262574065,True,190,1.3669576934891098e-19,0.0005666419541157824,2.4123834875978814e-16,-686.365125512874,1189233895.648782,1e-08,3.1620388543395716e-13,0.008659359551188711,3.6515851266454265e-11,-712.2793890970414,1043963091.5413377,1e-08,7.785876387730241
20260818,58,qualified,8,8,3,4,3.181371352849687,True,35,4.217653780248777e-20,0.0006790055898369522,6.211515550647457e-17,-727.2693660411862,1337880252.4573166,1e-08,1.1364630605196384e-13,0.0072514704583453125,1.5672173899732937e-11,-732.0113025882017,1115428368.7056289,1e-08,3.20434342790395
