sample_size,protocol,metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign
10,qualified,log_det_design,switch_absolute_error,-0.4424242424242424,0.20042268671194224,10,-1
10,qualified,trace_inv_design,task_error_mean_mm_equiv,0.1515151515151515,0.6760651759978538,10,1
10,qualified,trace_inv_design,generator_rmse,0.11515151515151514,0.7514196523258483,10,1
10,qualified,trace_inv_design,switch_absolute_error,0.4424242424242424,0.20042268671194224,10,1
10,qualified,condition_number,task_error_mean_mm_equiv,0.5515151515151515,0.09840117666963498,10,1
10,qualified,condition_number,generator_rmse,0.38181818181818183,0.27625533338543595,10,1
10,qualified,condition_number,switch_absolute_error,-0.6242424242424242,0.053717767217167395,10,1
15,random,lambda_min_post,task_error_mean_mm_equiv,-0.6363636363636362,0.04791172612997547,10,-1
15,random,lambda_min_post,generator_rmse,-0.5151515151515151,0.12755286970323426,10,-1
15,random,lambda_min_post,switch_absolute_error,-0.2121212121212121,0.5563057751029299,10,-1
15,random,lambda_ratio_post,task_error_mean_mm_equiv,-0.18787878787878787,0.603217610029209,10,-1
15,random,lambda_ratio_post,generator_rmse,0.006060606060606061,0.9867429111949892,10,-1
15,random,lambda_ratio_post,switch_absolute_error,-0.33333333333333326,0.34659350708733405,10,-1
15,random,log_det_post,task_error_mean_mm_equiv,0.23636363636363633,0.5108853175152002,10,-1
15,random,log_det_post,generator_rmse,0.406060606060606,0.24428229408662638,10,-1
15,random,log_det_post,switch_absolute_error,-0.29696969696969694,0.4047016712701569,10,-1
15,random,trace_inv_post,task_error_mean_mm_equiv,0.2121212121212121,0.5563057751029299,10,1
15,random,trace_inv_post,generator_rmse,-0.04242424242424241,0.907363817812816,10,1
15,random,trace_inv_post,switch_absolute_error,0.32121212121212117,0.3654683104386702,10,1
15,random,lambda_min_design,task_error_mean_mm_equiv,-0.35757575757575755,0.3103760917056799,10,-1
15,random,lambda_min_design,generator_rmse,-0.406060606060606,0.24428229408662638,10,-1
15,random,lambda_min_design,switch_absolute_error,-0.006060606060606061,0.9867429111949892,10,-1
15,random,lambda_ratio_design,task_error_mean_mm_equiv,-0.12727272727272726,0.7260570147627894,10,-1
15,random,lambda_ratio_design,generator_rmse,0.17575757575757575,0.6271883447764844,10,-1
15,random,lambda_ratio_design,switch_absolute_error,-0.38181818181818183,0.27625533338543595,10,-1
15,random,log_det_design,task_error_mean_mm_equiv,-0.22424242424242422,0.5334005612725947,10,-1
15,random,log_det_design,generator_rmse,0.28484848484848485,0.42503815489214547,10,-1
15,random,log_det_design,switch_absolute_error,-0.5636363636363636,0.08972402831709125,10,-1
15,random,trace_inv_design,task_error_mean_mm_equiv,0.22424242424242422,0.5334005612725947,10,1
15,random,trace_inv_design,generator_rmse,-0.28484848484848485,0.42503815489214547,10,1
15,random,trace_inv_design,switch_absolute_error,0.5636363636363636,0.08972402831709125,10,1
15,random,condition_number,task_error_mean_mm_equiv,0.6606060606060605,0.03758837757140939,10,1
15,random,condition_number,generator_rmse,0.8424242424242423,0.0022200312259168407,10,1
