episode,generator,steps,states,success,max_contact_force_N,contact_frames,final_dist_m,final_yaw_err_rad,socket_drift_m,solver_error,dx,dy,dyaw
episode_37,mixed,427,428,True,2.2964423130182183,4,0.0019227106822654605,0.003239870071411133,0.0,,-0.0029976967155852657,0.007824021287763966,-0.17438563209802355
episode_38,mixed,289,290,False,81.0662201111841,19,0.04102436453104019,0.00031822919845581055,0.0,,0.009091058994854632,-0.009048592566760905,-0.33398306073747414
episode_39,mixed,430,431,True,75.13724661329525,4,0.0017802476650103927,0.003052055835723877,0.0,,0.00558517572313786,0.006209306988454868,-0.2924912944513094
episode_40,mixed,156,157,False,0.0,0,0.32973000407218933,0.2205374836921692,0.0,RuntimeError('motion planning failed'),0.0032632210448127856,-0.0012081020548943989,-0.19005634113056646
episode_41,mixed,289,290,False,79.02179756016963,20,0.04091053083539009,0.04630950093269348,0.0,,-0.003492692542024764,0.0008430561035455489,-0.06061281180305811
episode_42,mixed,282,283,False,78.4358075865083,20,0.03987906128168106,0.0022561997175216675,0.0,,0.009676041836940538,-0.010785815138670263,-0.1641638670912583
episode_43,mixed,156,157,False,77.03594389131719,1,0.3776018023490906,0.211933895945549,0.0,RuntimeError('motion planning failed'),0.008790805799396915,0.010876116178485742,-0.0529796036706876
episode_44,mixed,294,295,False,73.15819341012705,19,0.041055772453546524,0.0012865066528320312,0.0,,0.00975508371807354,-0.004236338169562172,-0.3916729557416604
episode_45,mixed,313,314,False,71.25993472923328,21,0.04181646183133125,0.0009340941905975342,0.0,,0.007905412556548093,0.01174078277704673,-0.3979878660030862
episode_46,mixed,252,253,False,77.36220153247326,18,0.03876258432865143,0.02696852572262287,0.0,,-0.007879901598352104,0.0030040419804812993,-0.05521983001182296
episode_47,mixed,287,288,False,81.85270995569337,20,0.041046857833862305,0.0003680288791656494,0.0,,0.011724464418871643,0.0005844828617608596,-0.31422873555576625
episode_48,mixed,303,304,False,81.88760413214804,21,0.040101490914821625,0.02397564984858036,0.0,,0.004823312835260229,0.005721055879084655,-0.04279791826011137
episode_49,mixed,298,299,False,81.59583883078032,21,0.04018261283636093,0.00566902756690979,0.0,,-0.004943111455556105,0.007610249904088786,-0.14618465256994018
episode_50,mixed,298,299,False,88.2903009507565,21,0.04073753207921982,0.015378296375274658,0.0,,-0.0025562618561429194,0.008639624041706123,-0.2114746511865107
episode_51,mixed,271,272,False,85.78304009957415,19,0.03971295431256294,0.0024006441235542297,0.0,,0.0014813574818301894,-0.0029007977358745194,-0.07345623620851388
