task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_multi_correct,du_switch_detected,du_switch_location,yaw_switch_detected,yaw_switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
multigen,20260818,16,qualified,30,1,Frame-weighted (SE(3)),True,,0.005077536989119835,0.20889612160903628,False,True,0.7148183690637193,True,0.7148183690637193,0.7502199766973777,0.7502199766973777,0.7502199766973777,0.7502199766973777,0.7502199766973777,0.7502199766973777,0.1604204859374554,0.1604204859374554,0.1604204859374554,0.1604204859374554,0.1604204859374554,0.1604204859374554
multigen,20260818,16,qualified,30,1,Full operator (SE(3)),True,,0.0007021259953035042,0.1189767814316307,True,True,0.6957724563345759,True,0.576815350745147,0.8003988009296107,0.875183192343114,0.8511533319454633,0.7964518767721797,0.8296994068169855,0.8238802824947038,0.40516949087089554,-0.12740567003295877,-0.12262061824665771,-0.20407570153883559,-0.17103852315234447,0.6649346678445405
multigen,20260818,16,qualified,30,1,Pdiag pointwise (SE(3)),True,,0.011264012995525263,0.2319525306492803,True,True,0.7083486763563004,True,0.576970946443859,1.1452303738433944,0.20124770398878142,0.8356175776611985,0.7924380854744321,0.8319837379002171,0.8245013539538975,0.4792251363460319,-0.2604766190900947,-0.14949365462933695,-0.20668420739185767,-0.1681605793458052,0.6653734255624977
multigen,20260818,16,qualified,30,1,Pdiag finite (SE(3)),True,,391.1579330329987,0.11876125439858398,True,True,0.6947738514988531,True,0.5812939049529215,0.7988290043947024,0.8881989139079371,0.8762462267988548,0.8423564855253148,0.8147044293995236,0.7695090182828735,0.4047475873691602,-0.06799753361073402,-0.10384953699629618,-0.11705025650783729,-0.20843018437364602,0.5439275762303715
multigen,20260818,14,random,30,2,Frame-weighted (SE(3)),True,,0.0057221699971705675,0.2320937670502367,False,True,0.6940803750985344,True,0.6940803750985344,0.6973561548791853,0.6973561548791853,0.6973561548791853,0.6973561548791853,0.6973561548791853,0.6973561548791853,0.1839604525803511,0.1839604525803511,0.1839604525803511,0.1839604525803511,0.1839604525803511,0.1839604525803511
multigen,20260818,14,random,30,2,Full operator (SE(3)),True,,0.009188254989567213,0.1288149130657324,True,True,0.698124369731015,True,0.574914954223271,0.8069369893890925,0.9067307741725001,0.8243984623753423,0.8114926762217866,0.8194694299048302,0.8264264527495147,0.40576340251932025,-0.09343034709875253,-0.1422389342221031,-0.18866376193614076,-0.18425723790163473,0.6709469949721503
multigen,20260818,14,random,30,2,Pdiag pointwise (SE(3)),True,,0.012857359004556201,0.18946069266925553,True,True,0.6907878819024934,True,0.5763244687212765,0.6350250939258573,0.26204555146209096,0.8135967199593437,0.8109830638953031,0.8194325760373669,0.8257145655629771,0.37569751640331017,-0.2519699977035543,-0.17455052122942205,-0.188807249195873,-0.18323412674439732,0.6676456241485196
multigen,20260818,14,random,30,2,Pdiag finite (SE(3)),True,,453.5711083539936,0.11764247969799466,True,True,0.6937982564285489,True,0.580655867523778,0.800542469765441,0.8215401516208197,0.8434594003859053,0.8192060459947116,0.8209869596747695,0.7764201484431197,0.43549558676370637,-0.21949277325311833,-0.13261105169270815,-0.16372352360378517,-0.18862870876998905,0.5446336370443865
multigen,20270818,9,qualified,15,0,Frame-weighted (SE(3)),True,,0.004037708000396378,0.2024015366181708,False,True,0.7073774315331963,True,0.7073774315331963,0.7321038679506152,0.7321038679506152,0.7321038679506152,0.7321038679506152,0.7321038679506152,0.7321038679506152,0.1608467152575246,0.1608467152575246,0.1608467152575246,0.1608467152575246,0.1608467152575246,0.1608467152575246
multigen,20270818,9,qualified,15,0,Full operator (SE(3)),True,,0.00047343599726445973,0.1277055164219765,True,True,0.6971316666047721,True,0.5796920484579545,0.7141319320738302,0.8828869627734244,0.9554968455813859,0.8180376567740925,0.7812991192110771,0.8174374634324495,0.32007703714854696,-0.09710170167424947,0.03441306739331462,-0.18097151878392181,-0.2191724860136378,0.6521763699813956
