basis,phase,output,input,mean,sd_across_fits
rotated-1,unlock,du,yaw,0.00031462515316016117,0.010420739771406408
rotated-1,unlock,dv,du,0.009690440325848532,0.02269673109160532
rotated-1,unlock,dv,dv,0.982046409305571,0.012851459500184717
rotated-1,unlock,dv,dw,0.016454685640707525,0.004486167815633134
rotated-1,unlock,dv,roll,-0.017303280225277898,0.02184041047139928
rotated-1,unlock,dv,pitch,-0.016525584225126937,0.029583356926958397
rotated-1,unlock,dv,yaw,0.015857661911440515,0.01372735097574427
rotated-1,unlock,dw,du,-0.009210385563413498,0.015154059877774182
rotated-1,unlock,dw,dv,-0.009498261779605211,0.007303190786204588
rotated-1,unlock,dw,dw,1.0032900115894083,0.008363734492448654
rotated-1,unlock,dw,roll,0.01463879795908322,0.014424705857613
rotated-1,unlock,dw,pitch,-0.04738998209115103,0.01415915917773981
rotated-1,unlock,dw,yaw,0.007852620285107147,0.015269429995830525
rotated-1,unlock,roll,du,0.005316391336614811,0.015449778520015667
rotated-1,unlock,roll,dv,0.0046493816042274495,0.007744460572273848
rotated-1,unlock,roll,dw,0.004590190736186046,0.007522980540640359
rotated-1,unlock,roll,roll,0.81273355214931,0.018138171362870686
rotated-1,unlock,roll,pitch,-0.043045230194073726,0.019313035945987624
rotated-1,unlock,roll,yaw,-0.2450693847375788,0.012055557175310577
rotated-1,unlock,pitch,du,0.006871693356262076,0.010373086478352691
rotated-1,unlock,pitch,dv,-0.003218035695252567,0.0076804695538280785
rotated-1,unlock,pitch,dw,0.0015049088493241107,0.009039364395745418
rotated-1,unlock,pitch,roll,-0.07362191361120676,0.010085121977588464
rotated-1,unlock,pitch,pitch,0.9628035181796868,0.009098448467927508
rotated-1,unlock,pitch,yaw,-0.10685310848522622,0.013133976976281042
rotated-1,unlock,yaw,du,-0.007718879521546516,0.02691572930092578
rotated-1,unlock,yaw,dv,-0.00991296547819042,0.006771910987128307
rotated-1,unlock,yaw,dw,0.004925734941455809,0.011472202294992991
rotated-1,unlock,yaw,roll,-0.28119777539298263,0.03280693856637385
rotated-1,unlock,yaw,pitch,-0.08374739781520901,0.023790585540741854
rotated-1,unlock,yaw,yaw,0.6209026321996057,0.017476994539932515
rotated-1,insert,du,du,0.9991237476845561,0.010178066392562747
rotated-1,insert,du,dv,0.029223130831428672,0.028684929235769593
rotated-1,insert,du,dw,-0.019337520131116198,0.023239529801157233
rotated-1,insert,du,roll,0.009124875314766875,0.035803965346908315
rotated-1,insert,du,pitch,0.05179482707215252,0.026674344988745706
rotated-1,insert,du,yaw,0.005781058188878237,0.015570725874096207
rotated-1,insert,dv,du,0.019156815590551494,0.03391733332532817
rotated-1,insert,dv,dv,0.9705278270722096,0.0244904314340796
rotated-1,insert,dv,dw,0.02955779518047847,0.007770671052164539
rotated-1,insert,dv,roll,-0.03595809503866089,0.03235264946898059
rotated-1,insert,dv,pitch,-0.010554890215855865,0.04901272033778789
rotated-1,insert,dv,yaw,0.012842020919682689,0.02196058534337862
rotated-1,insert,dw,du,-0.0033947157920899747,0.007200439415830787
rotated-1,insert,dw,dv,-0.008044546808733434,0.01633788807737964
rotated-1,insert,dw,dw,1.0153323717534732,0.012340806730180214
rotated-1,insert,dw,roll,0.0013887982578306348,0.024059945481998402
rotated-1,insert,dw,pitch,-0.0345007415719335,0.018236867009225246
rotated-1,insert,dw,yaw,-0.004112518680497509,0.010196008479282532
rotated-1,insert,roll,du,0.013708587165170327,0.013536617040088473
rotated-1,insert,roll,dv,0.011210202941094805,0.010145265732004147
rotated-1,insert,roll,dw,0.001429197956766489,0.010594591147588268
rotated-1,insert,roll,roll,0.6904584268252195,0.009763715005804577
rotated-1,insert,roll,pitch,-0.08397820444618603,0.032453940791643356
rotated-1,insert,roll,yaw,-0.4208732940267348,0.008549035411236463
rotated-1,insert,pitch,du,0.007886181789903739,0.017567063751124407
rotated-1,insert,pitch,dv,-0.005574411929245404,0.012997919680118502
rotated-1,insert,pitch,dw,0.002196449338527166,0.015292041142035815
rotated-1,insert,pitch,roll,-0.123056014828283,0.01692736038660627
rotated-1,insert,pitch,pitch,0.9332238737966979,0.015069059843837846
rotated-1,insert,pitch,yaw,-0.18732109548079653,0.02054418254284649
rotated-1,insert,yaw,du,-0.006302148680872494,0.01677810228060039
rotated-1,insert,yaw,dv,-0.012477263051038877,0.006072381801920094
rotated-1,insert,yaw,dw,-0.0017344902636156614,0.010457199910282355
rotated-1,insert,yaw,roll,-0.46174281321077054,0.018937591564437854
rotated-1,insert,yaw,pitch,-0.15741796343566794,0.02700307976049032
rotated-1,insert,yaw,yaw,0.3511181368387011,0.010363526928846073
