panel,condition,sample_size,fit_count,generator,phase,mean_relevance,std_relevance,displayed_in_figure
c,keyed_insertion,30,18,du,enter,0.9966351734236655,0.007971661182295182,False
c,keyed_insertion,30,18,du,unlock,0.9900896676020596,0.018309840740688622,False
c,keyed_insertion,30,18,du,insert,0.98372846952601,0.027896234561178745,False
c,keyed_insertion,30,18,dv,align,0.6955542862826518,0.11610697903457225,False
c,keyed_insertion,30,18,dv,enter,0.9988431633868219,0.005201296466249956,False
c,keyed_insertion,30,18,dv,unlock,0.9899870988663036,0.017797218179483175,False
c,keyed_insertion,30,18,dv,insert,0.9822197385203835,0.03368187216840399,False
c,keyed_insertion,30,18,dw,align,0.749316978656212,0.12873679443430264,False
c,keyed_insertion,30,18,dw,enter,1.0002541740798343,0.015493135632657593,False
c,keyed_insertion,30,18,dw,unlock,1.0001008622682634,0.003574862018766112,False
c,keyed_insertion,30,18,dw,insert,1.0058250307350947,0.005549866444367475,False
c,keyed_insertion,30,18,roll,align,0.6633830419675828,0.01988278400618439,False
c,keyed_insertion,30,18,roll,enter,1.000601992419929,0.00212636851920784,False
c,keyed_insertion,30,18,roll,unlock,0.9836942434412337,0.009912574620955402,False
c,keyed_insertion,30,18,roll,insert,0.9722940148043988,0.017288491303946028,False
c,keyed_insertion,30,18,pitch,align,0.6305204727550613,0.02142620162187611,False
c,keyed_insertion,30,18,pitch,enter,1.0055321057353128,0.006416206917616418,False
c,keyed_insertion,30,18,pitch,unlock,1.0106681841497587,0.011501912738900248,False
c,keyed_insertion,30,18,pitch,insert,1.0104105949355286,0.02106401500741223,False
c,keyed_insertion,30,18,yaw,align,0.5431052728745905,0.03912924608491397,True
c,keyed_insertion,30,18,yaw,enter,0.9992733663085726,0.0016095690577681947,True
c,keyed_insertion,30,18,yaw,unlock,0.48578939012536043,0.01743704687612186,True
c,keyed_insertion,30,18,yaw,insert,0.09574151426680622,0.018880017364480164,True
c,circular_symmetry,30,18,du,align,0.6244384093645627,0.03872173566458807,False
c,circular_symmetry,30,18,du,enter,0.9849260200411872,0.03691144695048567,False
c,circular_symmetry,30,18,du,unlock,0.9784705741578689,0.02544986854233284,False
c,circular_symmetry,30,18,du,insert,0.9774370816876261,0.023826528640741758,False
c,circular_symmetry,30,18,dv,align,0.5569261664796417,0.08781715951355382,False
c,circular_symmetry,30,18,dv,enter,0.9806364111341755,0.038270418385704684,False
c,circular_symmetry,30,18,dv,unlock,0.9918587741036835,0.030723202102756756,False
