condition,progress,mean,sd
circular_honest,0.38541666666666663,0.13376177740074693,0.016450601449522935
circular_honest,0.3958333333333333,0.13160645962144357,0.016387839759205068
circular_honest,0.40625,0.12890865130740228,0.016305410227418493
circular_honest,0.41666666666666663,0.12554346560042204,0.016188245459707932
circular_honest,0.4270833333333333,0.12167459227043781,0.016018523141876795
circular_honest,0.4375,0.11761467134449398,0.015750521382354797
circular_honest,0.44791666666666663,0.1136650587806978,0.015371375908516694
circular_honest,0.4583333333333333,0.11001777937479273,0.014949281795061211
circular_honest,0.46875,0.1067426036299504,0.01458272879067101
circular_honest,0.47916666666666663,0.10384126956091358,0.014311892503434533
circular_honest,0.4895833333333333,0.10132773525886807,0.01410899658628971
circular_honest,0.5,0.09927996281732343,0.013947100720890062
circular_honest,0.5,0.09927996281732343,0.013947100720890062
circular_honest,0.5104166666666666,0.0978243264685744,0.013835624569158836
circular_honest,0.5208333333333334,0.09706201209582953,0.013783393579251473
circular_honest,0.53125,0.09698733817201043,0.013766401426877354
circular_honest,0.5416666666666666,0.0974467607003873,0.013751297840265297
circular_honest,0.5520833333333334,0.09816002601452668,0.013729355033369172
circular_honest,0.5625,0.09880068087491428,0.013707759655584495
circular_honest,0.5729166666666666,0.09911204672563818,0.013680569453027095
circular_honest,0.5833333333333334,0.09900870466780777,0.013634050781606082
circular_honest,0.59375,0.09860411305880952,0.013575758914760438
circular_honest,0.6041666666666666,0.09814145678856101,0.01353219965262605
circular_honest,0.6145833333333334,0.09786711972174443,0.013518066918905293
circular_honest,0.625,0.09791706182988537,0.013526892726847655
circular_honest,0.6354166666666666,0.09826616472586529,0.013549944759502244
circular_honest,0.6458333333333333,0.09875230723345611,0.013585721151398975
circular_honest,0.65625,0.09915923696937358,0.013626988631152569
circular_honest,0.6666666666666666,0.09932257347333544,0.01365459268781684
circular_honest,0.6770833333333333,0.09920852612905862,0.013655201703253416
circular_honest,0.6875,0.09892264805033285,0.013636207847489154
circular_honest,0.6979166666666666,0.09864538092517902,0.013614524071005697
circular_honest,0.7083333333333333,0.09853505897055846,0.01359836533535599
circular_honest,0.71875,0.09865171299239037,0.013587095956929742
circular_honest,0.7291666666666666,0.09893477719923734,0.01358171178029858
circular_honest,0.7395833333333333,0.09923872348048814,0.013585636116813264
circular_honest,0.75,0.09940765036573493,0.013596407241177428
circular_honest,0.75,0.09940765036573493,0.013596407241177428
circular_honest,0.7604166666666666,0.09935367651465585,0.013604958380001152
circular_honest,0.7708333333333334,0.09909955724259334,0.013605313850179492
circular_honest,0.78125,0.09876298972067922,0.013599594502353811
circular_honest,0.7916666666666666,0.09849317294163147,0.013592232435649372
circular_honest,0.8020833333333334,0.09839568628985847,0.013584305801037946
circular_honest,0.8125,0.09848284243483549,0.013575047195161945
circular_honest,0.8229166666666666,0.09866934360134036,0.013564612904583905
circular_honest,0.8333333333333334,0.09881216721015063,0.013552744223113599
circular_honest,0.84375,0.09877615728941633,0.013537417131322917
circular_honest,0.8541666666666666,0.09849518907529899,0.01351803364687618
circular_honest,0.8645833333333334,0.09799929735827011,0.013498662712947187
circular_honest,0.875,0.09739528258938032,0.013485315980193204
circular_honest,0.8854166666666666,0.09681329780359543,0.013480758943446532
circular_honest,0.8958333333333333,0.09634753976045095,0.013483942719572992
circular_honest,0.90625,0.09601717122593131,0.0134930090337111
circular_honest,0.9166666666666666,0.09576061574693827,0.013505454560162285
circular_honest,0.9270833333333333,0.09546265993164675,0.013514758206672278
circular_honest,0.9375,0.09500341563534273,0.013510119646772746
