seed,subset_id,model,episode,generator,task_error_mm_equiv,task_endpoint_error_mm_equiv
20260818,100,Pdiag finite,episode_0,yaw,2.4052581340663965,0.1753103783682148
20260818,100,Pdiag finite,episode_1,yaw,1.1590477577798588,0.3446981039549343
20260818,100,Pdiag finite,episode_3,yaw,2.452862263939401,0.28911498305846467
20260818,100,Pdiag finite,episode_4,yaw,1.3127184008951098,0.16317947615296435
20260818,100,Pdiag finite,episode_5,translation,1.173659538351538,0.49608806543484046
20260818,100,Pdiag finite,episode_7,translation,2.37311059478765,0.2881223308887255
20260818,100,Pdiag finite,episode_8,translation,2.1390425334265535,0.9981458371858736
20260818,100,Pdiag finite,episode_9,translation,2.6368463445150145,0.46843738918469713
20260818,100,Full operator,episode_0,yaw,3.4543842003127287,0.41643010885659215
20260818,100,Full operator,episode_1,yaw,2.253175008355464,0.0630782720112953
20260818,100,Full operator,episode_3,yaw,2.5495189767290083,0.15859022894184768
20260818,100,Full operator,episode_4,yaw,1.1243094326962528,0.10703887287679566
20260818,100,Full operator,episode_5,translation,1.305073705014808,0.07430384797435137
20260818,100,Full operator,episode_7,translation,3.425004418005475,0.0917130137112242
20260818,100,Full operator,episode_8,translation,3.5921725687954535,0.9428144213289501
20260818,100,Full operator,episode_9,translation,5.9899456775259114,0.03167068589707971
20260818,100,Generic RBF,episode_0,yaw,5.42210241321789,4.214690068698169
20260818,100,Generic RBF,episode_1,yaw,4.3042886237413445,3.9445263247506626
20260818,100,Generic RBF,episode_3,yaw,3.917075389839369,3.4920184190769126
20260818,100,Generic RBF,episode_4,yaw,2.863698493869182,3.2765744909800234
20260818,100,Generic RBF,episode_5,translation,2.2629556321911126,2.1122783460736207
20260818,100,Generic RBF,episode_7,translation,5.158926886849777,5.292236849943317
20260818,100,Generic RBF,episode_8,translation,4.616005777285569,3.59534731019775
20260818,100,Generic RBF,episode_9,translation,7.541539543509506,3.941187726702728
20260818,101,Pdiag finite,episode_0,yaw,2.348428238057883,0.19189233772558217
20260818,101,Pdiag finite,episode_1,yaw,1.5077069850898774,0.32093978986104826
20260818,101,Pdiag finite,episode_3,yaw,2.8982794302569896,0.27428054857855877
20260818,101,Pdiag finite,episode_4,yaw,1.8438166916751515,0.1960066184078125
20260818,101,Pdiag finite,episode_5,translation,2.1675749584564823,0.8680238754265988
20260818,101,Pdiag finite,episode_7,translation,2.8012595561691858,0.45881263632854796
20260818,101,Pdiag finite,episode_8,translation,2.4728199464197202,1.441150915388522
20260818,101,Pdiag finite,episode_9,translation,3.4420026117280997,0.2441583851393647
20260818,101,Full operator,episode_0,yaw,2.119420832235414,0.2216853985249836
20260818,101,Full operator,episode_1,yaw,1.2644665146013663,0.0648347047118732
20260818,101,Full operator,episode_3,yaw,5.76715065851409,0.16600913708883616
20260818,101,Full operator,episode_4,yaw,7.9638343671578555,0.16564022670760145
20260818,101,Full operator,episode_5,translation,1.9476708136834853,0.38788777958127846
20260818,101,Full operator,episode_7,translation,6.455082407936381,0.19600138920607843
20260818,101,Full operator,episode_8,translation,7.827963075617468,1.078586461729429
20260818,101,Full operator,episode_9,translation,13.254093452394956,0.021111298602797333
20260818,101,Generic RBF,episode_0,yaw,2.239783967670202,1.223088758732796
20260818,101,Generic RBF,episode_1,yaw,2.761370975349781,2.778340665895485
20260818,101,Generic RBF,episode_3,yaw,8.213268243882656,6.098192318851331
20260818,101,Generic RBF,episode_4,yaw,10.752186701497042,7.7698478500266415
20260818,101,Generic RBF,episode_5,translation,2.248104709868882,1.7575631904378541
20260818,101,Generic RBF,episode_7,translation,8.56876184789306,7.145641760845677
20260818,101,Generic RBF,episode_8,translation,9.410261526808176,4.966621032547206
20260818,101,Generic RBF,episode_9,translation,14.074019944570395,4.064944432153448
20260818,102,Pdiag finite,episode_0,yaw,2.5742234463250897,0.07114047036069722
20260818,102,Pdiag finite,episode_1,yaw,0.8154996913442771,0.26322651847761414
20260818,102,Pdiag finite,episode_3,yaw,2.0435459556978373,0.19684002843028103
20260818,102,Pdiag finite,episode_4,yaw,1.223113672834745,0.04234461013383177
20260818,102,Pdiag finite,episode_5,translation,1.0657244114609106,0.6027826203964023
20260818,102,Pdiag finite,episode_7,translation,1.8567738907714189,0.632152417717241
20260818,102,Pdiag finite,episode_8,translation,2.03050070369043,1.059019930323443
20260818,102,Pdiag finite,episode_9,translation,0.84292367479145,0.2616886611119563
20260818,102,Full operator,episode_0,yaw,1.5983279003886404,0.1174401777697292
20260818,102,Full operator,episode_1,yaw,0.46071139075514417,0.09967483031425581
20260818,102,Full operator,episode_3,yaw,1.4105034633640825,0.04137872053186859
20260818,102,Full operator,episode_4,yaw,1.0455268814825063,0.16696207641435454
