mode,block,pitch_deg,split,sample,segment,response_ratio
lift_early,0,-5.0,test,107,2,0.9887030673466762
lift_early,0,-5.0,test,108,2,0.9872707598492715
lift_early,0,-5.0,test,109,2,0.9858355733601456
lift_early,0,-5.0,test,110,2,0.9843975082338418
lift_early,0,-5.0,test,111,2,0.9831088574876421
lift_early,0,-5.0,test,112,2,0.9830386135948551
lift_early,0,-5.0,test,113,2,1.0227181379780832
lift_early,0,-5.0,test,114,2,1.0756623482207477
lift_early,0,-5.0,test,115,2,1.1286232889817307
lift_early,0,-5.0,test,116,2,1.1816001765960715
lift_early,0,-5.0,test,117,2,1.1602844923221451
lift_early,0,-5.0,test,118,2,1.1018254355763448
lift_early,0,-5.0,test,119,2,0.9683770844476796
lift_early,0,-5.0,test,120,2,0.7899107754556504
lift_early,0,-5.0,test,121,2,0.6114278269942012
lift_early,0,-5.0,test,122,2,0.4667119656701365
lift_early,0,-5.0,test,123,2,0.4403498056732424
lift_early,0,-5.0,test,124,2,0.4142167309215979
lift_early,0,-5.0,test,125,2,0.42739187656829686
lift_early,0,-5.0,test,126,2,0.4794550356625651
lift_early,0,-5.0,test,127,2,0.53118591539974
lift_early,0,-5.0,test,128,2,0.5678003652736888
lift_early,0,-5.0,test,129,2,0.6001577253658246
lift_early,0,-5.0,test,130,2,0.6325183893184474
lift_early,0,-5.0,test,131,2,0.655083092298362
lift_early,0,-5.0,test,132,2,0.6613060868126168
lift_early,0,-5.0,test,133,2,0.6627221546794664
lift_early,0,-5.0,test,134,2,0.6545524994069154
lift_early,0,-5.0,test,135,2,0.6463831425605948
lift_early,0,-5.0,test,136,2,0.6382142594944217
lift_early,0,-5.0,test,137,2,0.6322556117884199
lift_early,0,-5.0,test,138,2,0.6329083449768496
lift_early,0,-5.0,test,139,2,0.623796842277878
lift_early,0,-5.0,test,140,2,0.6134874948599114
lift_early,0,-5.0,test,141,2,0.6032006374905083
lift_early,0,-5.0,test,142,2,0.5929368396669212
lift_early,0,-5.0,test,143,2,0.582578356070073
lift_early,0,-5.0,test,144,2,0.5712011707804832
lift_early,0,-5.0,test,145,2,0.5595726181212262
lift_early,0,-5.0,test,146,2,0.5479412020173056
lift_early,0,-5.0,test,147,2,0.5363069386756741
lift_early,0,-5.0,test,148,2,0.5246698443115114
lift_early,0,-5.0,test,149,2,0.5130299351480797
lift_early,0,5.0,test,0,0,0.01008383818499074
lift_early,0,5.0,test,1,0,0.006837224053553517
lift_early,0,5.0,test,2,0,0.009055037582766504
lift_early,0,5.0,test,3,0,0.00856637663564515
lift_early,0,5.0,test,4,0,0.00829780044403346
lift_early,0,5.0,test,5,0,0.010177705471559767
lift_early,0,5.0,test,6,0,0.007359271249333899
lift_early,0,5.0,test,7,0,0.01032762319848187
lift_early,0,5.0,test,8,0,0.00841857320573706
lift_early,0,5.0,test,9,0,0.00920091389975047
lift_early,0,5.0,test,10,0,0.009448909684725107
lift_early,0,5.0,test,11,0,0.007638494365217995
lift_early,0,5.0,test,12,0,0.009851597310975357
lift_early,0,5.0,test,13,0,0.005207084987529654
lift_early,0,5.0,test,14,0,0.005850105339033766
lift_early,0,5.0,test,15,0,0.004217848106411908
lift_early,0,5.0,test,16,0,0.004137137795976379
lift_early,0,5.0,test,17,0,0.004540596117695054
lift_early,0,5.0,test,18,0,0.0009388565978807979
lift_early,0,5.0,test,19,0,0.003520018463526099
lift_early,0,5.0,test,20,0,-0.0025209563529753408
lift_early,0,5.0,test,21,0,0.031223553177900272
lift_early,0,5.0,test,22,0,0.09350638281909564
lift_early,0,5.0,test,23,0,0.16727484881468607
lift_early,0,5.0,test,24,0,0.21587121440724344
lift_early,0,5.0,test,25,0,0.4365735319286876
lift_early,0,5.0,test,26,0,-0.01151936990376494
lift_early,0,5.0,test,27,0,-0.07179001609525501
lift_early,0,5.0,test,28,0,-0.06941424165693283
lift_early,0,5.0,test,29,0,-0.0847474902006224
lift_early,0,5.0,test,30,0,-0.11084303377299529
lift_early,0,5.0,test,31,0,-0.11245932092599313
lift_early,0,5.0,test,32,0,-0.1119393648218617
lift_early,0,5.0,test,33,0,-0.1153832453639139
lift_early,0,5.0,test,34,0,-0.046840685563879735
lift_early,0,5.0,test,35,0,-0.03993400658044579
lift_early,0,5.0,test,36,0,-0.06617325177018817
lift_early,0,5.0,test,37,0,0.04279179669974855
lift_early,0,5.0,test,38,0,-0.23231700481607254
lift_early,0,5.0,test,39,0,-0.24308494632884486
lift_early,0,5.0,test,40,0,-0.25089349263215505
lift_early,0,5.0,test,41,0,-0.26430735878508177
lift_early,0,5.0,test,42,0,-0.2798827054235263
lift_early,0,5.0,test,43,0,-0.2953811542392215
lift_early,0,5.0,test,44,0,-0.31005247951516457
lift_early,0,5.0,test,45,0,-0.3238761412370423
lift_early,0,5.0,test,46,0,-0.33677083039732625
lift_early,0,5.0,test,47,0,-0.3498618422372093
lift_early,0,5.0,test,48,0,-0.359762439830828
lift_early,0,5.0,test,49,0,-0.3687504130061384
lift_early,0,5.0,test,50,1,-0.3687504130061384
lift_early,0,5.0,test,51,1,-0.380659031200261
lift_early,0,5.0,test,52,1,-0.38853480018449776
lift_early,0,5.0,test,53,1,-0.39312482083647954
lift_early,0,5.0,test,54,1,-0.3942607846267141
lift_early,0,5.0,test,55,1,-0.39308999332237377
lift_early,0,5.0,test,56,1,-0.39559138809442496
lift_early,0,5.0,test,57,1,-0.39980744675329183
lift_early,0,5.0,test,58,1,-0.40426740207814593
lift_early,0,5.0,test,59,1,-0.40284446269013385
lift_early,0,5.0,test,60,1,-0.37801531307567665
lift_early,0,5.0,test,61,1,-0.26410122356263155
lift_early,0,5.0,test,62,1,-0.20263298794487614
lift_early,0,5.0,test,63,1,0.05436833707663462
lift_early,0,5.0,test,64,1,0.2532965175051519
lift_early,0,5.0,test,65,1,0.46768797511571736
lift_early,0,5.0,test,66,1,0.6645382173546265
lift_early,0,5.0,test,67,1,0.8313992706845879
lift_early,0,5.0,test,68,1,0.9588127664297053
lift_early,0,5.0,test,69,1,1.040729730788134
lift_early,0,5.0,test,70,1,1.0799420933961341
lift_early,0,5.0,test,71,1,1.0935537778287159
lift_early,0,5.0,test,72,1,1.0939771589816587
lift_early,0,5.0,test,73,1,1.0873686779514118
lift_early,0,5.0,test,74,1,1.0793157538327978
lift_early,0,5.0,test,75,1,1.0689610303927304
lift_early,0,5.0,test,76,1,1.0543495167228212
lift_early,0,5.0,test,77,1,1.0355279056370708
lift_early,0,5.0,test,78,1,1.0209614869142727
lift_early,0,5.0,test,79,1,1.0113832287339055
lift_early,0,5.0,test,80,1,1.0020276163349267
lift_early,0,5.0,test,81,1,0.9966135330721985
lift_early,0,5.0,test,82,1,1.000039610318743
lift_early,0,5.0,test,83,1,1.0043195969296455
lift_early,0,5.0,test,84,1,1.0043209414786642
lift_early,0,5.0,test,85,1,1.002417492732193
lift_early,0,5.0,test,86,1,1.0035382186102306
lift_early,0,5.0,test,87,1,1.007932880201903
lift_early,0,5.0,test,88,1,1.013040634327698
lift_early,0,5.0,test,89,1,1.0154192535689497
lift_early,0,5.0,test,90,1,1.0118492808086077
lift_early,0,5.0,test,91,1,1.0062770741456073
lift_early,0,5.0,test,92,1,1.0027103070186905
lift_early,0,5.0,test,93,1,1.0005914371290552
lift_early,0,5.0,test,94,1,1.005461821564283
lift_early,0,5.0,test,95,1,1.0081805445428311
lift_early,0,5.0,test,96,1,1.0050803149554899
lift_early,0,5.0,test,97,1,1.0020956163013937
lift_early,0,5.0,test,98,1,1.0035062736081535
lift_early,0,5.0,test,99,1,1.0055316420512526
lift_early,0,5.0,test,100,2,1.0055316420512526
lift_early,0,5.0,test,101,2,1.004884345290332
lift_early,0,5.0,test,102,2,1.0042369884747624
lift_early,0,5.0,test,103,2,1.003589571698095
lift_early,0,5.0,test,104,2,1.002942095053905
lift_early,0,5.0,test,105,2,1.0022945586358003
lift_early,0,5.0,test,106,2,1.0016469625374143
lift_early,0,5.0,test,107,2,1.002112286814803
lift_early,0,5.0,test,108,2,1.002736564599247
lift_early,0,5.0,test,109,2,1.0033607997247325
lift_early,0,5.0,test,110,2,1.0039849920974389
lift_early,0,5.0,test,111,2,1.0046091416235703
lift_early,0,5.0,test,112,2,1.0052332482093556
lift_early,0,5.0,test,113,2,1.0072244630236091
lift_early,0,5.0,test,114,2,1.009679379292538
lift_early,0,5.0,test,115,2,1.0121433426813553
lift_early,0,5.0,test,116,2,1.0146162608857958
lift_early,0,5.0,test,117,2,1.0170980409286137
lift_early,0,5.0,test,118,2,1.0195885891712717
lift_early,0,5.0,test,119,2,1.0114741073656899
lift_early,0,5.0,test,120,2,0.9969417080167158
lift_early,0,5.0,test,121,2,0.9823470501183815
lift_early,0,5.0,test,122,2,0.9676911662671633
lift_early,0,5.0,test,123,2,0.9529750978244719
lift_early,0,5.0,test,124,2,0.9381998946694979
lift_early,0,5.0,test,125,2,0.9287621137356098
lift_early,0,5.0,test,126,2,0.9246965463727721
lift_early,0,5.0,test,127,2,0.9206191836487762
lift_early,0,5.0,test,128,2,0.9165301101082426
lift_early,0,5.0,test,129,2,0.9124294109933173
lift_early,0,5.0,test,130,2,0.9083171722330323
lift_early,0,5.0,test,131,2,0.9134997589260253
lift_early,0,5.0,test,132,2,0.9341896019325124
lift_early,0,5.0,test,133,2,0.954879608735188
lift_early,0,5.0,test,134,2,0.9755693313623313
lift_early,0,5.0,test,135,2,0.9962583220483243
lift_early,0,5.0,test,136,2,1.0169461332925316
lift_early,0,5.0,test,137,2,1.0323440062147902
lift_early,0,5.0,test,138,2,1.0318755502996955
lift_early,0,5.0,test,139,2,1.0314060137933112
lift_early,0,5.0,test,140,2,1.0309354208264572
lift_early,0,5.0,test,141,2,1.0304637973622124
lift_early,0,5.0,test,142,2,1.0299911711874263
lift_early,0,5.0,test,143,2,1.0295530278150336
lift_early,0,5.0,test,144,2,1.0293620497218048
lift_early,0,5.0,test,145,2,1.0291699895230533
lift_early,0,5.0,test,146,2,1.0289768475600811
lift_early,0,5.0,test,147,2,1.0287826241787357
lift_early,0,5.0,test,148,2,1.028587319729407
lift_early,0,5.0,test,149,2,1.0283909345670235
lift_early,0,-7.5,train,0,0,-0.006722558789993826
lift_early,0,-7.5,train,1,0,-0.004541932185260933
lift_early,0,-7.5,train,2,0,-0.005996110225878731
lift_early,0,-7.5,train,3,0,-0.005659470907797266
lift_early,0,-7.5,train,4,0,-0.005477778413732068
lift_early,0,-7.5,train,5,0,-0.0067272869699804136
lift_early,0,-7.5,train,6,0,-0.004837525867669034
lift_early,0,-7.5,train,7,0,-0.006812799754971551
lift_early,0,-7.5,train,8,0,-0.005516422470442708
lift_early,0,-7.5,train,9,0,-0.006013200561140786
lift_early,0,-7.5,train,10,0,-0.006136279953411253
lift_early,0,-7.5,train,11,0,-0.0048852765727080754
lift_early,0,-7.5,train,12,0,-0.006381899010457365
lift_early,0,-7.5,train,13,0,-0.0035655221486533255
lift_early,0,-7.5,train,14,0,-0.004097832048511449
lift_early,0,-7.5,train,15,0,-0.002933648283151324
lift_early,0,-7.5,train,16,0,-0.00272968752941915
lift_early,0,-7.5,train,17,0,-0.0028390848822011077
lift_early,0,-7.5,train,18,0,-0.0003012338978719855
lift_early,0,-7.5,train,19,0,-0.0019647641850849256
lift_early,0,-7.5,train,20,0,0.0020795023579583015
lift_early,0,-7.5,train,21,0,-0.0448753277523733
lift_early,0,-7.5,train,22,0,-0.08199841264644546
lift_early,0,-7.5,train,23,0,-0.1199779358121589
lift_early,0,-7.5,train,24,0,-0.15940521808065258
lift_early,0,-7.5,train,25,0,-0.1376204419978287
lift_early,0,-7.5,train,26,0,0.025532741348690234
lift_early,0,-7.5,train,27,0,0.03904044049583472
lift_early,0,-7.5,train,28,0,0.056095670294256966
lift_early,0,-7.5,train,29,0,0.07568202861393866
lift_early,0,-7.5,train,30,0,0.09434404171128606
lift_early,0,-7.5,train,31,0,0.10606254977991304
lift_early,0,-7.5,train,32,0,0.11793443153018274
lift_early,0,-7.5,train,33,0,0.1167835185772878
lift_early,0,-7.5,train,34,0,0.05990023152053492
lift_early,0,-7.5,train,35,0,0.016609345980346968
lift_early,0,-7.5,train,36,0,0.04441477666286742
lift_early,0,-7.5,train,37,0,0.09197133249667512
lift_early,0,-7.5,train,38,0,0.17249478606039412
lift_early,0,-7.5,train,39,0,0.17989356803905684
lift_early,0,-7.5,train,40,0,0.18914608530913396
lift_early,0,-7.5,train,41,0,0.1993949185523183
lift_early,0,-7.5,train,42,0,0.20967662660335148
lift_early,0,-7.5,train,43,0,0.21959692819189114
lift_early,0,-7.5,train,44,0,0.22893893464090315
lift_early,0,-7.5,train,45,0,0.23753291297140844
lift_early,0,-7.5,train,46,0,0.24535828793518144
lift_early,0,-7.5,train,47,0,0.2523789508785276
lift_early,0,-7.5,train,48,0,0.2583821084142735
lift_early,0,-7.5,train,49,0,0.26348511549309017
lift_early,0,-7.5,train,50,1,0.26348511549309017
lift_early,0,-7.5,train,51,1,0.2694370050183321
lift_early,0,-7.5,train,52,1,0.27295410758009436
lift_early,0,-7.5,train,53,1,0.2752310386750883
lift_early,0,-7.5,train,54,1,0.2759240003854906
lift_early,0,-7.5,train,55,1,0.27616279538422905
lift_early,0,-7.5,train,56,1,0.2776713487482054
lift_early,0,-7.5,train,57,1,0.27957350658982455
lift_early,0,-7.5,train,58,1,0.2866892432711683
lift_early,0,-7.5,train,59,1,0.31255274625355883
lift_early,0,-7.5,train,60,1,0.3640383321758481
lift_early,0,-7.5,train,61,1,0.40524639424492825
lift_early,0,-7.5,train,62,1,0.531168578747366
lift_early,0,-7.5,train,63,1,0.5777674932595215
lift_early,0,-7.5,train,64,1,0.6871464892947124
lift_early,0,-7.5,train,65,1,0.7816652937122632
lift_early,0,-7.5,train,66,1,0.854330985590879
lift_early,0,-7.5,train,67,1,0.8991559902319111
lift_early,0,-7.5,train,68,1,0.9196540568780492
lift_early,0,-7.5,train,69,1,0.9268599800339772
