success,depth,lateral_mm,axis_err_deg,steps,solver_error,source,target,block,theta_deg,method,endpoint_pass
True,0.07121629049302264,1.784866290584447,2.3986490980569384,680,EpisodeFinished,lift_early,diagonal_early,0,-10.0,target,True
False,0.06451199316405312,0.08053773895989591,9.430010177571601,686,,lift_early,diagonal_early,0,10.0,no_adapt,False
True,0.07092991680927259,1.5219337289026498,1.897407554965913,650,EpisodeFinished,lift_early,diagonal_early,0,10.0,rigid,True
True,0.07070205774827096,1.5338615419963202,2.520637130407012,660,EpisodeFinished,lift_early,diagonal_early,0,10.0,source,True
True,0.0705328092093353,1.3946665342962778,3.532462848156582,657,EpisodeFinished,lift_early,diagonal_early,0,10.0,target,False
True,0.06748749498456559,0.36049032847850077,8.451472027072324,640,EpisodeFinished,lift_early,diagonal_early,1,-5.0,no_adapt,False
True,0.07094609311525592,1.1614632717066407,3.260723772027625,658,EpisodeFinished,lift_early,diagonal_early,1,-5.0,rigid,False
True,0.07173030712103375,1.7945742659687756,2.0844194151013316,642,EpisodeFinished,lift_early,diagonal_early,1,-5.0,source,True
True,0.0717884168015752,1.624626177101853,1.3797592571582826,637,EpisodeFinished,lift_early,diagonal_early,1,-5.0,target,True
True,0.07059357872564569,2.159443223776694,4.9516049760691585,631,EpisodeFinished,lift_early,diagonal_early,1,5.0,no_adapt,False
True,0.07155084039989901,1.9227215113278644,0.3093220319543938,633,EpisodeFinished,lift_early,diagonal_early,1,5.0,rigid,True
True,0.07107314230641934,1.4979883671710603,1.8891073810204666,642,EpisodeFinished,lift_early,diagonal_early,1,5.0,source,True
True,0.07183493601241864,1.5221428063437077,2.5088539868716824,634,EpisodeFinished,lift_early,diagonal_early,1,5.0,target,True
False,0.09407083544996071,17.23630352767206,0.4352708803319876,681,,lift_early,diagonal_early,1,-10.0,no_adapt,False
True,0.07170319506071066,1.873357901920158,1.9553529588935972,671,EpisodeFinished,lift_early,diagonal_early,1,-10.0,rigid,True
True,0.07097807418494054,1.7125059152251525,2.013987998484041,658,EpisodeFinished,lift_early,diagonal_early,1,-10.0,source,True
True,0.07122074064957874,1.6132644892763455,1.662861420188614,657,EpisodeFinished,lift_early,diagonal_early,1,-10.0,target,True
False,0.06568067519260162,0.43056011433336433,9.535086661536724,673,,lift_early,diagonal_early,1,10.0,no_adapt,False
True,0.07037971774904536,1.512345203364416,1.1203227391066934,642,EpisodeFinished,lift_early,diagonal_early,1,10.0,rigid,True
True,0.07180581908358812,1.8306936826046694,1.3335370191672793,642,EpisodeFinished,lift_early,diagonal_early,1,10.0,source,True
True,0.07159257608762896,1.8742483923807345,0.6489900607826253,628,EpisodeFinished,lift_early,diagonal_early,1,10.0,target,True
False,0.09411830767837284,19.484936719595535,0.5563359833704636,657,,lift_early,diagonal_early,2,-5.0,no_adapt,False
True,0.07102985759393295,1.644841085135521,0.41358305536564016,643,EpisodeFinished,lift_early,diagonal_early,2,-5.0,rigid,True
True,0.07117212802751666,1.7118356961576915,0.5908621627380549,636,EpisodeFinished,lift_early,diagonal_early,2,-5.0,source,True
True,0.07129464984113405,1.8216939327269108,0.7650262769621208,632,EpisodeFinished,lift_early,diagonal_early,2,-5.0,target,True
True,0.07162993445974462,2.4362847099202267,3.9184556211742203,614,EpisodeFinished,lift_early,diagonal_early,2,5.0,no_adapt,False
True,0.07035501768088413,1.6206269390602153,0.23830532682217132,614,EpisodeFinished,lift_early,diagonal_early,2,5.0,rigid,True
True,0.0714193709487798,1.57728542881786,0.2639941218578389,624,EpisodeFinished,lift_early,diagonal_early,2,5.0,source,True
True,0.07135085159624997,1.5499583600060847,0.1995580772072989,620,EpisodeFinished,lift_early,diagonal_early,2,5.0,target,True
False,0.09403771083565889,17.60294712448672,0.17674010939736556,667,,lift_early,diagonal_early,2,-10.0,no_adapt,False
True,0.07113716425188811,1.6441019986592107,1.147541683279429,657,EpisodeFinished,lift_early,diagonal_early,2,-10.0,rigid,True
True,0.07184223488152097,1.8974327298770035,0.8165506627397582,661,EpisodeFinished,lift_early,diagonal_early,2,-10.0,source,True
True,0.07170789928775134,1.8994512809057453,0.7836900356734451,650,EpisodeFinished,lift_early,diagonal_early,2,-10.0,target,True
True,0.07193178229852458,1.1709683862332665,2.4373749899904413,623,EpisodeFinished,lift_early,diagonal_early,2,10.0,no_adapt,True
True,0.07118574864682005,1.607098234093555,1.3083406647625138,619,EpisodeFinished,lift_early,diagonal_early,2,10.0,rigid,True
True,0.0713622151765489,1.4813886747237335,0.056276163057449854,636,EpisodeFinished,lift_early,diagonal_early,2,10.0,source,True
True,0.07167354106751152,1.2757167149004902,0.12866112716917644,627,EpisodeFinished,lift_early,diagonal_early,2,10.0,target,True
False,0.09403610318754788,17.556946026532273,0.15671790343336242,690,,lift_early,diagonal_early,3,-5.0,no_adapt,False
True,0.07099808100839643,1.7582633677027126,1.132229039490495,669,EpisodeFinished,lift_early,diagonal_early,3,-5.0,rigid,True
