seed,protocol,sample_size,model,value,metric
20270818,random,3,Generic RBF,23.23987754248797,task_endpoint_error_mean_mm_equiv
20270818,qualified,3,Pdiag finite,1.4088301348740235,task_endpoint_error_mean_mm_equiv
20270818,qualified,3,Full operator,6.446939167984391,task_endpoint_error_mean_mm_equiv
20270818,qualified,3,Generic RBF,26.410347794199197,task_endpoint_error_mean_mm_equiv
20270818,random,5,Pdiag finite,0.7035337862623414,task_endpoint_error_mean_mm_equiv
20270818,random,5,Full operator,0.3949581753986898,task_endpoint_error_mean_mm_equiv
20270818,random,5,Generic RBF,0.9970316879896162,task_endpoint_error_mean_mm_equiv
20270818,qualified,5,Pdiag finite,0.9655491931273573,task_endpoint_error_mean_mm_equiv
20270818,qualified,5,Full operator,0.5522664388811648,task_endpoint_error_mean_mm_equiv
20270818,qualified,5,Generic RBF,5.7353385543651205,task_endpoint_error_mean_mm_equiv
20270818,random,8,Pdiag finite,0.7244858336587419,task_endpoint_error_mean_mm_equiv
20270818,random,8,Full operator,0.48641655368577696,task_endpoint_error_mean_mm_equiv
20270818,random,8,Generic RBF,0.7935242201264838,task_endpoint_error_mean_mm_equiv
20270818,qualified,8,Pdiag finite,0.7126070286310229,task_endpoint_error_mean_mm_equiv
20270818,qualified,8,Full operator,0.5360357047910664,task_endpoint_error_mean_mm_equiv
20270818,qualified,8,Generic RBF,1.173613418663713,task_endpoint_error_mean_mm_equiv
20270818,random,10,Pdiag finite,0.6325014047790875,task_endpoint_error_mean_mm_equiv
20270818,random,10,Full operator,0.35905453590341796,task_endpoint_error_mean_mm_equiv
20270818,random,10,Generic RBF,0.6870045317351695,task_endpoint_error_mean_mm_equiv
20270818,qualified,10,Pdiag finite,0.6589013705297688,task_endpoint_error_mean_mm_equiv
20270818,qualified,10,Full operator,0.26102613747803244,task_endpoint_error_mean_mm_equiv
20270818,qualified,10,Generic RBF,0.681444895192154,task_endpoint_error_mean_mm_equiv
20270818,random,15,Pdiag finite,0.4585267332274972,task_endpoint_error_mean_mm_equiv
20270818,random,15,Full operator,0.22781323731135877,task_endpoint_error_mean_mm_equiv
20270818,random,15,Generic RBF,0.4519083939994027,task_endpoint_error_mean_mm_equiv
20270818,qualified,15,Pdiag finite,0.6607932526862214,task_endpoint_error_mean_mm_equiv
20270818,qualified,15,Full operator,0.2728635080447843,task_endpoint_error_mean_mm_equiv
20270818,qualified,15,Generic RBF,0.49705046115105855,task_endpoint_error_mean_mm_equiv
20270818,random,20,Pdiag finite,0.48602901007819754,task_endpoint_error_mean_mm_equiv
20270818,random,20,Full operator,0.2738546428402895,task_endpoint_error_mean_mm_equiv
20270818,random,20,Generic RBF,0.4485612135180187,task_endpoint_error_mean_mm_equiv
20270818,qualified,20,Pdiag finite,0.5231576770586757,task_endpoint_error_mean_mm_equiv
20270818,qualified,20,Full operator,0.24972919234508306,task_endpoint_error_mean_mm_equiv
20270818,qualified,20,Generic RBF,0.43873609838959304,task_endpoint_error_mean_mm_equiv
20280818,random,3,Pdiag finite,1.0347850016556426,task_endpoint_error_mean_mm_equiv
20280818,random,3,Full operator,6.2027698577823696,task_endpoint_error_mean_mm_equiv
20280818,random,3,Generic RBF,23.27359414040047,task_endpoint_error_mean_mm_equiv
20280818,qualified,3,Pdiag finite,1.2570572589419182,task_endpoint_error_mean_mm_equiv
20280818,qualified,3,Full operator,6.332904866195397,task_endpoint_error_mean_mm_equiv
20280818,qualified,3,Generic RBF,28.62156238523977,task_endpoint_error_mean_mm_equiv
20280818,random,5,Pdiag finite,0.6277084708906909,task_endpoint_error_mean_mm_equiv
20280818,random,5,Full operator,0.2075312241858927,task_endpoint_error_mean_mm_equiv
20280818,random,5,Generic RBF,5.877189862508254,task_endpoint_error_mean_mm_equiv
20280818,qualified,5,Pdiag finite,0.8259526104252769,task_endpoint_error_mean_mm_equiv
20280818,qualified,5,Full operator,0.20711642325824725,task_endpoint_error_mean_mm_equiv
