arm,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_oop_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
heading_push,20260818,16,qualified,30,1,Pdiag finite (SE(3)),True,,179.96343534998596,0.0789143316913795,True,0.8781329105590433,0.9882649487156091,0.024647026726413567,0.01938621584933097,0.14149574704667278,0.6838135860782977
heading_push,20270818,8,random,15,2,Frame-weighted (SE(3)),True,,0.004094777046702802,0.1944835531453921,False,0.5019840292128028,0.5019840292128028,0.5019840292128028,0.5019840292128028,0.5019840292128028,0.5019840292128028
heading_push,20270818,8,random,15,2,Full operator (SE(3)),True,,0.00045409309677779675,0.06699334597450622,True,0.9008758470233231,0.9552987013216568,0.03527483836430968,-0.010411439801936817,0.0009562507916944863,0.6886679156706916
heading_push,20270818,8,random,15,2,Pdiag pointwise (SE(3)),True,,0.010352393961511552,0.0646688790771804,True,1.110812987801491,0.9228810529524115,0.04385168807316727,-0.034774191564346066,0.0015014211269475093,0.6331038221755241
heading_push,20270818,8,random,15,2,Pdiag finite (SE(3)),True,,97.72260519198608,0.06262314125327641,True,1.176373090779989,0.9230327517330844,0.03552891702377374,0.02408353241619046,0.45172684367120286,0.627869908681627
heading_push,20270818,10,qualified,15,1,Frame-weighted (SE(3)),True,,0.008666638983413577,0.1956783322681168,False,0.5947038422279644,0.5947038422279644,0.5947038422279644,0.5947038422279644,0.5947038422279644,0.5947038422279644
heading_push,20270818,10,qualified,15,1,Full operator (SE(3)),True,,0.0009657170157879591,0.0671663238197893,True,0.9150336616295198,0.9422129390548948,0.00568405933012972,0.029786469117104315,0.002677657869508318,0.7602919152088679
heading_push,20270818,10,qualified,15,1,Pdiag pointwise (SE(3)),True,,0.02118249691557139,0.06565002031155183,True,0.9282591204532951,0.9369517235511571,0.003183815619136865,0.008552528361829676,0.0026115044936103537,0.7104994753102907
heading_push,20270818,10,qualified,15,1,Pdiag finite (SE(3)),True,,87.92284766898956,0.06596450713771382,True,0.9087305438868385,0.9906025430141616,0.0030204664956320093,0.0061523995315695065,0.032409060588821835,0.6968470560444092
heading_push,20270818,11,qualified,15,2,Frame-weighted (SE(3)),True,,0.008111824048683047,0.1926244139188833,False,0.5732396285200491,0.5732396285200491,0.5732396285200491,0.5732396285200491,0.5732396285200491,0.5732396285200491
heading_push,20270818,11,qualified,15,2,Full operator (SE(3)),True,,0.0008155840914696455,0.06362546883439327,True,1.2006456291752268,0.9706017969461279,0.08443186897998989,0.03302250887880535,0.003781730490543089,0.6103429110982812
heading_push,20270818,11,qualified,15,2,Pdiag pointwise (SE(3)),True,,0.02099558198824525,0.06334250067840917,True,0.9894649412439505,0.9533554002421948,0.07392849220069185,0.01784353764429322,-1.0017814513485383e-05,0.6340859069704561
heading_push,20270818,11,qualified,15,2,Pdiag finite (SE(3)),True,,87.15222316898871,0.06099946474515261,True,0.9944773533306768,0.9688981447535273,0.06239748439947123,0.02463085019260423,0.14420822110556422,0.6287538736800949
heading_push,20270818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.0041489769937470555,0.19943451275110638,False,0.6696845024717334,0.6696845024717334,0.6696845024717334,0.6696845024717334,0.6696845024717334,0.6696845024717334
heading_push,20270818,4,qualified,8,1,Full operator (SE(3)),True,,0.0005557260010391474,0.07676458558001208,True,2.3186078164558683,0.9548309022640049,0.021140847728135626,0.022217141155404276,0.0020045479125385054,0.7679546713201939
heading_push,20270818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.010372263030149043,0.05492382769544995,True,1.052121269145023,1.0062889764887593,0.0021962622182194105,0.007327236132178165,0.0010515571302993022,0.7564177917040309
heading_push,20270818,4,qualified,8,1,Pdiag finite (SE(3)),True,,142.77539521898143,0.06101711610245857,False,0.9985381613253465,1.0215038336274462,0.08182987275273194,0.07850937600593988,0.5469971313809353,0.7473330245196198
heading_push,20270818,14,random,30,2,Frame-weighted (SE(3)),True,,0.008526872959919274,0.19080030541533358,False,0.5580728572752622,0.5580728572752622,0.5580728572752622,0.5580728572752622,0.5580728572752622,0.5580728572752622
heading_push,20270818,14,random,30,2,Full operator (SE(3)),True,,0.0010259289992973208,0.058876897460444416,True,1.2363834704879264,0.9516183738246202,0.02494322475528181,0.0217053914503103,0.0013759397266531824,0.6759918860955545
heading_push,20270818,14,random,30,2,Pdiag pointwise (SE(3)),True,,0.01993807894177735,0.05610302103164058,True,1.2071762274277607,0.9892774115302089,0.0486001598641154,0.010370807594391386,0.0002645787629573507,0.6896066361676121
