sample_index,solver_phase,phase,phase_progress,source_progress,alpha_pitch_mean,alpha_pitch_sd_across_seeds,alpha_pitch_seed_20260910,alpha_pitch_seed_20270910,alpha_pitch_seed_20280910
41,4,enter,0.6666666666666666,0.41666666666666663,1.0135828017709596,0.002778575008626046,1.0104694612117167,1.015810897400259,1.0144680467009037
42,4,enter,0.7083333333333333,0.4270833333333333,1.0156941830689195,0.003041279066337141,1.0121863398294426,1.0175918239106951,1.0173043854666206
43,4,enter,0.75,0.4375,1.0172371037083108,0.002467847852452861,1.0144518992773806,1.0181079298882,1.0191514819593517
44,4,enter,0.7916666666666666,0.44791666666666663,1.018031498419811,0.0015048779428250567,1.0169094988905814,1.0174433700735928,1.0197416262952594
45,4,enter,0.8333333333333333,0.4583333333333333,1.0178556111652075,0.001742014797504172,1.0188444306706645,1.0158442002444028,1.018878202580555
46,4,enter,0.875,0.46875,1.01652371275647,0.0029021880804728944,1.0194323557305842,1.0136280229295043,1.0165107596093208
47,4,enter,0.9166666666666666,0.47916666666666663,1.0140227889566147,0.0036289988053412937,1.0180947760118257,1.011130160503376,1.012843430354643
48,4,enter,0.9583333333333333,0.4895833333333333,1.0106252446082318,0.003614046406905647,1.0147953387350506,1.0086782832478212,1.0084021118418243
49,4,enter,1.0,0.5,1.0069013770021187,0.0030948159881973606,1.0101481231106966,1.0065710104368417,1.0039849974588175
50,5,unlock,0.0,0.5,1.0069013770021187,0.0030948159881973606,1.0101481231106966,1.0065710104368417,1.0039849974588175
51,5,unlock,0.041666666666666664,0.5104166666666666,1.0035904271416827,0.002710227654704534,1.0052674220441207,1.005040182301786,1.0004636770791415
52,5,unlock,0.08333333333333333,0.5208333333333334,1.0013516221891594,0.0028562614727722963,1.0013708354692237,1.0041982285555826,0.9984858025426717
53,5,unlock,0.125,0.53125,1.0004965772190315,0.0030770755507628675,0.9992791305182388,1.0039961069609298,0.9982144941779255
54,5,unlock,0.16666666666666666,0.5416666666666666,1.0008478421416833,0.0029261328713918342,0.9990659417004123,1.0042249292640377,0.9992526554605999
55,5,unlock,0.20833333333333331,0.5520833333333334,1.0018169360086546,0.0024194875646311024,1.0000640436549784,1.0045773796304809,1.0008093847405044
56,5,unlock,0.25,0.5625,1.0026691145542506,0.0018493543992753124,1.0012241889577778,1.0047532873838858,1.0020298673210881
57,5,unlock,0.29166666666666663,0.5729166666666666,1.0028384438306952,0.0015397016627537214,1.0016168193510062,1.0045679188585392,1.00233059328254
58,5,unlock,0.3333333333333333,0.5833333333333334,1.0021466492461115,0.0016654173689667653,1.000823446645993,1.0040167480315367,1.0015997530608045
59,5,unlock,0.375,0.59375,1.0008428978365667,0.0021745696906877382,0.9990649095526418,1.003267411951153,1.000196372005905
60,5,unlock,0.41666666666666663,0.6041666666666666,0.9994603465791543,0.0028343503572689586,0.997042671917504,1.0025795971821698,0.9987587706377891
61,5,unlock,0.4583333333333333,0.6145833333333334,0.9985533288099838,0.003354078098217436,0.9955731539798822,1.002185554963647,0.9979012774864222
62,5,unlock,0.5,0.625,0.9984325056517435,0.0035285821413759857,0.9951809239823627,1.0021846323992067,0.997931960573661
63,5,unlock,0.5416666666666666,0.6354166666666666,0.9990267433466893,0.0033348973740575227,0.9958520086535422,1.0025015256493846,0.9987266957371413
64,5,unlock,0.5833333333333333,0.6458333333333333,0.9999395314794284,0.0029291173484061635,0.9970729303110175,1.0029273984812188,0.9998182656460489
65,5,unlock,0.625,0.65625,1.0006604203847476,0.0025519554700876037,0.998117512084437,1.0032213278118651,1.0006424212579406
66,5,unlock,0.6666666666666666,0.6666666666666666,1.0008132032310815,0.0024051375507558154,0.9984110282424088,1.0032212924366437,1.0008072890141915
67,5,unlock,0.7083333333333333,0.6770833333333333,1.0003202580444503,0.002563341138252994,0.9977876929814736,1.0029133048513104,1.0002597763005674
68,5,unlock,0.75,0.6875,0.9994182287827105,0.0029483094276642296,0.9965380655103216,1.0024302592490328,0.9992863615887769
69,5,unlock,0.7916666666666666,0.6979166666666666,0.9985299602682588,0.003373310717608856,0.9952445709017708,1.0019848049812907,0.998360504921715
70,5,unlock,0.8333333333333333,0.7083333333333333,0.9980567087675275,0.0036423893677116855,0.9944890710425479,1.0017695095126424,0.9979115457473924
71,5,unlock,0.875,0.71875,0.9981902398724852,0.0036495076930498755,0.994573531754789,1.001871685812468,0.9981255020501988
