model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Pdiag finite,0.8020833333333334,Circular insert,0.2083333333333333,0.9687632535681804,1.0017206573864184,0.9852419554772992,0.0287236493051921
Pdiag finite,0.8125,Circular insert,0.25,0.9686001145194476,1.0018413102583996,0.9852207123889236,0.0274243625294768
Pdiag finite,0.8229166666666666,Circular insert,0.2916666666666667,0.9681574564266534,1.0020557168249076,0.9851065866257804,0.0262485925385366
Pdiag finite,0.8333333333333334,Circular insert,0.3333333333333333,0.967663392367295,1.002282845924465,0.98497311914588,0.0256104439790185
Pdiag finite,0.84375,Circular insert,0.375,0.9673597709476772,1.002445433110403,0.98490260202904,0.0256862397447775
Pdiag finite,0.8541666666666666,Circular insert,0.4166666666666667,0.967388307770367,1.002500646597121,0.984944477183744,0.0264076102816311
Pdiag finite,0.8645833333333334,Circular insert,0.4583333333333333,0.9677292555904357,1.0024535851314054,0.9850914203609203,0.0274882491854356
Pdiag finite,0.875,Circular insert,0.5,0.9682187403035248,1.0023495655505292,0.985284152927027,0.0284957529605627
Pdiag finite,0.8854166666666666,Circular insert,0.5416666666666666,0.9686313854464952,1.002250445831406,0.9854409156389504,0.0290088535126087
Pdiag finite,0.8958333333333333,Circular insert,0.5833333333333334,0.9687854277485514,1.0022063701816215,0.9854958989650866,0.0288202432071259
Pdiag finite,0.90625,Circular insert,0.625,0.9686222766387856,1.002235144204249,0.9854287104215173,0.0280469602761815
Pdiag finite,0.9166666666666666,Circular insert,0.6666666666666666,0.9682292051516248,1.0023170891511757,0.9852731471514,0.0270557620997556
Pdiag finite,0.9270833333333331,Circular insert,0.7083333333333334,0.967800114623346,1.0024060820621827,0.9851030983427644,0.0262726906929918
Pdiag finite,0.9375,Circular insert,0.75,0.9675529492987496,1.0024510501009174,0.9850019996998334,0.0260169496069674
Pdiag finite,0.9479166666666666,Circular insert,0.7916666666666666,0.967636045727252,1.0024191331290897,0.9850275894281708,0.0264165205222771
Pdiag finite,0.9583333333333331,Circular insert,0.8333333333333334,0.9680563215766078,1.0023126255197694,0.9851844735481886,0.0273664053094946
Pdiag finite,0.96875,Circular insert,0.875,0.9686506045123302,1.0021752963211572,0.9854129504167436,0.0284868139789034
Pdiag finite,0.9791666666666666,Circular insert,0.9166666666666666,0.969103243380491,1.00208772994095,0.9855954866607206,0.02911306962929
Pdiag finite,0.9895833333333331,Circular insert,0.9583333333333334,0.9689969685798014,1.0021543943221938,0.9855756814509976,0.0284263004005972
Pdiag finite,1.0,Circular insert,1.0,0.9678764070996708,1.0024866262131962,0.9851815166564336,0.0258042565517845
