model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
TP-GMM additive (SE(3)),microwave_door_revolute,30,0.004235928970986177,0.0033637051397679,0.0043843814534219845,0.015508108471728566,0.008352377912939671,0.9957398399991418
TP-GMM SE(3),microwave_door_revolute,30,0.0017409101657555872,0.00128381954991232,0.002906199107854723,0.0023644078182538664,0.004736416466284865,0.9943794138093922
Full operator (SE(3)),microwave_door_revolute,30,0.0,0.0,0.0,0.0,0.0,0.9999949039582534
Pdiag pointwise (SE(3)),microwave_door_revolute,30,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Pdiag finite (SE(3)),microwave_door_revolute,30,1.7442756798335172e-06,1.7505126169512972e-06,1.7455837527427266e-06,2.248422132844635e-06,2.8184533790856873e-06,1.0085276864054002
Frame-weighted (SE(3)),plate_front_push,8,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834
Phase scalar GP (SE(3)),plate_front_push,8,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028
TP-GMM additive (SE(3)),plate_front_push,8,0.9962471986658835,0.014841471857571505,0.010724741357557691,0.015338990401439082,0.019882891897098503,0.006295280998709425
TP-GMM SE(3),plate_front_push,8,0.9773340179829054,0.01442977282471699,0.012361650668148634,0.021093127294841734,0.02506372359291209,0.01015365984650507
Full operator (SE(3)),plate_front_push,8,0.999705085457768,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),plate_front_push,8,0.9999999999999992,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),plate_front_push,8,0.9989474447416763,5.583721856876316e-06,5.267770753459558e-06,1.3751613182651536e-05,1.2772631484919376e-05,8.564676426179381e-06
Frame-weighted (SE(3)),plate_front_push,15,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023
Phase scalar GP (SE(3)),plate_front_push,15,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633
TP-GMM additive (SE(3)),plate_front_push,15,0.9963429553652703,0.0031283203312656,0.0037793222239887567,0.00981020668335053,0.00934691026689786,0.002074929236183095
TP-GMM SE(3),plate_front_push,15,0.9373973106263297,0.0034343540420621508,0.0036907992928282285,0.00954110415413112,0.011726535496797993,0.004874290434838224
Full operator (SE(3)),plate_front_push,15,0.9999707503454796,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),plate_front_push,15,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),plate_front_push,15,0.9897669521674892,7.451299938304913e-06,2.5744631802787915e-06,8.22864199428395e-06,6.739039065028306e-06,6.391566224348095e-06
Frame-weighted (SE(3)),plate_front_push,30,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047
Phase scalar GP (SE(3)),plate_front_push,30,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527
TP-GMM additive (SE(3)),plate_front_push,30,0.9977884225658684,0.004100048532059572,0.0063417195424454054,0.010463710112320909,0.009789944982915522,0.004865633343692795
TP-GMM SE(3),plate_front_push,30,0.9177246414762349,0.0037151059687493887,0.004487503950569316,0.012322387342189082,0.011223627103224073,0.004869618563863254
Full operator (SE(3)),plate_front_push,30,0.9999919727983637,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),plate_front_push,30,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),plate_front_push,30,1.0097723097953395,2.2637072078016612e-06,3.2717730948421072e-06,1.302029591035167e-05,1.2981700875413536e-05,7.64248493393457e-06
Frame-weighted (SE(3)),bowl_on_stove,8,0.5449176913494568,0.5449176913494568,0.5449176913494568,0.5449176913494568,0.5449176913494568,0.5449176913494568
Phase scalar GP (SE(3)),bowl_on_stove,8,0.5490613855160488,0.5490613855160488,0.5490613855160488,0.5490613855160488,0.5490613855160488,0.5490613855160488
TP-GMM additive (SE(3)),bowl_on_stove,8,0.9946152539502585,0.9943885437378296,0.9934332179473149,0.0130306468704382,0.012954823417011227,0.005022835781282264
TP-GMM SE(3),bowl_on_stove,8,0.9941633995035638,0.9934817790193881,0.9926850836815907,0.015382611028184648,0.017186197002362125,0.0068774388321743984
Full operator (SE(3)),bowl_on_stove,8,0.9997050854577721,0.9980191585305455,0.999799579106894,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_stove,8,0.9999999999999996,1.0,0.9999999999999994,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_stove,8,0.9993127647295361,0.9950305670512198,1.0037499947117219,0.025864518260756513,0.022021914788261588,0.02317203281967965
Frame-weighted (SE(3)),bowl_on_stove,15,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441
Phase scalar GP (SE(3)),bowl_on_stove,15,0.5721121725065034,0.5721121725065034,0.5721121725065034,0.5721121725065034,0.5721121725065034,0.5721121725065034
TP-GMM additive (SE(3)),bowl_on_stove,15,0.9965406581403935,0.9968674548091846,0.9965086415510369,0.012588917537930419,0.011831661146996778,0.0035821866046206927
TP-GMM SE(3),bowl_on_stove,15,0.9955633311083817,0.9956355241850604,0.9955112258064857,0.007740415801686569,0.012613344467591178,0.0038304339159930625
Full operator (SE(3)),bowl_on_stove,15,0.9999707503454806,0.9999779183433957,0.9999729202877747,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_stove,15,1.0,0.9999999999999996,0.9999999999999998,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_stove,15,0.9903854957204989,1.0187758779335674,0.9853725445997864,0.026929714073127123,0.02538914602604915,0.023343390438301706
Frame-weighted (SE(3)),bowl_on_stove,30,0.545883120498489,0.545883120498489,0.545883120498489,0.545883120498489,0.545883120498489,0.545883120498489
Phase scalar GP (SE(3)),bowl_on_stove,30,0.5500341562030068,0.5500341562030068,0.5500341562030068,0.5500341562030068,0.5500341562030068,0.5500341562030068
TP-GMM additive (SE(3)),bowl_on_stove,30,0.9975042983993825,0.9953596235187077,0.9960905284025466,0.010383960047009255,0.01101728520952198,0.010247663742646148
TP-GMM SE(3),bowl_on_stove,30,0.9974118532625822,0.9969509652194094,0.995610444824892,0.00970798360713491,0.008393954559353212,0.011276024104697413
Full operator (SE(3)),bowl_on_stove,30,0.9999919727983636,0.9999903529101665,0.9999884243308532,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_stove,30,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_stove,30,1.0101000387286017,1.009535938285196,0.9694137881369483,0.022531718567195422,0.022729091829991683,0.027220023082127478
Frame-weighted (SE(3)),bowl_on_plate,8,0.5449176913494567,0.5449176913494567,0.5449176913494567,0.5449176913494567,0.5449176913494567,0.5449176913494567
Phase scalar GP (SE(3)),bowl_on_plate,8,0.5490613856809412,0.5490613856809412,0.5490613856809412,0.5490613856809412,0.5490613856809412,0.5490613856809412
TP-GMM additive (SE(3)),bowl_on_plate,8,0.99458917596684,0.9943330919359293,0.9933988725634573,0.013176275991288641,0.012907884157306407,0.0046996073494235775
TP-GMM SE(3),bowl_on_plate,8,0.9940574897744637,0.9935723780250151,0.9927356037415779,0.01572750152253133,0.016877602495364148,0.006608252792268843
Full operator (SE(3)),bowl_on_plate,8,0.9997050854577735,0.9980191585304635,0.9997995791068934,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_plate,8,0.9999999999999994,0.9999999999999998,0.9999999999999996,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_plate,8,0.9993218890057395,0.9950495403309451,1.0037723235628477,0.026941252055463227,0.021933446757404468,0.02249029114119892
Frame-weighted (SE(3)),bowl_on_plate,15,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441
Phase scalar GP (SE(3)),bowl_on_plate,15,0.572112172495773,0.572112172495773,0.572112172495773,0.572112172495773,0.572112172495773,0.572112172495773
TP-GMM additive (SE(3)),bowl_on_plate,15,0.9964032882651038,0.9968107519541837,0.9954796890709997,0.013806550412514884,0.019231256621249065,0.01645100308115118
TP-GMM SE(3),bowl_on_plate,15,0.9955382051001749,0.9956906743034791,0.9955037138413674,0.008992510812500779,0.011735933021484346,0.0036180440414608217
Full operator (SE(3)),bowl_on_plate,15,0.9999707503454803,0.9999779183433959,0.9999729202877747,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_plate,15,0.9999999999999998,1.0,0.9999999999999998,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_plate,15,0.9903818926569082,1.01876435752314,0.9854555701054254,0.025323618925867472,0.025085994429248495,0.023101132325596588
Frame-weighted (SE(3)),bowl_on_plate,30,0.5458831204984889,0.5458831204984889,0.5458831204984889,0.5458831204984889,0.5458831204984889,0.5458831204984889
Phase scalar GP (SE(3)),bowl_on_plate,30,0.5500341559580904,0.5500341559580904,0.5500341559580904,0.5500341559580904,0.5500341559580904,0.5500341559580904
TP-GMM additive (SE(3)),bowl_on_plate,30,0.9975958627635289,0.9964973040974076,0.9966274004863789,0.01050005263980965,0.011436478125858462,0.007258837709827197
TP-GMM SE(3),bowl_on_plate,30,0.9971511383573157,0.9952377625283234,0.9970440798989961,0.009994547503136442,0.007627573452074543,0.005740581915301135
Full operator (SE(3)),bowl_on_plate,30,0.9999919727983634,0.9999903529101662,0.9999884243308532,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_plate,30,0.9999999999999996,0.9999999999999998,1.0000000000000002,0.0,0.0,0.0
