model,task_key,sample_size,mean,std,count
TP-GMM additive (SE(3)),wine_bottle_on_rack,30,0.0028187538160846727,0.001871571217412601,18
TP-GMM SE(3),wine_bottle_on_rack,30,0.009728236278830089,0.002403000335135471,18
Full operator (SE(3)),wine_bottle_on_rack,30,3.24834167517495e-11,1.0202214274253643e-11,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,30,4.6409842719114863e-32,2.315491484668864e-32,18
Pdiag finite (SE(3)),wine_bottle_on_rack,30,0.002338213615177944,0.0001659055935576476,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,8,0.1490395814479464,0.0011032718421370607,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,8,0.1490426809589115,0.0011031542980599039,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,8,0.025860076892673462,0.0042588295289379165,18
TP-GMM SE(3),wine_bottle_on_cabinet,8,0.020473286948750988,0.001295791827009758,18
Full operator (SE(3)),wine_bottle_on_cabinet,8,1.9559569571316006e-06,4.436428343236903e-06,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,8,2.745026211048372e-31,2.926757560083314e-31,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,8,0.0005996524411682395,0.00035970972999317305,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,15,0.14986189694000052,0.002933324001842401,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,15,0.14986486230948598,0.0029330380771512153,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,15,0.0214672668639689,0.0007552795102973894,18
TP-GMM SE(3),wine_bottle_on_cabinet,15,0.020594060685614972,0.0013177693892528289,18
Full operator (SE(3)),wine_bottle_on_cabinet,15,2.236235821586156e-10,7.351693041229279e-11,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,15,3.576921352151041e-32,2.6422744486916975e-32,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,15,0.0005064157016444413,0.0002809291831457575,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,30,0.14758844080651962,0.0006396519257591758,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,30,0.14759159200756758,0.0006395707585166872,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,30,0.004056551452325248,0.0019941261634565293,18
TP-GMM SE(3),wine_bottle_on_cabinet,30,0.006735929804857692,0.003323070383827375,18
Full operator (SE(3)),wine_bottle_on_cabinet,30,2.9900435880492946e-11,9.50225544113155e-12,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,30,3.102396287978331e-32,2.412138587737357e-32,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,30,0.00038530004802138037,3.889331860649451e-05,18
Frame-weighted (SE(3)),moka_pot_on_stove,8,0.1490395814479464,0.0011032718421370717,18
Phase scalar GP (SE(3)),moka_pot_on_stove,8,0.1490426809588765,0.0011031542981475235,18
TP-GMM additive (SE(3)),moka_pot_on_stove,8,0.024866561383023775,0.003601351736889218,18
TP-GMM SE(3),moka_pot_on_stove,8,0.020619370043821833,0.002700652249550685,18
Full operator (SE(3)),moka_pot_on_stove,8,1.955956957216781e-06,4.436428343432295e-06,18
Pdiag pointwise (SE(3)),moka_pot_on_stove,8,2.1348681992678657e-31,1.285412846344412e-31,18
Pdiag finite (SE(3)),moka_pot_on_stove,8,0.0006001836620653021,0.0003598141685272777,18
Frame-weighted (SE(3)),moka_pot_on_stove,15,0.14986189694000052,0.0029333240018424044,18
Phase scalar GP (SE(3)),moka_pot_on_stove,15,0.14986486230958768,0.0029330380770235683,18
