seed,model,response_error_mean_mm_equiv,response_error_ci_low,response_error_ci_high,response_endpoint_error_mean_mm_equiv,response_endpoint_error_ci_low,response_endpoint_error_ci_high,task_error_mean_mm_equiv,task_error_ci_low,task_error_ci_high,task_endpoint_error_mean_mm_equiv,task_endpoint_error_ci_low,task_endpoint_error_ci_high,generator_rmse,translation_profile_rmse,yaw_profile_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,crossing_detected,switch_status,switch_s_0_5,switch_absolute_error,switch_penalized_absolute_error
20280818,Generic RBF,5.184480325275032,3.032530811409193,8.48690175701487,2.7149048601732115,2.2569897873063014,3.1396338546622427,5.169054021611833,3.0166611159757184,8.472611650992924,2.714714722713432,2.256706737425978,3.1395044412958515,0.5132199635162042,0.3389603127236723,0.24022001075740707,0.9384939995688395,0.9266741515464744,0.00019643312872739624,True,detected,0.6013721691110746,0.002175004572896544,0.002175004572896544
20280818,Full operator,4.268385733274944,2.089156001357798,7.631480402563085,0.1826571680276512,0.09140470094750901,0.32746202076416614,4.22882888104254,2.0351581379078545,7.5964489718885515,0.1798266866362223,0.0880124876273915,0.32554083741348283,0.5169322460449903,0.3483445083271293,0.22774346630458936,1.0033157447614287,1.000605115726415,8.37062073752195e-06,True,detected,0.6036337067819131,0.00443654224373502,0.00443654224373502
20280818,Pdiag pointwise,4.3441727658383655,2.300204022760909,7.698843878928921,0.17924385336828347,0.08948185681462137,0.3255793653715079,4.312856057681072,2.275836577008638,7.663017415480421,0.177670116875709,0.08731180618844675,0.32463245535866636,0.545235897188469,0.33291398040000586,0.2973390522035898,1.003455041753683,1.0006170220342776,-0.00035361185403058983,True,detected,0.6032769184264622,0.004079753888284188,0.004079753888284188
20280818,Pdiag finite,3.520456403995435,1.5908351141712218,6.833843727030954,0.4166475299165406,0.3664171161722959,0.46439484388004487,3.459360368767645,1.5042030835553073,6.800556161566868,0.3256971877703201,0.21756127898420866,0.4292472217504102,0.49328670626671356,0.3434502873322249,0.09413049367310933,0.9875480158105363,0.9985198833223975,0.024964753099529672,True,detected,0.6054209250365933,0.006223760498415221,0.006223760498415221
20290818,Frame-weighted,6.032364224694938,5.240768758334318,6.914743303123559,6.588314911308833,5.461855285493524,7.750830978870143,4.7578338657314045,3.8196270124047143,5.747749976205993,3.3297288261701095,1.0108145425973338,5.6390405054479675,0.3794118478193836,0.37281695462483627,0.3692363139677764,0.5668243187035715,1.0029896624334915,0.5668243187035715,False,right_censored,,,0.395100906514664
20290818,Phase scalar GP,6.048116257320208,5.259437297620137,6.927215560700286,6.586292080393982,5.458038296918679,7.754710628026279,4.773637134039536,3.841621430552251,5.759891503559041,3.3194976126443074,1.008112972899376,5.621318015382775,0.37867780790828526,0.37197287178828287,0.36867788105696764,0.5681723197220357,1.0039745248916856,0.5681723197220357,False,right_censored,,,0.395100906514664
20290818,TP-GMM additive,5.33816409086122,4.9271188117884686,5.743711302793923,0.6884583016786332,0.44826803186046815,0.9625217255930913,4.997324320247612,4.718210314803816,5.26888736495252,0.23319160712536877,0.17150972868264025,0.29103411149334135,0.2589375513151213,0.27724900162446076,0.17548075362211707,0.9971098477255966,0.8199204642910949,0.07303172933202957,True,detected,0.557598708706693,0.04730038477864296,0.04730038477864296
20290818,TP-GMM SE(2),3.6506256877386454,3.2830220034773765,4.116647529779085,0.5737954560756472,0.3829832531705956,0.7877637402209954,3.404929648004803,3.0401157926988205,3.919302065950086,0.2545874332315086,0.19522166998276375,0.3110129898458544,0.28116956427506484,0.3248347194768782,0.08117831610124542,0.997120687653804,0.8995628838962508,0.05557955637507968,True,detected,0.5773997221978637,0.027499371287472263,0.027499371287472263
20290818,Generic RBF,4.977348329735603,4.101906428797708,5.860712660406702,2.7560333290832366,2.326125581067637,3.166838439998885,4.957310894255912,4.074972873228507,5.846875811944348,2.756020188565625,2.3261117396791797,3.166831369340548,0.2837364011565542,0.2855737769136003,0.050162776530277856,0.9346972356431444,0.9263925668869437,-5.6274996983666444e-05,True,detected,0.6021652077869686,0.002733885698367411,0.002733885698367411
20290818,Full operator,4.075782146010174,3.209889348750897,4.965562974435672,0.21747742746250692,0.14070905076099574,0.2859798924514773,4.0496005202983,3.175217170479648,4.948754169681807,0.21720805028662776,0.14032020992180144,0.28584519672001973,0.29615257289948593,0.2934705156410309,0.056293882723102366,0.9991776219338815,1.000239710154324,4.435063398919389e-05,True,detected,0.604479447018857,0.0004196464664789623,0.0004196464664789623
