seed,model,episode,condition_id,generator,response_error_mm_equiv,response_endpoint_error_mm_equiv,task_error_mm_equiv,task_endpoint_error_mm_equiv
20290818,Phase scalar GP,episode_3,3,yaw,5.820268503182846,5.178823195703951,3.868590144715896,0.1899230918463986
20290818,Phase scalar GP,episode_4,4,yaw,8.492440056088096,9.659987528988252,4.679468373364954,0.3196218777213709
20290818,Phase scalar GP,episode_5,5,translation,5.135797522226352,6.514173230938361,5.120614958099675,6.476210695416505
20290818,Phase scalar GP,episode_7,6,translation,5.927243687060623,6.443642716116049,5.911569826561228,6.403774619289643
20290818,Phase scalar GP,episode_9,7,translation,5.280775823435676,6.226184013816787,5.265178340320316,6.1863023677323605
20290818,Phase scalar GP,episode_10,8,translation,7.362849842719811,6.686501300564874,7.348196204686442,6.648045666338785
20290818,TP-GMM additive,episode_0,0,yaw,6.01429411285346,0.9169498995083248,5.181566978160515,0.3042054247008497
20290818,TP-GMM additive,episode_1,1,yaw,5.186391969695571,0.3309023093767136,4.873772195968656,0.124054252593753
20290818,TP-GMM additive,episode_3,3,yaw,5.585488843337648,0.8624934295215527,5.155991113965283,0.1102235579150256
20290818,TP-GMM additive,episode_4,4,yaw,6.192793791758527,1.4650728359121823,5.358593776208665,0.2359071139125026
20290818,TP-GMM additive,episode_5,5,translation,4.378454796080807,0.7903916504348799,4.277673791109728,0.2670168065939137
20290818,TP-GMM additive,episode_7,6,translation,5.028856013333541,0.2468369914556893,4.859085100741551,0.159738644044402
20290818,TP-GMM additive,episode_9,7,translation,4.658966146214318,0.5333572455818553,4.6373729759413616,0.3304266718507059
20290818,TP-GMM additive,episode_10,8,translation,5.660067053615879,0.3616620516378672,5.634538629885137,0.3339603853917972
20290818,TP-GMM SE(2),episode_0,0,yaw,3.433649132984442,0.7336197027592213,2.843677309092916,0.3716022111090101
20290818,TP-GMM SE(2),episode_1,1,yaw,3.327463906689726,0.249671524571696,3.0990245253792232,0.1316245266464408
20290818,TP-GMM SE(2),episode_3,3,yaw,3.91128748790026,0.6977436795314044,3.603982312843681,0.173346039898952
20290818,TP-GMM SE(2),episode_4,4,yaw,3.835996263302899,1.1734283864238562,3.266550695454693,0.3164633671476871
20290818,TP-GMM SE(2),episode_5,5,translation,2.9389448092354207,0.6879822737609167,2.859524140251448,0.2516006528409814
20290818,TP-GMM SE(2),episode_7,6,translation,3.535586424675726,0.234419907840441,3.3865151388551844,0.1613893210135029
20290818,TP-GMM SE(2),episode_9,7,translation,3.171693137849,0.4773966417909145,3.155630192560737,0.3139183086161731
20290818,TP-GMM SE(2),episode_10,8,translation,5.05038433927169,0.3361015319267276,5.024532869600538,0.3167550385793218
20290818,Generic RBF,episode_0,0,yaw,3.0484072378493727,2.067258853196465,2.9527039614272814,2.0672548574996803
20290818,Generic RBF,episode_1,1,yaw,3.71728195437552,2.387014814782465,3.702255920573937,2.386986053614631
20290818,Generic RBF,episode_3,3,yaw,5.030017791306233,2.962803143885897,5.020401977282542,2.962802165056297
20290818,Generic RBF,episode_4,4,yaw,5.934467950239809,3.25738005232504,5.899238493635396,3.257325161247685
20290818,Generic RBF,episode_5,5,translation,5.979877644151871,1.7656670370274494,5.978482147090587,1.7656634313352666
20290818,Generic RBF,episode_7,6,translation,3.776480766677884,3.731261822695853,3.7743741241112407,3.731261579280276
20290818,Generic RBF,episode_9,7,translation,7.05139078313902,2.7739071457545936,7.0512919903228894,2.7739009570126
20290818,Generic RBF,episode_10,8,translation,5.280862510145118,3.1029737629981304,5.279738539603419,3.102967303478566
20290818,Full operator,episode_0,0,yaw,2.424552772419198,0.3121359629190378,2.343572036223756,0.312106900889082
20290818,Full operator,episode_1,1,yaw,2.995774149506123,0.0642739704413755,2.976808584422484,0.0633715523403215
20290818,Full operator,episode_3,3,yaw,3.803727149492689,0.1620008238212693,3.7944835120552938,0.1619244433391968
20290818,Full operator,episode_4,4,yaw,4.563043525606026,0.3319336986223338,4.469375466111536,0.3311860357112962
20290818,Full operator,episode_5,5,translation,5.514815874114148,0.2826897198017868,5.513859740635869,0.2826714788199937
20290818,Full operator,episode_7,6,translation,2.558558135689188,0.0498447302615569,2.556347306853175,0.0496373902309305
20290818,Full operator,episode_9,7,translation,6.220828175832416,0.2544902365233166,6.220511560578134,0.2543610795264117
20290818,Full operator,episode_10,8,translation,4.524957385421604,0.2824502773093786,4.521845955506157,0.2824055214357894
