task,seed,subset_id,protocol,sample_size,repeat,basis,model,fit_success,fit_error,fit_seconds,e_data,e_alpha,off_diag_mass
keyed,20260818,11,qualified,15,2,rotated-1,Frame-weighted (SE(3)),True,,0.007784594010445289,4.937668780885069e-05,0.320119746247602,
keyed,20260818,11,qualified,15,2,rotated-1,Full operator (SE(3)),True,,0.0033331660088151693,1.278071819365881e-06,0.1623287236161376,0.9298716298460382
keyed,20260818,11,qualified,15,2,rotated-1,Pdiag pointwise (SE(3)),True,,0.01894720298878383,4.683415258084844e-05,0.2939646300401773,
keyed,20260818,11,qualified,15,2,rotated-1,Pdiag finite (SE(3)),True,,180.6807441560086,2.645041438062719e-05,0.23346352248106858,
keyed,20260818,11,qualified,15,2,rotated-2,Frame-weighted (SE(3)),True,,0.005349390004994348,4.8513941256192015e-05,0.2785193766208345,
keyed,20260818,11,qualified,15,2,rotated-2,Full operator (SE(3)),True,,0.0011924699938390404,1.3775251913371587e-06,0.1114066288130457,0.9211904489688687
keyed,20260818,11,qualified,15,2,rotated-2,Pdiag pointwise (SE(3)),True,,0.011649087988189422,4.36562531074607e-05,0.35733419135916383,
keyed,20260818,11,qualified,15,2,rotated-2,Pdiag finite (SE(3)),True,,233.42298143799417,2.1633855540721564e-05,0.2032556981554806,
keyed,20260818,12,random,30,0,rotated-1,Frame-weighted (SE(3)),True,,0.008370035997359082,9.821570508493641e-05,0.28389101767894576,
keyed,20260818,12,random,30,0,rotated-1,Full operator (SE(3)),True,,0.0016864900098880753,2.3580266304866764e-05,0.14208757066315675,0.9315815999533323
keyed,20260818,12,random,30,0,rotated-1,Pdiag pointwise (SE(3)),True,,0.019928708003135398,9.424438412031291e-05,0.30384947434191384,
keyed,20260818,12,random,30,0,rotated-1,Pdiag finite (SE(3)),True,,213.56303735899564,6.910452370303301e-05,0.26240944892852314,
keyed,20260818,0,random,8,0,rotated-1,Frame-weighted (SE(3)),True,,0.0069917799992254,4.577106916655065e-05,0.63653424850202,
keyed,20260818,0,random,8,0,rotated-1,Full operator (SE(3)),True,,0.0028550699935294688,3.8331147559716925e-07,0.14292858134780384,0.9246411129397516
keyed,20260818,0,random,8,0,rotated-1,Pdiag pointwise (SE(3)),True,,0.01691533600387629,4.038295545866172e-05,0.6302559668674849,
keyed,20260818,0,random,8,0,rotated-1,Pdiag finite (SE(3)),True,,715.302293426008,2.7402215541776277e-05,0.47675678012386186,
keyed,20260818,2,random,8,2,rotated-1,Frame-weighted (SE(3)),True,,0.00793837200035341,7.620807965563087e-05,0.6633775853429138,
keyed,20260818,2,random,8,2,rotated-1,Full operator (SE(3)),True,,0.0023938650119816884,8.803615835574455e-08,0.20801040830931736,0.9374917863743268
keyed,20260818,2,random,8,2,rotated-1,Pdiag pointwise (SE(3)),True,,0.017405499995220453,6.569569734986622e-05,0.7412146155707062,
keyed,20260818,2,random,8,2,rotated-1,Pdiag finite (SE(3)),True,,803.2632612029993,6.383549781075556e-05,0.588020381305231,
keyed,20260818,6,random,15,0,local,Frame-weighted (SE(3)),True,,0.003962567003327422,9.453137703592008e-05,0.2797135413610771,
keyed,20260818,6,random,15,0,local,Full operator (SE(3)),True,,0.0009293289913330227,3.355038926503957e-05,0.28464936688154135,0.9028380784091196
keyed,20260818,6,random,15,0,local,Pdiag pointwise (SE(3)),True,,0.009876053998596035,8.666666177310718e-05,0.6147059664154597,
keyed,20260818,6,random,15,0,local,Pdiag finite (SE(3)),True,,774.4220605129958,2.0965876145985677e-05,0.12344977693903696,
keyed,20260818,13,random,30,1,local,Frame-weighted (SE(3)),True,,0.008674797994899563,8.517766652777376e-05,0.2926280980224694,
keyed,20260818,13,random,30,1,local,Full operator (SE(3)),True,,0.0019234600040363148,3.0745936734923195e-05,0.17819636252160617,0.8836064296201102
keyed,20260818,13,random,30,1,local,Pdiag pointwise (SE(3)),True,,0.021337048994610086,8.143747340359318e-05,0.33083673218275994,
keyed,20260818,13,random,30,1,local,Pdiag finite (SE(3)),True,,328.96912946800876,2.260346290654781e-05,0.1041015129186156,
keyed,20260818,6,random,15,0,rotated-1,Frame-weighted (SE(3)),True,,0.00766748700698372,0.00010516622694866912,0.3245212315881638,
keyed,20260818,6,random,15,0,rotated-1,Full operator (SE(3)),True,,0.0014601119910366833,3.722741639084785e-05,0.17101830225628628,0.9457699515320901
keyed,20260818,6,random,15,0,rotated-1,Pdiag pointwise (SE(3)),True,,0.018018905000644736,0.00010188397279418485,0.6206669590235803,
keyed,20260818,6,random,15,0,rotated-1,Pdiag finite (SE(3)),True,,878.3826856499945,6.47262675545874e-05,0.3842794837748206,
keyed,20260818,1,random,8,1,rotated-1,Frame-weighted (SE(3)),True,,0.007033967995084822,0.00010867473983148944,0.20587193970576967,
keyed,20260818,1,random,8,1,rotated-1,Full operator (SE(3)),True,,0.0026958580128848553,8.63747495511883e-06,0.20995777980904662,0.9434569677398081
keyed,20260818,1,random,8,1,rotated-1,Pdiag pointwise (SE(3)),True,,0.017615817007026635,9.935090225765081e-05,0.5852218279769282,
keyed,20260818,1,random,8,1,rotated-1,Pdiag finite (SE(3)),True,,946.7950679230125,6.92911603783887e-05,0.25426785804928725,
keyed,20260818,14,random,30,2,rotated-1,Frame-weighted (SE(3)),True,,0.0048023999988799915,8.06443300317813e-05,0.31441200834213406,
keyed,20260818,14,random,30,2,rotated-1,Full operator (SE(3)),True,,0.0012295839987928048,9.383624890125594e-06,0.1243262875650612,0.9313929318656449
keyed,20260818,14,random,30,2,rotated-1,Pdiag pointwise (SE(3)),True,,0.010799529001815245,7.784996159444023e-05,0.3486856452007507,
keyed,20260818,14,random,30,2,rotated-1,Pdiag finite (SE(3)),True,,136.99037415799103,5.735952922665862e-05,0.32138225866907677,
keyed,20260818,14,random,30,2,local,Frame-weighted (SE(3)),True,,0.011255988996708766,7.073168904465807e-05,0.1890528781074534,
keyed,20260818,14,random,30,2,local,Full operator (SE(3)),True,,0.001924684998812154,8.36367787144524e-06,0.0949717628143828,0.8849798162778224
keyed,20260818,14,random,30,2,local,Pdiag pointwise (SE(3)),True,,0.02320338699792046,6.705081731910172e-05,0.16653007614512352,
keyed,20260818,14,random,30,2,local,Pdiag finite (SE(3)),True,,171.18574475900095,1.2085130107126287e-05,0.09214731392232825,
keyed,20260818,1,random,8,1,local,Frame-weighted (SE(3)),True,,0.006863971007987857,0.00010104447167343745,0.1678997081564768,
keyed,20260818,1,random,8,1,local,Full operator (SE(3)),True,,0.002548923992435448,9.226902579158664e-06,0.21511383304844633,0.9000105364437119
keyed,20260818,1,random,8,1,local,Pdiag pointwise (SE(3)),True,,0.01693075599905569,9.257599649167237e-05,0.45807774129460377,
keyed,20260818,1,random,8,1,local,Pdiag finite (SE(3)),True,,1021.0946161739994,4.705937044566196e-05,0.11522141810400198,
keyed,20260818,13,random,30,1,rotated-1,Frame-weighted (SE(3)),True,,0.009245834007742815,9.283906311928253e-05,0.3997456492837955,
keyed,20260818,13,random,30,1,rotated-1,Full operator (SE(3)),True,,0.0018833460053429008,3.190046522318901e-05,0.20036861412475745,0.931771303355785
keyed,20260818,13,random,30,1,rotated-1,Pdiag pointwise (SE(3)),True,,0.02022075500281062,8.816685819428739e-05,0.5216288540080896,
keyed,20260818,13,random,30,1,rotated-1,Pdiag finite (SE(3)),True,,523.9407339780009,6.193767289288219e-05,0.2749938483050434,
keyed,20260818,14,random,30,2,rotated-2,Frame-weighted (SE(3)),True,,0.008550390004529618,7.259613746487602e-05,0.20184528473181668,
keyed,20260818,14,random,30,2,rotated-2,Full operator (SE(3)),True,,0.005349744009436108,9.00329880564762e-06,0.1437721709116743,0.9191365473711527
keyed,20260818,14,random,30,2,rotated-2,Pdiag pointwise (SE(3)),True,,0.018633159008459188,7.028492230780544e-05,0.20513987058211722,
keyed,20260818,14,random,30,2,rotated-2,Pdiag finite (SE(3)),True,,260.47497194699827,3.661738589811299e-05,0.19435241869506226,
keyed,20260818,15,qualified,30,0,local,Frame-weighted (SE(3)),True,,0.00448750400391873,7.829238970827614e-05,0.22393308103720774,
keyed,20260818,15,qualified,30,0,local,Full operator (SE(3)),True,,0.0012145740038249642,2.1949627937834545e-05,0.24374843542420432,0.8806664543107748
keyed,20260818,15,qualified,30,0,local,Pdiag pointwise (SE(3)),True,,0.011146185002871789,7.7724005658119e-05,0.2372123119096895,
keyed,20260818,15,qualified,30,0,local,Pdiag finite (SE(3)),True,,253.3794878320041,1.1203023734623725e-05,0.09913474007791068,
keyed,20260818,16,qualified,30,1,rotated-1,Frame-weighted (SE(3)),True,,0.004778667003847659,0.00010452275246300026,0.28100374683187096,
keyed,20260818,16,qualified,30,1,rotated-1,Full operator (SE(3)),True,,0.001620587005163543,2.41038015705574e-05,0.13645984296485938,0.9306120353705065
keyed,20260818,16,qualified,30,1,rotated-1,Pdiag pointwise (SE(3)),True,,0.011639634001767263,0.00010032035802056636,0.29698841888242206,
keyed,20260818,16,qualified,30,1,rotated-1,Pdiag finite (SE(3)),True,,160.94485399399127,7.376816249099877e-05,0.26023917098452554,
keyed,20260818,12,random,30,0,local,Frame-weighted (SE(3)),True,,0.00920023099752143,8.43872093444495e-05,0.16905046996005643,
keyed,20260818,12,random,30,0,local,Full operator (SE(3)),True,,0.0017873540055006742,2.3145881225169156e-05,0.09593827142036329,0.8834262116834463
keyed,20260818,12,random,30,0,local,Pdiag pointwise (SE(3)),True,,0.01988978000008501,8.058681589852767e-05,0.12598220747302813,
keyed,20260818,12,random,30,0,local,Pdiag finite (SE(3)),True,,829.6612432830007,2.6345365881348564e-05,0.10007593379095055,
keyed,20270818,0,random,8,0,local,Frame-weighted (SE(3)),True,,0.003758095990633592,3.945609434786595e-05,0.2919544330172962,
keyed,20270818,0,random,8,0,local,Full operator (SE(3)),True,,0.0027345270063960925,4.904531948098061e-07,0.08789490162181961,0.869494558404175
keyed,20270818,0,random,8,0,local,Pdiag pointwise (SE(3)),True,,0.009730439996928908,3.563534027508646e-05,0.264424199397947,
keyed,20270818,0,random,8,0,local,Pdiag finite (SE(3)),True,,37.07569078299275,3.0737807482782547e-06,0.10474631776382197,
keyed,20260818,15,qualified,30,0,rotated-2,Frame-weighted (SE(3)),True,,0.004521519993431866,7.866175271502841e-05,0.1987261918184298,
keyed,20260818,15,qualified,30,0,rotated-2,Full operator (SE(3)),True,,0.0011171009973622859,2.25969602036784e-05,0.29866151662418056,0.9094177270847146
