global_progress,alpha_x,alpha_y,alpha_yaw,alpha_x_std,alpha_y_std,alpha_yaw_std
0.8392857142857143,1.0030763016806707,1.0137522800101173,0.11095970931314214,0.0022925018184894183,0.01887594711189609,0.140125918552953
0.8452380952380952,1.0030873119831083,1.0141906018058457,0.10894482294232594,0.0022965769830091487,0.01948802810001614,0.1396272180037947
0.8511904761904762,1.0030963768561678,1.0139761941024548,0.10823303093976948,0.0022991220616418225,0.019177594161174344,0.13956219184516377
0.8571428571428571,1.0031054417292273,1.0135091013378568,0.10801628831244413,0.0023016673139701943,0.018510104971847276,0.13954048502926902
0.8571428571428571,1.0024365451600816,1.0144625273015764,0.10769120487952333,0.0019714676699731943,0.019680563340911988,0.13973020420877802
0.8630952380952381,1.002267734320075,1.014555949303839,0.10782665787713892,0.001887431554691451,0.019154668928914754,0.13952844947498652
0.869047619047619,1.0020989234800695,1.0146493713061013,0.10777754778069813,0.001803587859432679,0.0186355330325773,0.13939955286468597
0.875,1.001930112640063,1.0151124455862572,0.10752062633182202,0.0017199647243204765,0.017908648585898457,0.13920075170297808
0.880952380952381,1.0019162186869865,1.016095377228878,0.10716000772922635,0.0017093223068460458,0.01743239160506641,0.13893418920344683
0.8869047619047619,1.001925794062791,1.0174709027288136,0.10672422991365899,0.0016996411113087456,0.01721858635928791,0.13846573803622397
0.8928571428571429,1.0019353694385948,1.0195965361264012,0.10618638964392152,0.0016901437230789373,0.01698715941453565,0.13788000853892401
0.8988095238095238,1.0020017899848797,1.021658149720342,0.10525154259802416,0.001710467498283624,0.01705923593799799,0.13734838524047663
0.9047619047619048,1.0021019864965364,1.024227506584591,0.10431663878243526,0.0017300033061183264,0.01743036510792826,0.13652023893493667
0.9107142857142857,1.0022021830081937,1.027019828971889,0.10105617574199628,0.0017495440109112441,0.018905778492215048,0.13707571639424404
0.9166666666666667,1.0023055805100336,1.0302992951538827,0.09967194486380838,0.001771002330048479,0.021704821416445547,0.13602181775438413
0.9226190476190476,1.0024312607668067,1.0345544148650434,0.09840826392502273,0.0017970373813697722,0.02614389776289446,0.13477050474054333
0.9285714285714286,1.0025658541255524,1.0389075097110536,0.0975992395930999,0.0018249734263871135,0.03113681838677251,0.13278065956400348
0.9345238095238095,1.0026826764698378,1.0421830298448047,0.09587751015816072,0.0018420669160440922,0.03507149819473332,0.13140834247962888
0.9404761904761905,1.002818180455101,1.045336719188425,0.09381142293333328,0.0018631255497748153,0.03913598833680155,0.1298037259446985
0.9464285714285714,1.0030003885428111,1.0459961680074532,0.09048488352503005,0.0018947457285219162,0.04049224783515757,0.12893607759569195
0.9523809523809524,1.0031501452128095,1.0451958411269715,0.08783046279027751,0.001906104413116033,0.03996174462942201,0.12728226158469977
0.9583333333333333,1.0032999018828066,1.044506403721041,0.08569475158276336,0.00191748240691617,0.039577104912936444,0.1250960938732459
0.9642857142857143,1.0035030543804169,1.0444612552722294,0.08326541417502668,0.001947748480019036,0.039732442747830984,0.12280160948787389
0.9702380952380952,1.003666649814005,1.0444495619999037,0.08041807885834303,0.0019488039141258668,0.039881161436078,0.12053631187838228
0.9761904761904762,1.0038302452475936,1.0447188384003108,0.0785348921102495,0.0019498878085972675,0.040399191349232616,0.11740256699798264
0.9821428571428571,1.004038130243619,1.0449227773480947,0.07629385400198894,0.0019699805398289685,0.04103129168918781,0.11414533373908323
0.9880952380952381,1.0042402755331103,1.044873148202896,0.07403965538945227,0.0019695202252642567,0.041601177248088116,0.11072012086708526
0.994047619047619,1.004442420822603,1.0447143266598382,0.07181260459154372,0.001969398082794496,0.042034144279454344,0.10686960000528359
1.0,1.0046445661120942,1.0445555051167803,0.06953676083554378,0.0019696141753349893,0.04247414014076461,0.1029782462331885
