model,task_key,sample_size,mean,std,count
Phase scalar GP (SE(3)),wine_bottle_on_rack,30,0.14788228154285776,0.002493967952846253,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,30,0.004931634127723459,0.002484259223934959,18
TP-GMM SE(3),wine_bottle_on_rack,30,0.003198083109464008,0.0019911072462819317,18
Full operator (SE(3)),wine_bottle_on_rack,30,0.0001726284022563521,9.438192744717997e-05,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,30,0.0001997168142724845,6.405293895079746e-05,18
Pdiag finite (SE(3)),wine_bottle_on_rack,30,5.864231209766695e-05,4.180286857564877e-06,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,8,0.14886214366984332,0.0012035444707466409,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,8,0.14886526866522537,0.0012034539116921158,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,8,0.009416125321416037,0.005773180620418342,18
TP-GMM SE(3),wine_bottle_on_cabinet,8,0.008223434327250293,0.00405688858653605,18
Full operator (SE(3)),wine_bottle_on_cabinet,8,0.0050452285693344265,0.0060354227476448795,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,8,0.0008444901226282815,0.0006140641987687975,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,8,0.0003233547177879876,0.0003137884490768318,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,15,0.14960830496450284,0.002851199154460139,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,15,0.1496112967082981,0.002850914575827192,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,15,0.002097225137555332,0.0008277343459581188,18
TP-GMM SE(3),wine_bottle_on_cabinet,15,0.0017802276475530725,0.0004258502582683083,18
Full operator (SE(3)),wine_bottle_on_cabinet,15,0.00039287848737418906,0.00020881910945703218,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,15,0.0002892220890438701,0.0003062808906471836,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,15,5.1161796690161616e-05,8.005004693501615e-06,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,30,0.1473574817468679,0.0005663303676319763,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,30,0.14736066201439446,0.0005662526145427686,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,30,0.00486638375197982,0.002293717365671801,18
TP-GMM SE(3),wine_bottle_on_cabinet,30,0.0053593607672581785,0.0017830278280110748,18
Full operator (SE(3)),wine_bottle_on_cabinet,30,0.00025757544509432567,0.0001274813818715942,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,30,0.0002864510740634371,6.15192842239566e-05,18
