model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
TP-GMM SE(3),microwave_door_revolute,8,0.0031313680754139614,0.02742585197841471,0.013360355759466359,0.016811627984611777,0.031305970565187614,0.9950643458652642
Full operator (SE(3)),microwave_door_revolute,8,0.0,0.0,0.0,0.0,0.0,0.9876403003968649
Pdiag pointwise (SE(3)),microwave_door_revolute,8,0.0,0.0,0.0,0.0,0.0,0.9982819038780385
Pdiag finite (SE(3)),microwave_door_revolute,8,3.141211827259219e-06,3.169570659853444e-06,3.1781486355199207e-06,3.4725435280030177e-06,3.4637784709774458e-06,1.00892783336906
Frame-weighted (SE(3)),microwave_door_revolute,15,0.283506380095542,0.283506380095542,0.283506380095542,0.283506380095542,0.283506380095542,0.283506380095542
Phase scalar GP (SE(3)),microwave_door_revolute,15,0.2856622355561437,0.2856622355561437,0.2856622355561437,0.2856622355561437,0.2856622355561437,0.2856622355561437
TP-GMM additive (SE(3)),microwave_door_revolute,15,0.0067584280585229715,0.0034131542769504785,0.004053751810304538,0.01033163492529221,0.018944436707572915,0.9962303664986779
TP-GMM SE(3),microwave_door_revolute,15,0.0024158218340924174,0.0018886792002261133,0.003751953028529434,0.00465492449454256,0.0064431556178619065,0.9958527731036528
Full operator (SE(3)),microwave_door_revolute,15,0.0,0.0,0.0,0.0,0.0,0.9933752288215754
Pdiag pointwise (SE(3)),microwave_door_revolute,15,0.0,0.0,0.0,0.0,0.0,0.9966666959809629
Pdiag finite (SE(3)),microwave_door_revolute,15,1.7420797960370598e-06,1.7341207692576351e-06,1.7336104154346033e-06,2.0288804984417357e-06,1.9208536128614193e-06,1.01014317375265
Frame-weighted (SE(3)),microwave_door_revolute,30,0.29636259537517257,0.29636259537517257,0.29636259537517257,0.29636259537517257,0.29636259537517257,0.29636259537517257
Phase scalar GP (SE(3)),microwave_door_revolute,30,0.2986162127132764,0.2986162127132764,0.2986162127132764,0.2986162127132764,0.2986162127132764,0.2986162127132764
TP-GMM additive (SE(3)),microwave_door_revolute,30,0.023419128238384157,0.01465268518800712,0.004338988331300846,0.017095362837795298,0.010753189277907657,0.9926573879919823
TP-GMM SE(3),microwave_door_revolute,30,0.0017789424651360785,0.001312510368311224,0.002906558876755005,0.002386826869522111,0.004793088029500107,0.9973592323246032
Full operator (SE(3)),microwave_door_revolute,30,0.0,0.0,0.0,0.0,0.0,0.999747746470609
Pdiag pointwise (SE(3)),microwave_door_revolute,30,0.0,0.0,0.0,0.0,0.0,1.001314848604063
Pdiag finite (SE(3)),microwave_door_revolute,30,1.7448798539800289e-06,1.751272453666154e-06,1.7461808402124984e-06,1.8989260885848632e-06,1.8997889663316795e-06,1.011146545625894
Frame-weighted (SE(3)),plate_front_push,8,0.2002283515137921,0.2002283515137921,0.2002283515137921,0.2002283515137921,0.2002283515137921,0.2002283515137921
Phase scalar GP (SE(3)),plate_front_push,8,0.20175093941793032,0.20175093941793032,0.20175093941793032,0.20175093941793032,0.20175093941793032,0.20175093941793032
TP-GMM additive (SE(3)),plate_front_push,8,0.9618944956316215,0.05417921580315072,0.017133781037330702,0.03749756172395783,0.05294177992672607,0.0470136873630315
TP-GMM SE(3),plate_front_push,8,0.9063053924520994,0.051770102426563255,0.022187257719905085,0.07481712547501429,0.0692457354157124,0.058550937519029476
Full operator (SE(3)),plate_front_push,8,0.9361464895038778,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),plate_front_push,8,0.9790248408200826,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),plate_front_push,8,1.0006427775789764,4.189904180789567e-06,4.257301748064147e-06,1.016647036671936e-05,1.0097748533843763e-05,7.309168461182531e-06
Frame-weighted (SE(3)),plate_front_push,15,0.17347964414295425,0.17347964414295425,0.17347964414295425,0.17347964414295425,0.17347964414295425,0.17347964414295425
Phase scalar GP (SE(3)),plate_front_push,15,0.17479882799331486,0.17479882799331486,0.17479882799331486,0.17479882799331486,0.17479882799331486,0.17479882799331486
TP-GMM additive (SE(3)),plate_front_push,15,0.9139995436567572,0.008579787147440713,0.008536834128333608,0.014245170138764177,0.015406199844244442,0.009930609893640696
TP-GMM SE(3),plate_front_push,15,0.9084806083699617,0.010738632566232104,0.013499989778790236,0.01054142646045153,0.01710452496735441,0.019855708148992218
Full operator (SE(3)),plate_front_push,15,1.0231256330045666,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),plate_front_push,15,0.9934527661378377,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),plate_front_push,15,1.011985130603278,1.791007173112332e-06,2.0636364905934152e-06,6.325189536773819e-06,7.276801046081942e-06,4.747637300696629e-06
Frame-weighted (SE(3)),plate_front_push,30,0.18837614468855124,0.18837614468855124,0.18837614468855124,0.18837614468855124,0.18837614468855124,0.18837614468855124
Phase scalar GP (SE(3)),plate_front_push,30,0.18980860536194266,0.18980860536194266,0.18980860536194266,0.18980860536194266,0.18980860536194266,0.18980860536194266
TP-GMM additive (SE(3)),plate_front_push,30,0.9394331224777304,0.002871143668216109,0.0034240439416693964,0.007225847423669274,0.006605315062612786,0.0015328280619781864
TP-GMM SE(3),plate_front_push,30,0.9264538925513391,0.0030074415419408455,0.0030561571081461148,0.006689385728028426,0.006789195751169578,0.0015888218697936256
Full operator (SE(3)),plate_front_push,30,0.9799590281262017,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),plate_front_push,30,0.9671789867410011,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),plate_front_push,30,1.00609248549164,1.68622834154424e-06,2.0712433681578894e-06,8.223062487948893e-06,8.629357807926839e-06,5.705097956209367e-06
Frame-weighted (SE(3)),bowl_on_stove,8,0.540754438909232,0.540754438909232,0.540754438909232,0.540754438909232,0.540754438909232,0.540754438909232
Phase scalar GP (SE(3)),bowl_on_stove,8,0.544866474736295,0.544866474736295,0.544866474736295,0.544866474736295,0.544866474736295,0.544866474736295
TP-GMM additive (SE(3)),bowl_on_stove,8,0.9551988681459043,0.9752210988441095,0.9767460746632334,0.015843981243089427,0.019531328674573745,0.006366432895322571
TP-GMM SE(3),bowl_on_stove,8,0.9493485668576768,0.9759155935871345,0.9779707688755782,0.0243857182933979,0.02486363509338559,0.009331338387742397
Full operator (SE(3)),bowl_on_stove,8,0.936146489503882,0.9222126776080191,0.9526642102052647,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_stove,8,0.9790248408200826,1.0237015497933772,0.9918217978351298,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_stove,8,1.0005524318562216,1.0294569926903852,1.0030399134231247,0.002369453269699064,0.002437619231819473,0.0032674323314209695
Frame-weighted (SE(3)),bowl_on_stove,15,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168
Phase scalar GP (SE(3)),bowl_on_stove,15,0.568378622991705,0.568378622991705,0.568378622991705,0.568378622991705,0.568378622991705,0.568378622991705
TP-GMM additive (SE(3)),bowl_on_stove,15,0.961235429606059,0.9609657719584445,0.9720975728292475,0.009528136454385031,0.01181934407372709,0.0023593272318900294
TP-GMM SE(3),bowl_on_stove,15,0.9709245050110403,0.9595990800218522,0.9737567929632487,0.009186491042569559,0.009738556565885181,0.0021939446704445733
Full operator (SE(3)),bowl_on_stove,15,1.0231256330045666,0.9547962197970808,1.016049553961019,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_stove,15,0.9934527661378377,0.9738854145921488,1.0163536946572578,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_stove,15,1.0119846776108166,1.0077309715802754,1.010114256460467,0.002683352067063908,0.0012040604494382473,0.001039892443054818
Frame-weighted (SE(3)),bowl_on_stove,30,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175
Phase scalar GP (SE(3)),bowl_on_stove,30,0.5454979281713643,0.5454979281713643,0.5454979281713643,0.5454979281713643,0.5454979281713643,0.5454979281713643
TP-GMM additive (SE(3)),bowl_on_stove,30,0.9210321599224918,0.9300815000931286,0.9512397112898413,0.0069358471101137464,0.006527785747144854,0.0015119622907901291
