dataset,episode,reference_split,event,frame,time_s,status,threshold_time_spread_s,threshold_detection_count,video_duration_mismatch
insert_jc_fix_3,17,reference_heldout,release,438.0,14.600000381469727,kinematic_proxy,0.0,3,False
insert_jc_fix_3,18,reference_heldout,grasp,224.0,7.4666666984558105,kinematic_proxy,0.0,3,False
insert_jc_fix_3,18,reference_heldout,lift_clearance,259.0,8.633333206176758,kinematic_proxy,0.0,3,False
insert_jc_fix_3,18,reference_heldout,assembly_region,298.0,9.933333396911621,kinematic_proxy,0.0,3,False
insert_jc_fix_3,18,reference_heldout,axial_advance_candidate,445.0,14.833333015441895,kinematic_proxy,1.5,2,False
insert_jc_fix_3,18,reference_heldout,terminal_settle_candidate,449.0,14.966666221618652,kinematic_proxy,0.0,2,False
insert_jc_fix_3,18,reference_heldout,release,497.0,16.566667556762695,kinematic_proxy,0.0,3,False
insert_jc_fix_3,19,reference_heldout,grasp,248.0,8.266666412353516,kinematic_proxy,0.0,3,False
insert_jc_fix_3,19,reference_heldout,lift_clearance,312.0,10.399999618530273,kinematic_proxy,0.0,3,False
insert_jc_fix_3,19,reference_heldout,assembly_region,370.0,12.333333015441895,kinematic_proxy,0.0,3,False
insert_jc_fix_3,19,reference_heldout,axial_advance_candidate,437.0,14.566666603088379,kinematic_proxy,0.43333333333333335,2,False
insert_jc_fix_3,19,reference_heldout,terminal_settle_candidate,465.0,15.5,kinematic_proxy,0.0,3,False
insert_jc_fix_3,19,reference_heldout,release,500.0,16.66666603088379,kinematic_proxy,0.0,3,False
insert_jc_fix_3,20,calibration,grasp,185.0,6.166666507720947,kinematic_proxy,0.0,3,False
insert_jc_fix_3,20,calibration,lift_clearance,226.0,7.5333333015441895,kinematic_proxy,0.0,3,False
insert_jc_fix_3,20,calibration,assembly_region,263.0,8.766666412353516,kinematic_proxy,0.0,3,False
insert_jc_fix_3,20,calibration,axial_advance_candidate,355.0,11.833333015441895,kinematic_proxy,0.9,2,False
