dataset,episode,variant,event,frame,time_s
insert_jc_fix_3,6,own_terminal_offline,axial_advance_candidate,344.0,11.466666221618652
insert_jc_fix_3,6,own_terminal_offline,terminal_settle_candidate,401.0,13.366666793823242
insert_jc_fix_3,6,own_terminal_offline,release,439.0,14.633333206176758
insert_jc_fix_3,7,strict,grasp,154.0,5.133333206176758
insert_jc_fix_3,7,strict,lift_clearance,217.0,7.233333110809326
insert_jc_fix_3,7,strict,assembly_region,277.0,9.233333587646484
insert_jc_fix_3,7,strict,axial_advance_candidate,334.0,11.133333206176758
insert_jc_fix_3,7,strict,terminal_settle_candidate,,
insert_jc_fix_3,7,strict,release,490.0,16.33333396911621
insert_jc_fix_3,7,main,grasp,154.0,5.133333206176758
insert_jc_fix_3,7,main,lift_clearance,217.0,7.233333110809326
insert_jc_fix_3,7,main,assembly_region,277.0,9.233333587646484
insert_jc_fix_3,7,main,axial_advance_candidate,297.0,9.899999618530273
insert_jc_fix_3,7,main,terminal_settle_candidate,455.0,15.166666984558105
insert_jc_fix_3,7,main,release,490.0,16.33333396911621
insert_jc_fix_3,7,loose,grasp,154.0,5.133333206176758
insert_jc_fix_3,7,loose,lift_clearance,217.0,7.233333110809326
insert_jc_fix_3,7,loose,assembly_region,277.0,9.233333587646484
insert_jc_fix_3,7,loose,axial_advance_candidate,297.0,9.899999618530273
insert_jc_fix_3,7,loose,terminal_settle_candidate,455.0,15.166666984558105
insert_jc_fix_3,7,loose,release,490.0,16.33333396911621
insert_jc_fix_3,7,own_terminal_offline,grasp,154.0,5.133333206176758
insert_jc_fix_3,7,own_terminal_offline,lift_clearance,217.0,7.233333110809326
insert_jc_fix_3,7,own_terminal_offline,assembly_region,283.0,9.433333396911621
insert_jc_fix_3,7,own_terminal_offline,axial_advance_candidate,311.0,10.366666793823242
insert_jc_fix_3,7,own_terminal_offline,terminal_settle_candidate,455.0,15.166666984558105
insert_jc_fix_3,7,own_terminal_offline,release,490.0,16.33333396911621
insert_jc_fix_3,8,strict,grasp,235.0,7.833333492279053
insert_jc_fix_3,8,strict,lift_clearance,288.0,9.600000381469727
insert_jc_fix_3,8,strict,assembly_region,346.0,11.533333778381348
insert_jc_fix_3,8,strict,axial_advance_candidate,380.0,12.666666984558105
insert_jc_fix_3,8,strict,terminal_settle_candidate,505.0,16.83333396911621
insert_jc_fix_3,8,strict,release,543.0,18.100000381469727
insert_jc_fix_3,8,main,grasp,235.0,7.833333492279053
insert_jc_fix_3,8,main,lift_clearance,288.0,9.600000381469727
insert_jc_fix_3,8,main,assembly_region,346.0,11.533333778381348
insert_jc_fix_3,8,main,axial_advance_candidate,373.0,12.433333396911621
insert_jc_fix_3,8,main,terminal_settle_candidate,505.0,16.83333396911621
insert_jc_fix_3,8,main,release,543.0,18.100000381469727
insert_jc_fix_3,8,loose,grasp,235.0,7.833333492279053
insert_jc_fix_3,8,loose,lift_clearance,288.0,9.600000381469727
insert_jc_fix_3,8,loose,assembly_region,346.0,11.533333778381348
insert_jc_fix_3,8,loose,axial_advance_candidate,373.0,12.433333396911621
