time_s,nominal_frame,event_progress,alpha_pitch,applied_rotation_deg,delta_x_mm,delta_y_mm,delta_z_mm
1.8333333333333333,273.5424494335213,1.0708489886704262,0.026478047656056894,0.2647804765605689,0.4051001059026671,-0.41472729004358305,-0.2622852289148325
1.8666666666666667,273.7256015322412,1.0745120306448246,0.029847137931170727,0.29847137931170725,0.45587375292899246,-0.46676570649891586,-0.2907786837812454
1.9,273.914451961679,1.0782890392335798,0.03332104923066832,0.3332104923066832,0.5080470395073533,-0.5202526067795699,-0.3190043091932382
1.9333333333333333,274.1090535257365,1.08218107051473,0.03812388823434406,0.3812388823434406,0.5802933070682137,-0.5943162428501612,-0.35821298802182766
1.9666666666666666,274.3094574878675,1.0861891497573504,0.04405804154560549,0.4405804154560549,0.6695092847746054,-0.685787872052715,-0.4057718236564478
2.0,274.51571358024694,1.0903142716049388,0.050165482040025244,0.5016548204002524,0.7610256461783038,-0.7796465203164169,-0.4524114805007362
2.033333333333333,274.7278700129403,1.0945574002588057,0.05644763726383021,0.5644763726383021,0.8548401160300978,-0.875892358915123,-0.4979420752538599
2.0666666666666664,274.9459734830731,1.0989194696614617,0.06290588996364456,0.6290588996364456,0.9509491795129943,-0.9745243905944432,-0.5421653498990098
2.1,275.170069184,1.10340138368,0.0716470045705349,0.716470045705349,1.0815466919924521,-1.108524491768438,-0.6041973539685497
2.1333333333333333,275.4002008144742,1.108004016289484,0.08131041122552869,0.8131041122552869,1.2257995571490765,-1.2565614455081335,-0.6707773152808127
2.1666666666666665,275.6364105878169,1.112728211756338,0.09122904384022423,0.9122904384022423,1.3734827483820045,-1.4081653562931367,-0.7354259831832688
2.2,275.8787392410864,1.1175747848217281,0.10140461299547264,1.0140461299547263,1.524599189437037,-1.563342953820726,-0.7978637220698304
2.2333333333333334,276.1272260442477,1.1225445208849545,0.11341180211530398,1.1341180211530397,1.7031388914278134,-1.7466915225269748,-0.8708237999968116
2.2666666666666666,276.38190880934167,1.1276381761868333,0.12725505106336565,1.2725505106336565,1.9091883742967664,-1.958312120137848,-0.9534217911570664
2.3,276.64282389965433,1.1328564779930868,0.14143705724730238,1.4143705724730238,2.1199132577949253,-2.174803606220771,-1.0326894103168394
2.3333333333333335,276.91000623888635,1.1382001247777271,0.15595971894037008,1.5595971894037008,2.3353302314078617,-2.3961882549209808,-1.1082465646700956
2.3666666666666667,277.1834893203223,1.1436697864064456,0.1726267086592967,1.726267086592967,2.583016583905029,-2.650614011724159,-1.2043314260043458
2.4,277.463305216,1.1492661043199996,0.19058383775808913,1.9058383775808911,2.849966108165347,-2.9247843363737895,-1.3111096248677456
2.433333333333333,277.74948458587977,1.1549896917175955,0.20894934154012446,2.0894934154012446,3.1226976936284956,-3.2049395183085805,-1.416704904063787
2.466666666666667,278.042056687014,1.16084113374028,0.2280584958194449,2.280584958194449,3.4062095315106067,-3.49625784411009,-1.5197336371667869
2.5,278.34104938271605,1.166820987654321,0.24961651318176023,2.496165131817602,3.7259639507358777,-3.825144745751061,-1.6112152030413052
2.533333333333333,278.6464891517301,1.1729297830346024,0.27163937841626296,2.7163937841626296,4.052378815667557,-4.1610050056373336,-1.6953585468802435
2.5666666666666664,278.9584010974002,1.1791680219480043,0.29412890152812604,2.9412890152812605,4.385507368553698,-4.503901423404427,-1.7715733637551356
2.6,279.2768089568395,1.1855361791367898,0.3191026848259569,3.1910268482595687,4.755130190803536,-4.883837880075278,-1.8956416013914401
2.6333333333333333,279.60173511009987,1.1920347022019973,0.3448968697734522,3.448968697734522,5.136522959490408,-5.275825637453324,-2.027206659102554
2.6666666666666665,279.933200589341,1.1986640117868206,0.3712101775495902,3.712101775495902,5.525226416796869,-5.675369959720719,-2.15806974906449
