model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Frame-weighted,0.07291666666666666,Align keyed,0.2916666666666667,0.27380898419173283,0.27380898419173283,0.27380898419173283,0.27380898419173283
Frame-weighted,0.08333333333333333,Align keyed,0.3333333333333333,0.3589438115224032,0.3589438115224032,0.3589438115224032,0.3589438115224032
Frame-weighted,0.09375,Align keyed,0.375,0.4460477422056392,0.4460477422056392,0.4460477422056392,0.4460477422056392
Frame-weighted,0.10416666666666666,Align keyed,0.4166666666666667,0.5462603951258157,0.5462603951258157,0.5462603951258157,0.5462603951258157
Frame-weighted,0.11458333333333333,Align keyed,0.4583333333333333,0.6598297550024285,0.6598297550024285,0.6598297550024285,0.6598297550024285
Frame-weighted,0.125,Align keyed,0.5,0.7622441644028293,0.7622441644028293,0.7622441644028293,0.7622441644028293
Frame-weighted,0.13541666666666666,Align keyed,0.5416666666666666,0.8461437319036053,0.8461437319036053,0.8461437319036053,0.8461437319036053
Frame-weighted,0.14583333333333331,Align keyed,0.5833333333333334,0.9109323131596369,0.9109323131596369,0.9109323131596369,0.9109323131596369
Frame-weighted,0.15625,Align keyed,0.625,0.9586761076592822,0.9586761076592822,0.9586761076592822,0.9586761076592822
Frame-weighted,0.16666666666666666,Align keyed,0.6666666666666666,0.9914297713210344,0.9914297713210344,0.9914297713210344,0.9914297713210344
Frame-weighted,0.17708333333333331,Align keyed,0.7083333333333334,1.0103968299574078,1.0103968299574078,1.0103968299574078,1.0103968299574078
Frame-weighted,0.1875,Align keyed,0.75,1.0129998644979352,1.0129998644979352,1.0129998644979352,1.0129998644979352
Frame-weighted,0.19791666666666666,Align keyed,0.7916666666666666,1.0110174909831404,1.0110174909831404,1.0110174909831404,1.0110174909831404
Frame-weighted,0.20833333333333331,Align keyed,0.8333333333333334,1.007718444225167,1.007718444225167,1.007718444225167,1.007718444225167
Frame-weighted,0.21875,Align keyed,0.875,1.0011011241504761,1.0011011241504761,1.0011011241504761,1.0011011241504761
Frame-weighted,0.22916666666666666,Align keyed,0.9166666666666666,1.003939914601825,1.003939914601825,1.003939914601825,1.003939914601825
Frame-weighted,0.23958333333333331,Align keyed,0.9583333333333334,1.0078647108904442,1.0078647108904442,1.0078647108904442,1.0078647108904442
Frame-weighted,0.25,Align keyed,1.0,1.0072784121571572,1.0072784121571572,1.0072784121571572,1.0072784121571572
Frame-weighted,0.25,Enter key,0.0,1.0069740737127073,1.0069740737127073,1.0069740737127073,1.0069740737127073
Frame-weighted,0.2604166666666667,Enter key,0.041666666666666664,1.006782783644535,1.006782783644535,1.006782783644535,1.006782783644535
Frame-weighted,0.2708333333333333,Enter key,0.08333333333333333,1.0057387189453402,1.0057387189453402,1.0057387189453402,1.0057387189453402
Frame-weighted,0.28125,Enter key,0.125,1.004483778650123,1.004483778650123,1.004483778650123,1.004483778650123
Frame-weighted,0.2916666666666667,Enter key,0.16666666666666666,1.0029943402143535,1.0029943402143535,1.0029943402143535,1.0029943402143535
Frame-weighted,0.3020833333333333,Enter key,0.20833333333333334,1.0015649297271945,1.0015649297271945,1.0015649297271945,1.0015649297271945
Frame-weighted,0.3125,Enter key,0.25,1.0029326357964206,1.0029326357964206,1.0029326357964206,1.0029326357964206
Frame-weighted,0.32291666666666663,Enter key,0.2916666666666667,1.0031343192805053,1.0031343192805053,1.0031343192805053,1.0031343192805053
Frame-weighted,0.3333333333333333,Enter key,0.3333333333333333,1.0036112707359919,1.0036112707359919,1.0036112707359919,1.0036112707359919
Frame-weighted,0.34375,Enter key,0.375,1.0056702482318047,1.0056702482318047,1.0056702482318047,1.0056702482318047
Frame-weighted,0.35416666666666663,Enter key,0.4166666666666667,1.0075337928770272,1.0075337928770272,1.0075337928770272,1.0075337928770272
Frame-weighted,0.3645833333333333,Enter key,0.4583333333333333,1.0082404228904487,1.0082404228904487,1.0082404228904487,1.0082404228904487
Frame-weighted,0.375,Enter key,0.5,1.008140805544232,1.008140805544232,1.008140805544232,1.008140805544232
Frame-weighted,0.38541666666666663,Enter key,0.5416666666666666,1.0079095268310374,1.0079095268310374,1.0079095268310374,1.0079095268310374
Frame-weighted,0.3958333333333333,Enter key,0.5833333333333334,1.0069204961162583,1.0069204961162583,1.0069204961162583,1.0069204961162583
Frame-weighted,0.40625,Enter key,0.625,1.0054003231927193,1.0054003231927193,1.0054003231927193,1.0054003231927193
Frame-weighted,0.41666666666666663,Enter key,0.6666666666666666,1.0048806161709782,1.0048806161709782,1.0048806161709782,1.0048806161709782
Frame-weighted,0.4270833333333333,Enter key,0.7083333333333334,1.0048212546037165,1.0048212546037165,1.0048212546037165,1.0048212546037165
Frame-weighted,0.4375,Enter key,0.75,1.0045962141286682,1.0045962141286682,1.0045962141286682,1.0045962141286682
Frame-weighted,0.44791666666666663,Enter key,0.7916666666666666,1.0045529740392911,1.0045529740392911,1.0045529740392911,1.0045529740392911
Frame-weighted,0.4583333333333333,Enter key,0.8333333333333334,1.0044640961347577,1.0044640961347577,1.0044640961347577,1.0044640961347577
Frame-weighted,0.46875,Enter key,0.875,1.0042135909626762,1.0042135909626762,1.0042135909626762,1.0042135909626762
Frame-weighted,0.47916666666666663,Enter key,0.9166666666666666,1.0044610307072985,1.0044610307072985,1.0044610307072985,1.0044610307072985
Frame-weighted,0.4895833333333333,Enter key,0.9583333333333334,1.0045057059361908,1.0045057059361908,1.0045057059361908,1.0045057059361908
Frame-weighted,0.5,Enter key,1.0,1.0043115902168411,1.0043115902168411,1.0043115902168411,1.0043115902168411
Frame-weighted,0.5,Unlock yaw,0.0,1.0043425950386835,1.0043425950386835,1.0043425950386835,1.0043425950386835
Frame-weighted,0.5104166666666666,Unlock yaw,0.041666666666666664,1.0029534016360564,1.0029534016360564,1.0029534016360564,1.0029534016360564
Frame-weighted,0.5208333333333334,Unlock yaw,0.08333333333333333,0.9984063135096071,0.9984063135096071,0.9984063135096071,0.9984063135096071
Frame-weighted,0.53125,Unlock yaw,0.125,0.989394809455497,0.989394809455497,0.989394809455497,0.989394809455497
Frame-weighted,0.5416666666666666,Unlock yaw,0.16666666666666666,0.9753748881859649,0.9753748881859649,0.9753748881859649,0.9753748881859649
Frame-weighted,0.5520833333333334,Unlock yaw,0.20833333333333334,0.9558493749496304,0.9558493749496304,0.9558493749496304,0.9558493749496304
