baseline,episode,condition_id,generator,metric,baseline_minus_pdiag_mm_equiv
Full operator,episode_1,1,yaw,response_endpoint_error_mm_equiv,-0.2978698195078413
Full operator,episode_4,3,yaw,response_endpoint_error_mm_equiv,-0.2540202141799967
Full operator,episode_5,4,yaw,response_endpoint_error_mm_equiv,-0.4618971545207905
Full operator,episode_7,5,translation,response_endpoint_error_mm_equiv,-0.23157242927928245
Full operator,episode_9,6,translation,response_endpoint_error_mm_equiv,-0.21497483840242365
Full operator,episode_11,7,translation,response_endpoint_error_mm_equiv,-0.25267944487543503
Full operator,episode_12,8,translation,response_endpoint_error_mm_equiv,-0.174065540297892
Full operator,episode_0,0,yaw,task_error_mm_equiv,-0.2157434098488662
Full operator,episode_1,1,yaw,task_error_mm_equiv,-0.25450871144156567
Full operator,episode_4,3,yaw,task_error_mm_equiv,-0.13198836120379132
Full operator,episode_5,4,yaw,task_error_mm_equiv,-0.5271702590083622
Full operator,episode_7,5,translation,task_error_mm_equiv,0.2342001762652186
Full operator,episode_9,6,translation,task_error_mm_equiv,-0.009946161273976628
Full operator,episode_11,7,translation,task_error_mm_equiv,-0.22802164908103917
Full operator,episode_12,8,translation,task_error_mm_equiv,-0.020636350866578557
Full operator,episode_0,0,yaw,task_endpoint_error_mm_equiv,0.04038053169027986
Full operator,episode_1,1,yaw,task_endpoint_error_mm_equiv,-0.25614362688424075
Full operator,episode_4,3,yaw,task_endpoint_error_mm_equiv,-0.18198071375096667
Full operator,episode_5,4,yaw,task_endpoint_error_mm_equiv,-0.1331491424104872
Full operator,episode_7,5,translation,task_endpoint_error_mm_equiv,-0.2320509747192092
Full operator,episode_9,6,translation,task_endpoint_error_mm_equiv,-0.21296712925338213
Full operator,episode_11,7,translation,task_endpoint_error_mm_equiv,-0.2539824911384141
Full operator,episode_12,8,translation,task_endpoint_error_mm_equiv,-0.17836482704086748
Pdiag pointwise,episode_0,0,yaw,response_error_mm_equiv,0.12985494686891252
Pdiag pointwise,episode_1,1,yaw,response_error_mm_equiv,0.37071799148024576
Pdiag pointwise,episode_4,3,yaw,response_error_mm_equiv,0.020476413295023255
Pdiag pointwise,episode_5,4,yaw,response_error_mm_equiv,0.8191127939716902
Pdiag pointwise,episode_7,5,translation,response_error_mm_equiv,0.25137635511691503
Pdiag pointwise,episode_9,6,translation,response_error_mm_equiv,0.05822074864391347
Pdiag pointwise,episode_11,7,translation,response_error_mm_equiv,-0.12017790124417926
Pdiag pointwise,episode_12,8,translation,response_error_mm_equiv,0.06269694716901553
Pdiag pointwise,episode_0,0,yaw,response_endpoint_error_mm_equiv,-0.2985103442956035
Pdiag pointwise,episode_1,1,yaw,response_endpoint_error_mm_equiv,-0.2643707685313401
Pdiag pointwise,episode_4,3,yaw,response_endpoint_error_mm_equiv,-0.29639287204513654
Pdiag pointwise,episode_5,4,yaw,response_endpoint_error_mm_equiv,-0.3892086725240999
Pdiag pointwise,episode_7,5,translation,response_endpoint_error_mm_equiv,-0.1609767115454397
Pdiag pointwise,episode_9,6,translation,response_endpoint_error_mm_equiv,-0.11790614707402403
Pdiag pointwise,episode_11,7,translation,response_endpoint_error_mm_equiv,-0.24580594903254593
Pdiag pointwise,episode_12,8,translation,response_endpoint_error_mm_equiv,-0.18711436882986604
Pdiag pointwise,episode_0,0,yaw,task_error_mm_equiv,0.26027971715422415
Pdiag pointwise,episode_1,1,yaw,task_error_mm_equiv,0.3865821258291521
Pdiag pointwise,episode_4,3,yaw,task_error_mm_equiv,0.03415558555726905
Pdiag pointwise,episode_5,4,yaw,task_error_mm_equiv,0.8562990788784899
Pdiag pointwise,episode_7,5,translation,task_error_mm_equiv,0.2507295712467512
Pdiag pointwise,episode_9,6,translation,task_error_mm_equiv,0.05861843876233763
Pdiag pointwise,episode_11,7,translation,task_error_mm_equiv,-0.11977512928386425
Pdiag pointwise,episode_12,8,translation,task_error_mm_equiv,0.060845097638149825
Pdiag pointwise,episode_0,0,yaw,task_endpoint_error_mm_equiv,-0.03167180370746006
Pdiag pointwise,episode_1,1,yaw,task_endpoint_error_mm_equiv,-0.22265132546549338
Pdiag pointwise,episode_4,3,yaw,task_endpoint_error_mm_equiv,-0.22442842473733132
Pdiag pointwise,episode_5,4,yaw,task_endpoint_error_mm_equiv,-0.052602024581917387
Pdiag pointwise,episode_7,5,translation,task_endpoint_error_mm_equiv,-0.16160412734440566
Pdiag pointwise,episode_9,6,translation,task_endpoint_error_mm_equiv,-0.11601811934103196
Pdiag pointwise,episode_11,7,translation,task_endpoint_error_mm_equiv,-0.24776966900539288
Pdiag pointwise,episode_12,8,translation,task_endpoint_error_mm_equiv,-0.18968079563156096
