model,sample_size,seed,fit_task,eval_task,cross_task_error,in_task_error,mismatch_gap
TP-GMM additive,20,20260818,circular_honest,circular_placebo,9.185843214421999,3.4200293386164202,5.765813875805579
TP-GMM SE(2),20,20260818,circular_honest,keyed,6.088618433986525,3.0946160453586153,2.99400238862791
TP-GMM SE(2),20,20260818,circular_honest,circular_placebo,9.231979051210077,3.0946160453586153,6.137363005851462
Generic RBF,20,20260818,circular_honest,keyed,8.455999467423874,3.521974421752317,4.934025045671557
Generic RBF,20,20260818,circular_honest,circular_placebo,14.991671024380482,3.521974421752317,11.469696602628165
Full operator,20,20260818,circular_honest,keyed,4.3010757379589,1.8857199739332562,2.415355764025644
Full operator,20,20260818,circular_honest,circular_placebo,10.94146663933263,1.8857199739332562,9.055746665399374
Pdiag pointwise,20,20260818,circular_honest,keyed,4.221693261798463,1.964209823136609,2.257483438661854
Pdiag pointwise,20,20260818,circular_honest,circular_placebo,10.887594567772291,1.964209823136609,8.923384744635683
Pdiag finite,20,20260818,circular_honest,keyed,4.171701724930154,1.9503587696764504,2.2213429552537036
Pdiag finite,20,20260818,circular_honest,circular_placebo,10.962897800245356,1.9503587696764504,9.012539030568906
Frame-weighted,5,20270818,circular_honest,keyed,6.255595907860076,5.141787466569189,1.1138084412908862
Frame-weighted,5,20270818,circular_honest,circular_placebo,13.884735204181515,5.141787466569189,8.742947737612326
Phase scalar GP,5,20270818,circular_honest,keyed,6.255831763489915,5.141654449244421,1.1141773142454943
Phase scalar GP,5,20270818,circular_honest,circular_placebo,13.884676490704186,5.141654449244421,8.743022041459763
TP-GMM additive,5,20270818,circular_honest,keyed,7.646530350441627,5.790138695212429,1.8563916552291984
TP-GMM additive,5,20270818,circular_honest,circular_placebo,10.29010449478451,5.790138695212429,4.499965799572081
TP-GMM SE(2),5,20270818,circular_honest,keyed,7.4908113960890494,5.448146184893569,2.04266521119548
TP-GMM SE(2),5,20270818,circular_honest,circular_placebo,9.769330867294348,5.448146184893569,4.321184682400779
Generic RBF,5,20270818,circular_honest,keyed,11.905344959501933,5.918149239606568,5.987195719895365
Generic RBF,5,20270818,circular_honest,circular_placebo,17.69634897550435,5.918149239606568,11.778199735897783
Full operator,5,20270818,circular_honest,keyed,7.0277152826851905,3.8254532772177297,3.202262005467461
Full operator,5,20270818,circular_honest,circular_placebo,11.76767620343154,3.8254532772177297,7.942222926213811
Pdiag pointwise,5,20270818,circular_honest,keyed,4.80702163946072,2.1824541014294385,2.624567538031281
Pdiag pointwise,5,20270818,circular_honest,circular_placebo,10.551285721563934,2.1824541014294385,8.368831620134495
