task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
keyed,20280818,14,random,20,2,Frame-weighted,True,,0.006136132404208183,0.7362635562644375,0.6364564183966508,0.3295319876759429,True,detected,0.9846772736273405
keyed,20280818,14,random,20,2,Phase scalar GP,True,,0.2699293461628258,0.7362617371156419,0.6364593358195386,0.3295284957453768,True,detected,0.9839189913314146
keyed,20280818,14,random,20,2,TP-GMM additive,True,,40.37203250313178,0.8076199607422978,0.20876194398297226,0.11680183633422798,True,detected,0.5724441145792755
keyed,20280818,14,random,20,2,TP-GMM SE(2),True,,40.15940841427073,0.7966238820140468,0.2281455332792487,0.13532394865551878,True,detected,0.5859502020887646
keyed,20280818,14,random,20,2,Generic RBF,True,,0.5315815592184663,0.814701208367315,0.21551609065616348,0.15748458297625784,True,detected,0.6059966477075347
keyed,20280818,14,random,20,2,Full operator,True,,0.002184073906391859,0.8176894810899882,0.21628997233171524,0.15848176273383768,True,detected,0.6060693884488543
keyed,20280818,14,random,20,2,Pdiag pointwise,True,,0.008234267123043537,0.8181423507167266,0.21402468352139042,0.1565767183544721,True,detected,0.6050302451867928
keyed,20280818,14,random,20,2,Pdiag finite,True,,14.26539508299902,0.7663048478800435,0.24031174694645588,0.1791714018980839,True,detected,0.60668181718613
keyed,20280818,15,qualified,20,0,Frame-weighted,True,,0.006241923663765192,0.6935409595997526,0.6762019708752613,0.37714186352826573,False,right_censored,
keyed,20280818,15,qualified,20,0,Phase scalar GP,True,,0.21964851720258594,0.6935461726188779,0.6761972034102787,0.37713444926121326,False,right_censored,
keyed,20280818,15,qualified,20,0,TP-GMM additive,True,,35.85641852719709,0.7959321722183915,0.2172656707632474,0.12313098022088605,True,detected,0.5738702923693975
keyed,20280818,15,qualified,20,0,TP-GMM SE(2),True,,42.59494001977146,0.8031515526628222,0.21520767656287368,0.129661551487028,True,detected,0.5847723061221828
keyed,20280818,15,qualified,20,0,Generic RBF,True,,0.8633349239826202,0.813959853627503,0.2123161406301826,0.1547753648876301,True,detected,0.6034397977935392
keyed,20280818,15,qualified,20,0,Full operator,True,,0.0021193339489400387,0.8166053891740617,0.2129936824035337,0.15559619097209507,True,detected,0.6037634743434573
