phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Enter key,4,0.7916666666666666,44,1.0008422530637264,0.9800856245427882,1.0002828198220013,0.9976361757807559,1.0033539568547394,0.9548387510998574,1.0019903660216265,0.9995116869121841,1.0010226304158545,0.01075027082652605
Enter key,4,0.8333333333333334,45,0.9989235716871171,0.9830078618190983,1.0002216389487477,0.9952942453832863,1.0010864140287197,0.9598386991637149,1.0029943448604999,0.9993810793947857,1.0010487455788395,0.009776857148354075
Enter key,4,0.875,46,0.9985582198156344,0.9860663916119007,1.0002645889580397,0.9937072413200523,1.0016769723203527,0.96359299237494,1.0052071506721763,0.9993601753818476,1.0012555191964692,0.008296137716334525
Enter key,4,0.9166666666666666,47,1.00042889010818,0.9871013682220694,1.0004496733868806,0.996890877760331,1.0031687915635752,0.9625263449668084,1.0076152372783889,0.9995398047616345,1.0016039106866939,0.00954468579024296
Enter key,4,0.9583333333333334,48,0.9998974030398902,0.987829795722831,1.0005498722308297,0.9959938572725817,1.0027830248617644,0.9628951099183315,1.0086668528026208,0.9996330551309599,1.0017704065335002,0.011534306826123275
Enter key,4,1.0,49,0.9987462157545486,0.9881742851165648,1.0005842441794193,0.994557597738774,1.0013994624383136,0.9635219467195784,1.0084807990490636,0.9996487837085346,1.0019049094069072,0.011563838004364843
Unlock yaw,5,0.0,50,0.9989556262720797,0.98821409617537,1.0001233460538472,0.9949484553234775,1.0016417403589768,0.9639576787770384,1.0068653169959372,0.9991521285205941,1.0007874115619784,0.03537806825362323
Unlock yaw,5,0.041666666666666664,51,0.9992918721540794,0.987695914702414,0.9971945923005701,0.9950964138879268,1.0027982191756526,0.963803193060551,1.0063369308482812,0.9963454902785894,0.9977734070818675,0.023639100954206703
Unlock yaw,5,0.08333333333333333,52,1.0000629715488987,0.9875685319557811,0.9859691538173252,0.995871842159628,1.003536585760476,0.9640488995990255,1.005979565080863,0.9846694706804165,0.9872643880709292,0.03610375146972731
Unlock yaw,5,0.125,53,1.0003385917671423,0.987712249672247,0.9639271031613715,0.9966781030947726,1.0035398700404843,0.9646657269423267,1.005769368330658,0.9610552240220164,0.9671315736253885,0.08254945295443743
Unlock yaw,5,0.16666666666666666,54,1.0001621851920426,0.9876295230476068,0.9301375140990311,0.9963621430299592,1.0032383117416332,0.965142663671132,1.0053149567227284,0.9247893100622561,0.9366651689123296,0.12943674895788193
Unlock yaw,5,0.20833333333333334,55,0.9999734004231319,0.9882412889383565,0.8836201380870996,0.9956352265769844,1.003133470403076,0.9668642793250813,1.0051553423959765,0.874880883240026,0.8941369480608186,0.21161719804850992
Unlock yaw,5,0.25,56,0.9997516831346643,0.9890116295529664,0.8247965233965933,0.9953853994878781,1.0028581081567807,0.9691063078881574,1.0048124374004115,0.8116601213690673,0.8402113683382956,0.30109552441944776
Unlock yaw,5,0.2916666666666667,57,0.9996757209171522,0.9896453988144185,0.7532451522249692,0.9953528420216208,1.0028510606368295,0.9716385204049562,1.004067436239418,0.7347924524975633,0.7751895980188502,0.39462848533950834
Unlock yaw,5,0.3333333333333333,58,0.9998468461239609,0.9910232515977182,0.6691819005067459,0.9964861523407571,1.002412303232257,0.9746807918465582,1.0039781742046678,0.6443748844619747,0.698193712502435,0.50374789886473
Unlock yaw,5,0.375,59,0.9999660781933175,0.9923238514917977,0.5737375571507748,0.997389070429024,1.0024537454209705,0.978066519533287,1.0034771123994628,0.5427030693785992,0.6105364633180574,0.6084906703098864
Unlock yaw,5,0.4166666666666667,60,0.9999013330669649,0.9936172695304853,0.47347380933925043,0.9978099241347324,1.0025366089500003,0.9818303952234947,1.0029032076382702,0.43861330558025113,0.5154305499820505,0.6748811057808379
Unlock yaw,5,0.4583333333333333,61,0.9996767764064115,0.9955054964369588,0.3763776688725654,0.9974257967091853,1.002555899687239,0.98627277905776,1.0029143717587083,0.3401828356581779,0.4198640523673442,0.7018478362535565
Unlock yaw,5,0.5,62,0.9993487523615802,0.9968629932864761,0.2879309085996773,0.9969652833064714,1.0025451879075682,0.9898864971786259,1.0025814869089729,0.2520322286264313,0.33139785320108167,0.6842646425172514
Unlock yaw,5,0.5416666666666666,63,0.9989868394985035,0.9979016612613821,0.21057238955769264,0.9964495376749417,1.0023881013591904,0.9928978740051193,1.0024669348961701,0.17575481617516572,0.2528000937438015,0.642531080703707
Unlock yaw,5,0.5833333333333334,64,0.9989264673669901,0.9989495212179615,0.14489471866039705,0.9961097142180884,1.0026886070874381,0.9951012655931487,1.0029852455301196,0.11238456246250013,0.18428136997876873,0.6100696938782667
Unlock yaw,5,0.625,65,0.9990769094170626,0.9988047229225392,0.09160309244309839,0.9960048523828532,1.0030477946211374,0.9952714766219154,1.0029543880577863,0.062469744490514165,0.12705648270054928,0.5556949905651105
Unlock yaw,5,0.6666666666666666,66,0.9989923587981395,0.9990119177807757,0.050744612410825785,0.995766680717332,1.0031384229395977,0.9951811786143172,1.0033937245389435,0.025930215790892417,0.08121146553605656,0.49306008432312604
Unlock yaw,5,0.7083333333333334,67,0.9987945767927994,0.9995728795353387,0.022778083165420848,0.9956420408754143,1.0027854566827932,0.9954461705387738,1.0040705777639543,0.003926806389219559,0.04659864399688605,0.4205631437822029
Unlock yaw,5,0.75,68,0.9986444949176907,0.9994527318518717,0.007119145206814004,0.9955132177181812,1.0025655495020558,0.995305179671049,1.0039090105547883,-0.005156732565030488,0.02384092920910043,0.3204933054812557
Unlock yaw,5,0.7916666666666666,69,0.9986897944055617,0.99951720779503,0.00139737212435595,0.9957271889050233,1.0025729793120566,0.9950983330830302,1.00399759463232,-0.005442371642435186,0.010788855483396479,0.20591234881668716
Unlock yaw,5,0.8333333333333334,70,0.9987627346998235,0.9994918328008475,0.0004641651863360602,0.9959147137216542,1.002590441340881,0.9948096607026902,1.0039876610877163,-0.002526515382665776,0.004514095591068303,0.10002392088003635
Unlock yaw,5,0.875,71,0.9987293961124669,0.9990250451823154,0.00030014630246121,0.9958449818536086,1.0026013339105335,0.9943919335692667,1.0034972881867015,-0.0010942013640909856,0.0020936737610150083,0.03583413851677029
Unlock yaw,5,0.9166666666666666,72,0.9988374595283409,0.9991160499326662,5.0698599970580224e-05,0.9959231150788515,1.00270356757151,0.9944841809471585,1.0035277833500218,-0.0006439337719742903,0.0008845066779343966,0.026940457160784574
Unlock yaw,5,0.9583333333333334,73,0.9988876734275708,0.9991350086823451,-7.927998755183005e-05,0.9959310464373323,1.0027792959671364,0.9945139397158883,1.003558496331344,-0.0005710255906686592,0.0004335332569703937,0.023279486282262844
Unlock yaw,5,1.0,74,0.9988329935500524,0.9988272204352455,-7.862116356138456e-05,0.9958461035692354,1.002788543681012,0.9943745966363158,1.0031342559212522,-0.00045574296894997486,0.0003730940224151853,0.007294823882197736
Circular insert,6,0.0,75,0.9991948722409958,0.9990754755438966,-0.00034510890901386267,0.9960778598259808,1.0035310356033753,0.9947656787686698,1.003721353467584,-0.0010895604982818139,0.00018759021094885212,0.036723187620602414
Circular insert,6,0.041666666666666664,76,0.9999284120820597,0.9988279564835544,-0.00017313987365413243,0.9967297530421317,1.003961665306343,0.9943748790527007,1.0037542113999218,-0.0006016298755695283,0.00022366548390144304,0.013807427192794893
